id	enabled	section	mode	source_ref	donor_ref	capacity	source	donor	prefix	replacement	transform	arguments	reference_refs	parent_mapping_id
M0001	1	battle	slot	NA2_BTL@0x1E2130	NUN5_TEXTENG@0x27638	32	<r下忍|げにん>ランクＡ	Genin Rank A						
M0002	1	battle	slot	NA2_BTL@0x1E2150	NUN5_TEXTENG@0x27648	32	<r下忍|げにん>ランクＢ	Genin Rank B						
M0003	1	battle	slot	NA2_BTL@0x1E2170	NUN5_TEXTENG@0x27658	32	<r下忍|げにん>ランクＣ	Genin Rank C						
M0004	1	battle	slot	NA2_BTL@0x1E2190	NUN5_TEXTENG@0x27668	32	<r下忍|げにん>ランクＤ	Genin Rank D						
M0005	1	battle	slot	NA2_BTL@0x1E21B0	NUN5_TEXTENG@0x27678	48	<r砂|すな>の<r三姉弟|さんきょうだい>	Sand Siblings						
M0006	1	battle	slot	NA2_BTL@0x1E21E0	NUN5_TEXTENG@0x27690	32	<r霧|きり>の<r刺客|しかく>	Assassins of the Mist						
M0007	1	battle	slot	NA2_BTL@0x1E2200	NUN5_TEXTENG@0x276B0	32	<r新紅班|しんくれないはん>	New Team Kurenai						
M0008	1	battle	slot	NA2_BTL@0x1E2220	NUN5_TEXTENG@0x276C8	32	<r新|しん>アスマ<r班|はん>	New Team Asuma						
M0009	1	battle	slot	NA2_BTL@0x1E2240	NUN5_TEXTENG@0x276D8	32	<r新|しん>ガイ<r班|はん>	New Team Guy						
M0010	1	battle	slot	NA2_BTL@0x1E2260	NUN5_TEXTENG@0x276F0	32	<r新|しん>カカシ<r班|はん>	New Team Kakashi						
M0011	1	battle	slot	NA2_BTL@0x1E2280	NUN5_TEXTENG@0x27708	32	<r上忍|じょうにん>ランクＡ	Rank A Jonin						
M0012	1	battle	slot	NA2_BTL@0x1E22A0	NUN5_TEXTENG@0x27718	32	<r上忍|じょうにん>ランクＢ	Rank B Jonin						
M0013	1	battle	slot	NA2_BTL@0x1E22C0	NUN5_TEXTENG@0x27730	32	<r砂|すな>の<r強者|つわもの>	Champions of the Sand						
M0014	1	battle	slot	NA2_BTL@0x1E22E0	NUN5_TEXTENG@0x27748	48	<r音|おと>の<r五人衆|ごにんしゅう>	The Sound Five						
M0015	1	battle	slot	NA2_BTL@0x1E2310	NUN5_TEXTENG@0x27758	32	<r邪|よこしま>なる<r者|もの>	The Evil Ones						
M0016	1	battle	slot	NA2_BTL@0x1E2330	NUN5_TEXTENG@0x27770	48	<r伝説|でんせつ>の<r三忍|さんにん>	The Great Sannin						
M0017	1	battle	slot	NA2_BTL@0x1E2360	NUN5_TEXTENG@0x27788	32	“<r暁|あかつき>”	Akatsuki						
M0018	1	battle	slot	NA2_BTL@0x1E2380	NUN5_TEXTENG@0x27798	32	<r火影|ほかげ>たち	Team Hokage						
M0019	1	battle	slot	NA2_BTL@0x1E23A0	NUN5_TEXTENG@0x277A8	32	<r特別対戦|とくべつたいせん>	Special VS						
M0020	1	battle	slot	NA2_BTL@0x1E23C0	NUN5_TEXTENG@0x277B8	48	<r金髪五人衆|きんぱつごにんしゅう>	Blonde Five						
M0021	1	battle	slot	NA2_BTL@0x1E23F0	NUN5_TEXTENG@0x277D0	32	<r傀儡軍団|くぐつぐんだん>	Puppetmaster Troop						
M0022	1	battle	slot	NA2_BTL@0x1E2410	NUN5_TEXTENG@0x277F0	32	<r木|こ>ノ<r葉先生|はせんせい>	Teachers of the Leaf						
M0023	1	battle	slot	NA2_BTL@0x1E2430	NUN5_TEXTENG@0x27808	32	<r血継限界|けっけいげんかい>	Kekkei Genkai						
M0024	1	battle	slot	NA2_BTL@0x1E2450	NUN5_TEXTENG@0x27820	36	<r高|たか>みの<r者|もの>たち	The Greatest of All						
M0025	1	battle	slot	NA2_BTL@0x1E2670	NUN5_TEXTENG@0x11650	32	<r撒|ま>き<r菱|びし>	Makibishi Spikes						
M0026	1	battle	slot	NA2_BTL@0x1E2690	NUN5_TEXTENG@0x11718	32	<r兵糧丸|ひょうろうがん>	Food Pills						
M0027	1	battle	slot	NA2_BTL@0x1E26B0	NUN5_TEXTENG@0x11708	32	<r上忍|じょうにん>の<r靴|くつ>	Shoes of Jonin						
M0028	1	battle	slot	NA2_BTL@0x1E26D0	NUN5_TEXTENG@0x11748	32	カカシ<r人形|にんぎょう>	Scarecrow						
M0029	1	battle	slot	NA2_BTL@0x1E26F0	NUN5_TEXTENG@0x11600	32	<r根性|こんじょう>のおもり	Weight of Determination						
M0030	1	battle	slot	NA2_BTL@0x1E2710	NUN5_TEXTENG@0x115E0	32	<r風魔手裏剣|ふうましゅりけん>	Demon Wind Shuriken						
M0031	1	battle	slot	NA2_BTL@0x1E2730	NUN5_TEXTENG@0x11680	48	<r呪札|じゅさつ>　<r鎧崩|よろいくず>し	Curse Tag: Armor Break						
M0032	1	battle	slot	NA2_BTL@0x1E2760	NUN5_TEXTENG@0x11760	32	<r亀甲丸|きっこうがん>	Tortoiseshell Pills						
M0033	1	battle	slot	NA2_BTL@0x1E2780	NUN5_TEXTENG@0x116B8	32	<r炸裂|さくれつ>クナイ	Burst Kunai						
M0034	1	battle	slot	NA2_BTL@0x1E27A0	NUN5_TEXTENG@0x11620	32	<r起爆|きばく>クナイ	Exploding Kunai						
M0035	1	battle	slot	NA2_BTL@0x1E27C0	NUN5_TEXTENG@0x11788	32	<r医療|いりょう>パック	Medical Pack						
M0036	1	battle	slot	NA2_BTL@0x1E27E0	NUN5_TEXTENG@0x11730	48	<r雲隠|くもがく>れの<r巻物|まきもの>	Scroll of Hidden Cloud						
M0037	1	battle	slot	NA2_BTL@0x1E2810	NUN5_TEXTENG@0x11630	32	<r毒煙玉|どくけむりだま>	Poison Smoke Bomb						
M0038	1	battle	slot	NA2_BTL@0x1E2830	NUN5_TEXTENG@0x11668	32	<r起爆札|きばくふだ>	Paper Bomb						
M0039	1	battle	slot	NA2_BTL@0x1E2850	NUN5_TEXTENG@0x11778	32	<r元気丸|げんきがん>	Energy Pills						
M0040	1	battle	slot	NA2_BTL@0x1E2870	NUN5_TEXTENG@0x116D8	32	<r蝦蟇油|ガマあぶら>	Toad Oil						
M0041	1	battle	slot	NA2_BTL@0x1E2890	NUN5_TEXTENG@0x116C8	32	<r起爆|きばく>シール	Exploding Seal						
M0042	1	battle	slot	NA2_BTL@0x1E28B0	NUN5_TEXTENG@0x116A0	48	<r千影手裏剣|せんえいしゅりけん>	1000-Shadow Shuriken						
M0043	1	battle	slot	NA2_BTL@0x1E28E0	NUN5_TEXTENG@0x116F8	32	<r痺|しび>れ<r玉|たま>	Stun Ball						
M0044	1	battle	slot	NA2_BTL@0x1E2900	NUN5_TEXTENG@0x116E8	24	<r博打玉|ばくちだま>	Random Ball						
M0045	1	battle	slot	NA2_BTL@0x1E2918	NUN5_TEXTENG@0x115C8	24	アイテムポーチ	Item Pouch						
M0046	1	battle	slot	NA2_BTL@0x1E2930	NUN5_TEXTENG@0x278B0	48	<r忍具乱舞|にんぐらんぶ>の<r巻物|まきもの>	Scroll of Ninja Tool Dance						
M0047	1	battle	slot	NA2_BTL@0x1E2960	NUN5_TEXTENG@0x278D0	48	<r金|きん>の<r装飾品|そうしょくひん>	Gold Ornament						
M0048	1	battle	slot	NA2_BTL@0x1E2990	NUN5_TEXTENG@0x278E0	32	<r琥珀|こはく>の<r塊|かたまり>	Lump of Amber						
M0049	1	battle	slot	NA2_BTL@0x1E29B0	NUN5_TEXTENG@0x278F0	16	<r古銭|こせん>	Old Coin						
M0050	1	battle	slot	NA2_BTL@0x1E29C0	NUN5_TEXTENG@0x27900	48	<r特別交渉手形|とくべつこうしょうてがた>	Special Negotiations Permit						
M0051	1	battle	slot	NA2_BTL@0x1E29F0	NUN5_TEXTENG@0x14AA8	48	<r紅玉|こうぎょく>の<r指輪|ゆびわ>	Ruby Ring						
M0052	1	battle	slot	NA2_BTL@0x1E2A20	NUN5_TEXTENG@0x27920	32	<r治癒|ちゆ>の<r巻物|まきもの>	Scroll of Recovery						
M0053	1	battle	slot	NA2_BTL@0x1E2A40	NUN5_TEXTENG@0x27938	48	<r白銀|はくぎん>の<r延棒|のべぼう>	Silver Ingot						
M0054	1	battle	slot	NA2_BTL@0x1E2A70	NUN5_TEXTENG@0x27948	32	<r連係|れんけい>の<r笛|ふえ>	Linked Flute						
M0055	1	battle	slot	NA2_BTL@0x1E2A90	NUN5_TEXTENG@0x27958	32	<r稀代|きだい>の<r秘宝|ひほう>	Rare Treasure						
M0056	1	battle	slot	NA2_BTL@0x1E2AB0	NUN5_TEXTENG@0x27968	48	<r全開|ぜんかい>の<r額当|ひたいあ>て	Full Headband						
M0057	1	battle	slot	NA2_BTL@0x1E2AE0	NUN5_TEXTENG@0x27978	48	<r気配遮断装束|けはいしゃだんしょうぞく>	Stealth Gear						
M0058	1	battle	slot	NA2_BTL@0x1E2B10	NUN5_TEXTENG@0x27070	240	<color00FFFF><r究極連激戦|ナルティメットれんげきせん><colorFFFFFF>では、<r定|さだ>められた<r相手|あいて>と<r連続|れんぞく>で<r闘|たたか>い、<r最後|さいご>まで<r勝|か>ち<r残|のこ>ることで<r報酬|ほうしゅう>を<r得|え>ることができます。	<WHITE>In <color00FFFF>Ultimate Battle Series<WHITE>, you earn a reward if you beat certain series of enemies.						
