id	enabled	display_context	source	donor	prefix	replacement	display_basis	source_ref	donor_ref	mode	capacity	transform	arguments	reference_refs	parent_mapping_id
T5	1	Battle HUD > maximum damage label	最大	MAX			seen:savestate-084	NA2_SLPS@0x504970	NUN5_SLES@0x513E70	slot	8				
T10	1	Battle or Practice Settings > label or running help	<r方向|ほうこう>キー<r左右|さゆう>で<r対戦時間|たいせんじかん>の<r変更|へんこう>ができます。	Press the left directional button or right directional button to change battle time.			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x20A280	NUN5_TEXTENG@0xF540	slot	96				
T11	1	Battle or Practice Settings > label or running help	<r方向|ほうこう>キー<r左右|さゆう>でＣＯＭの<r強|つよ>さを<r変更|へんこう>できます。	Press the left directional button or right directional button to change COM strength.			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x20A2E0	NUN5_TEXTENG@0xF5A0	slot	96				
T12	1	Battle or Practice Settings > label or running help	<r方向|ほうこう>キー<r左右|さゆう>でアイテムの<r出現率|しゅつげんりつ>が<r変更|へんこう>できます。　　　　　<r多|おお>めにすると、いつもよりゲーム<r中|ちゅう>に<r出現|しゅつげん>するアイテムの<r数|かず>が<r多|おお>くなります。	Press the left directional button or right directional button to change frequency of item appearance. Set to More to make items appear more frequently than usual.			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x20A340	NUN5_TEXTENG@0xF600	slot	240				
T13	1	Battle or Practice Settings > label or running help	<r方向|ほうこう>キー<r左右|さゆう>で<r忍術|にんじゅつ>などを<r使用|しよう>した<r時|とき>に、チャクラが<r減|へ>るか<r減|へ>らないかを<r設定|せってい>できます。	Press the left directional button or right directional button to chose whether Chakra decreases or not when using Jutsu.			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x20A430	NUN5_TEXTENG@0xF6B0	slot	160				
T14	1	Battle or Practice Settings > label or running help	<r方向|ほうこう>キー<r左右|さゆう>で<r奥義|おうぎ>の<r入力勝負|にゅうりょくしょうぶ>の<r切|き>り<r替|か>えなどが<r設定|せってい>できます。	Press the left directional button or right directional button to change Ultimate Jutsu controls.			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x20A4D0	NUN5_TEXTENG@0xF730	slot	144				
T15	1	Battle or Practice Settings > label or running help	<r方向|ほうこう>キー<r左右|さゆう>でハンディキャップの<r設定|せってい>ができます。　　　　　<r赤|あか>いマークが<r多|おお>いほど、１Ｐが<r有利|ゆうり>。<r逆|ぎゃく>に<r青|あお>いマークが<r多|おお>いと２Ｐが<r有利|ゆうり>な<r設定|せってい>です。	Press the left directional button or right directional button to change handicap. More red marks means a better advantage for 1P. Blue marks are for 2P.			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x20A560	NUN5_TEXTENG@0xF7A0	slot	256				
T18	1	Battle or Practice Settings > label or running help	連係モード	Linked Mode			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x20A758	NUN5_TEXTENG@0x1E60	slot	16				
T19	1	Battle or Practice Settings > label or running help	コマンド表示	Commands			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x20A768	NUN5_TEXTENG@0x893	slot	16				
T20	1	Battle or Practice Settings > label or running help	ダメージ量表示	Damage			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x20A778	NUN5_SLES@0x5142E8	slot	16				
