artifact	format_or_role	size_bytes	default_analysis	trigger_or_reason	existing_evidence	confidence
@source/NA2/DATA/GF4.BIN	GF4 font/resource container	906678	data_only	Inspect glyph tables and resource ranges; no executable signature	font_m01 patch set and font knowledge record	high
@source/NA2/DATA/GF4C.BIN	GF4 companion table	104	data_only	Compare structured companion values; no execution evidence	font knowledge record	medium
@source/NA2/DATA/GRF4.BIN	GF4-family resource	6756	data_only	Parse or compare resource structure before interpreting values	outer-ISO inventory	medium
@source/NA2/DATA/PLVOICE.AFS	AFS voice archive	22192128	data_only	Inventory or extract audio members for a concrete audio task	AFS member inventory	high
@source/NA2/DATA/RPGVOICE.AFS	AFS voice archive	162848768	data_only	Inventory or extract audio members for a concrete audio task	AFS member inventory	high
@source/NA2/DATA/SF1.BIN	font/resource container	103046	data_only	Parse or compare resource structure; no execution evidence	outer-ISO inventory	medium
@source/NA2/DATA/SF1C.BIN	SF1 companion table	104	data_only	Compare structured companion values; no execution evidence	outer-ISO inventory	medium
@source/NA2/DATA/SNDDATA.BIN	IECS-sectioned sound data	22769664	data_only	Inspect sound tables and section layout rather than instructions	direct signature inspection	high
@source/NA2/DATA/SOUND.AFS	AFS sound archive	144175104	data_only	Inventory or extract audio members for a concrete audio task	AFS member inventory	high
@source/NA2/DATA/STREAM.AFS	AFS streaming-audio archive	66764800	data_only	Inventory or extract audio members for a concrete audio task	AFS member inventory	high
@source/NA2/DATA/DATA.CVM	CVMH/ROFS resource archive	737232896	data_only	Use the CVM layout and member inventory; classify extracted members separately	DATA.CVM ISO-9660 inventory	high
@source/NA2/MODULES/CRI_ADXI.IRX	IOP ELF/IRX executable	76869	targeted_disassembly	Create one shared baseline Ghidra program; deepen for a CRI ADX IOP or streaming question	direct ELF signature inspection and identical NA2/UN5/UN6 hashes	high
@source/NA2/MODULES/IOPRP300.IMG	RESET/ROMDIR IOP image	278305	data_only	Inspect the container and select an individual module before code analysis	direct RESET/ROMDIR signature inspection	high
@source/NA2/MODULES/MODULES.BIN	IOP ELF/IRX executable	315392	targeted_disassembly	Create one shared baseline Ghidra program; deepen when an IOP behavior points to this executable	direct ELF signature inspection and identical NA2/UN5/UN6 hashes	high
@source/NA2/MODULES/SNDBASE.IRX	IOP ELF/IRX executable	36336	targeted_disassembly	Create one shared baseline Ghidra program; deepen for a sound-base IOP behavior	direct ELF signature inspection and identical NA2/UN5/UN6 hashes	high
@source/NA2/PSS/LOGO_C.PSS	MPEG/PSS movie	2179076	data_only	Demux or inspect media metadata; never disassemble	outer-ISO inventory and PSS signature	high
@source/NA2/PSS/OPENING.PSS	MPEG/PSS movie	72974340	data_only	Demux or inspect media metadata; never disassemble	outer-ISO inventory and PSS signature	high
@source/NA2/PSS/DA3235.PSS	MPEG/PSS movie	63307780	data_only	Demux or inspect media metadata; never disassemble	outer-ISO inventory	high
@source/NA2/PSS/DA3250.PSS	MPEG/PSS movie	134266884	data_only	Demux or inspect media metadata; never disassemble	outer-ISO inventory	high
@source/NA2/PSS/DA3999.PSS	MPEG/PSS movie	150224900	data_only	Demux or inspect media metadata; never disassemble	outer-ISO inventory	high
@source/NA2/PSS/NOTICE.PSS	MPEG/PSS movie	4931588	data_only	Demux or inspect media metadata; never disassemble	outer-ISO inventory	high
@source/NA2/PSS/DA2200.PSS	MPEG/PSS movie	142704644	data_only	Demux or inspect media metadata; never disassemble	outer-ISO inventory	high
@source/NA2/PSS/DA2255.PSS	MPEG/PSS movie	100401156	data_only	Demux or inspect media metadata; never disassemble	outer-ISO inventory	high
@source/NA2/PSS/DA3195.PSS	MPEG/PSS movie	49381380	data_only	Demux or inspect media metadata; never disassemble	outer-ISO inventory	high
@source/NA2/PSS/DA3210.PSS	MPEG/PSS movie	17743876	data_only	Demux or inspect media metadata; never disassemble	outer-ISO inventory	high
@source/NA2/PRG/ADV.BIN	MWo3 EE overlay with code and data	2174720	targeted_disassembly	Create a baseline Ghidra program; deepen for an explicitly requested adventure-mode question	shared overlay signature and project constraints	high
@source/NA2/PRG/BTL.BIN	MWo3 EE overlay with code and data	2237184	targeted_disassembly	Create a baseline Ghidra program; deepen around a battle/practice question	menu-input targeted-analysis evidence	high
@source/NA2/PRG/ETC.BIN	MWo3 EE overlay with code and data	200448	targeted_disassembly	Create a baseline Ghidra program; deepen around an extras/menu question	menu-input targeted-analysis evidence	high
@source/NA2/SYSTEM.CNF	PS2 boot configuration text	57	data_only	Read as configuration metadata; no disassembly	outer-ISO inventory	high
@source/NA2/OUT1M.BIN	zero-filled 1 MiB placeholder	1048576	data_only	No analysis unless a runtime or format reference establishes a role	direct all-zero-byte inspection	high
@source/NA2/FLIST.DIR	textual media file list	124	data_only	Read as metadata; no disassembly	direct text inspection	high
@source/NA2/SLPS_258.37	resident Emotion Engine ELF	5273256	full_existing	Reuse the preserved full project; use a targeted slice for individual tasks	preserved Ghidra project decompiler export and listing	high
DATA.CVM members: 2310 *.CCS	CCS resource family		data_only	Use CCS-aware parsing and classify a specific embedded section only if execution is proven	DATA.CVM ISO-9660 inventory	high
DATA.CVM member: ICON.BIN	binary icon/resource member	61440	data_only	Inspect format and references before assigning meaning	DATA.CVM ISO-9660 inventory	medium
DATA.CVM member: *.TXT	text resource member		data_only	Inspect as text and encoding data	DATA.CVM ISO-9660 inventory	high
DATA/*.AFS members	audio/archive member families		data_only	Use the AFS member inventory and codec-aware tools	AFS member inventory	high
