"Path"	"Type"	"Extent"	"OffsetHex"	"Size"
"3BSC"	"dir"	"22"	"0xB000"	"2048"
"3BSC\3CHY3BSC.CCS"	"file"	"3304"	"0x674000"	"13898"
"3BSC\3DDR3BSC.CCS"	"file"	"3311"	"0x677800"	"9147"
"3BSC\3ITW3BSC.CCS"	"file"	"3316"	"0x67A000"	"7676"
"3BSC\3KSW3BSC.CCS"	"file"	"3320"	"0x67C000"	"12111"
"3BSC\3NRW3BSC.CCS"	"file"	"3326"	"0x67F000"	"9673"
"3BSC\3ORW3BSC.CCS"	"file"	"3331"	"0x681800"	"12570"
"3BSC\3SCO3BSC.CCS"	"file"	"3338"	"0x685000"	"10125"
"3BSC\3SKW3BSC.CCS"	"file"	"3343"	"0x687800"	"8405"
"3BSC\3SSW3BSC.CCS"	"file"	"3348"	"0x68A000"	"10046"
"3EYE"	"dir"	"23"	"0xB800"	"8192"
"3EYE\3ANK3EYE.CCS"	"file"	"3353"	"0x68C800"	"44598"
"3EYE\3ANK3PCT.CCS"	"file"	"3375"	"0x697800"	"15876"
"3EYE\3ASW3EYE.CCS"	"file"	"3383"	"0x69B800"	"24265"
"3EYE\3ASW3PCT.CCS"	"file"	"3395"	"0x6A1800"	"15270"
"3EYE\3CHY3EYE.CCS"	"file"	"3403"	"0x6A5800"	"114331"
"3EYE\3CHY3PCT.CCS"	"file"	"3459"	"0x6C1800"	"17405"
"3EYE\3CYB3EYE.CCS"	"file"	"3468"	"0x6C6000"	"24674"
"3EYE\3CYB3PCT.CCS"	"file"	"3481"	"0x6CC800"	"14351"
"3EYE\3DDR3EYE.CCS"	"file"	"3489"	"0x6D0800"	"19001"
"3EYE\3DDR3PCT.CCS"	"file"	"3499"	"0x6D5800"	"12154"
"3EYE\3FIR3EYE.CCS"	"file"	"3505"	"0x6D8800"	"34472"
"3EYE\3FIR3PCT.CCS"	"file"	"3522"	"0x6E1000"	"13765"
"3EYE\3FOU3EYE.CCS"	"file"	"3529"	"0x6E4800"	"35219"
"3EYE\3FOU3PCT.CCS"	"file"	"3547"	"0x6ED800"	"17469"
"3EYE\3GAR3EYE.CCS"	"file"	"3556"	"0x6F2000"	"33660"
"3EYE\3GAR3PCT.CCS"	"file"	"3573"	"0x6FA800"	"15999"
"3EYE\3GAV3EYE.CCS"	"file"	"3581"	"0x6FE800"	"53258"
"3EYE\3GAV3PCT.CCS"	"file"	"3608"	"0x70C000"	"16732"
"3EYE\3GAW3EYE.CCS"	"file"	"3617"	"0x710800"	"39519"
"3EYE\3GAW3PCT.CCS"	"file"	"3637"	"0x71A800"	"20549"
"3EYE\3GUW3EYE.CCS"	"file"	"3648"	"0x720000"	"17783"
