"Path"	"Type"	"Extent"	"OffsetHex"	"Size"
"DATA"	"dir"	"262"	"0x83000"	"740"
"DATA\GF4.BIN"	"file"	"3233"	"0x650800"	"906678"
"DATA\GF4C.BIN"	"file"	"3676"	"0x72E000"	"104"
"DATA\GRF4.BIN"	"file"	"3677"	"0x72E800"	"6756"
"DATA\PLVOICE.AFS"	"file"	"5986"	"0xBB1000"	"22192128"
"DATA\RPGVOICE.AFS"	"file"	"16822"	"0x20DB000"	"162848768"
"DATA\SF1.BIN"	"file"	"3681"	"0x730800"	"103046"
"DATA\SF1C.BIN"	"file"	"3732"	"0x74A000"	"104"
"DATA\SNDDATA.BIN"	"file"	"96338"	"0xBC29000"	"22769664"
"DATA\SOUND.AFS"	"file"	"107456"	"0xD1E0000"	"144175104"
"DATA\STREAM.AFS"	"file"	"177854"	"0x15B5F000"	"66764800"
"DATA\DATA.CVM"	"file"	"210454"	"0x19B0B000"	"737232896"
"MODULES"	"dir"	"263"	"0x83800"	"340"
"MODULES\CRI_ADXI.IRX"	"file"	"3022"	"0x5E7000"	"76869"
"MODULES\IOPRP300.IMG"	"file"	"2886"	"0x5A3000"	"278305"
"MODULES\MODULES.BIN"	"file"	"3060"	"0x5FA000"	"315392"
"MODULES\SNDBASE.IRX"	"file"	"3214"	"0x647000"	"36336"
"PSS"	"dir"	"264"	"0x84000"	"696"
"PSS\LOGO_C.PSS"	"file"	"572840"	"0x45ED4000"	"2179076"
"PSS\OPENING.PSS"	"file"	"573905"	"0x460E8800"	"72974340"
"PSS\DA3235.PSS"	"file"	"752357"	"0x5BD72800"	"63307780"
"PSS\DA3250.PSS"	"file"	"783270"	"0x5F9D3000"	"134266884"
"PSS\DA3999.PSS"	"file"	"848831"	"0x679DF800"	"150224900"
"PSS\NOTICE.PSS"	"file"	"570431"	"0x45A1F800"	"4931588"
"PSS\DA2200.PSS"	"file"	"609538"	"0x4A681000"	"142704644"
"PSS\DA2255.PSS"	"file"	"679219"	"0x52E99800"	"100401156"
"PSS\DA3195.PSS"	"file"	"728244"	"0x58E5A000"	"49381380"
"PSS\DA3210.PSS"	"file"	"922184"	"0x70924000"	"17743876"
"PRG"	"dir"	"265"	"0x84800"	"264"
"PRG\ADV.BIN"	"file"	"4826"	"0x96D000"	"2174720"
"PRG\BTL.BIN"	"file"	"3733"	"0x74A800"	"2237184"
"PRG\ETC.BIN"	"file"	"5888"	"0xB80000"	"200448"
"SYSTEM.CNF"	"file"	"310"	"0x9B000"	"57"
"OUT1M.BIN"	"file"	"930849"	"0x71A10800"	"1048576"
"FLIST.DIR"	"file"	"3232"	"0x650000"	"124"
"SLPS_258.37"	"file"	"311"	"0x9B800"	"5273256"
