program	ordinal	nun5_file_offset	nun5_live_address	nun5_ghidra_function	nun6_rect_expansion	na2_file_offset	na2_live_address	na2_ghidra_function	context_shape_match	mapping_review
ELF	1	0x000058D4	0x00105754	FUN_00105740	true	0x00005714	0x00105614	FUN_00105600	1.000	candidate
ELF	2	0x00084604	0x00184484	FUN_001843d0	false	0x00083654	0x00183554	FUN_001834b0	1.000	candidate
ELF	3	0x000E1A1C	0x001E189C	FUN_001e1720	true	0x000DBEB8	0x001DBDB8	FUN_001dbd60	0.375	manual_function_review
ELF	4	0x000E1AAC	0x001E192C	FUN_001e1720	true	0x000DC03C	0x001DBF3C	FUN_001dbd60	0.208	manual_function_review
ELF	5	0x000E1BC4	0x001E1A44	FUN_001e1720	true	0x000DC0C0	0x001DBFC0	FUN_001dbd60	0.333	manual_function_review
ELF	6	0x000E1C70	0x001E1AF0	FUN_001e1720	true	0x000DC138	0x001DC038	FUN_001dbd60	0.625	manual_function_review
ELF	7	0x000E560C	0x001E548C	FUN_001e5300	true	0x000DF950	0x001DF850	FUN_001df690	0.958	candidate
ELF	8	0x000F195C	0x001F17DC	FUN_001f17b0	true	0x000EB72C	0x001EB62C	FUN_001eb600	1.000	candidate
ELF	9	0x000F19E8	0x001F1868	FUN_001f1820	true	0x000EB7B8	0x001EB6B8	FUN_001eb670	1.000	candidate
ELF	10	0x000F1A78	0x001F18F8	FUN_001f18b0	true	0x000EB848	0x001EB748	FUN_001eb700	1.000	candidate
ELF	11	0x000F4ED8	0x001F4D58	FUN_001f4cb0	true	0x000EEA64	0x001EE964	FUN_001ee880	1.000	candidate
ELF	12	0x000F668C	0x001F650C	FUN_001f5eb0	true	0x000F02FC	0x001F01FC	FUN_001ef9c0	1.000	candidate
ELF	13	0x000F9238	0x001F90B8	FUN_001f9050	true	0x000F2A88	0x001F2988	FUN_001f2920	0.958	candidate
ELF	14	0x000FAF54	0x001FADD4	FUN_001fac60	false	0x000F4580	0x001F4480	FUN_001f4360	0.500	manual_function_review
ELF	15	0x00111680	0x00211500	FUN_00211430	true	0x0010A610	0x0020A510	FUN_0020a440	1.000	candidate
ELF	16	0x00112B44	0x002129C4	FUN_00212950	true	0x0010BAD4	0x0020B9D4	FUN_0020b960	1.000	candidate
ELF	17	0x001819D4	0x00281854	FUN_002815c0	true	0x001786D8	0x002785D8	FUN_00278310	1.000	candidate
ELF	18	0x001931E4	0x00293064	FUN_00292620	true	0x00189AE4	0x002899E4	FUN_00288fd0	1.000	candidate
ELF	19	0x00198D5C	0x00298BDC	FUN_00298b10	true	0x0018F6DC	0x0028F5DC	FUN_0028f450	0.917	candidate
ELF	20	0x0019D28C	0x0029D10C	FUN_0029c090	true	0x00193B0C	0x00293A0C	FUN_00292990	1.000	candidate
ELF	21	0x0019D42C	0x0029D2AC	FUN_0029c090	true	0x00193CAC	0x00293BAC	FUN_00292990	1.000	candidate
ELF	22	0x0019E7B8	0x0029E638	FUN_0029df50	true	0x00195008	0x00294F08	FUN_00294810	1.000	candidate
ELF	23	0x00214D44	0x00314BC4	FUN_003147d0	false	0x0020A2E4	0x0030A1E4	FUN_00309df0	1.000	candidate
ELF	24	0x00214F1C	0x00314D9C	FUN_003147d0	false	0x0020A4BC	0x0030A3BC	FUN_00309df0	1.000	candidate
ELF	25	0x00215A20	0x003158A0	FUN_00315880	true	0x0020AF98	0x0030AE98	FUN_0030ae60	0.583	manual_function_review
ELF	26	0x00215B8C	0x00315A0C	FUN_00315910	true	0x0020B0DC	0x0030AFDC	FUN_0030aee0	1.000	candidate
ELF	27	0x00242A00	0x00342880	FUN_00342790	true	0x00237400	0x00337300	FUN_00337210	1.000	candidate
ELF	28	0x00242AC0	0x00342940	FUN_00342920	true	0x002374C0	0x003373C0	FUN_003373a0	1.000	candidate
ELF	29	0x00251114	0x00350F94	FUN_00350f50	true	0x00245964	0x00345864	FUN_00345820	1.000	candidate
ELF	30	0x0027B3C4	0x0037B244	FUN_0037b190	false	0x0026EAF8	0x0036E9F8	FUN_0036e920	0.458	manual_function_review
ELF	31	0x0027B9DC	0x0037B85C	FUN_0037b660	false	0x0026EFC4	0x0036EEC4	FUN_0036edd0	0.458	manual_function_review
ELF	32	0x0027BA84	0x0037B904	FUN_0037b8c0	false	0x0026F188	0x0036F088	FUN_0036f020	0.458	manual_function_review
ELF	33	0x0027BCDC	0x0037BB5C	FUN_0037bb10	false	0x0026F3D8	0x0036F2D8	FUN_0036f260	0.458	manual_function_review
ELF	34	0x0027C1A4	0x0037C024	FUN_0037bf20	false	0x0026F7C8	0x0036F6C8	FUN_0036f640	0.500	manual_function_review
ELF	35	0x0027C988	0x0037C808	FUN_0037c740	false	0x0026FFB4	0x0036FEB4	FUN_0036fe10	0.458	manual_function_review
ELF	36	0x0027D70C	0x0037D58C	FUN_0037d460	false	0x00270A14	0x00370914	FUN_00370860	0.542	manual_function_review
ELF	37	0x0027FD40	0x0037FBC0	FUN_0037fb10	false	0x00272F90	0x00372E90	FUN_00372df0	1.000	candidate
ELF	38	0x0027FE08	0x0037FC88	FUN_0037fb10	false	0x00273054	0x00372F54	FUN_00372df0	1.000	candidate
ELF	39	0x0029556C	0x003953EC	FUN_003953b0	true	0x00283EEC	0x00383DEC	FUN_00383db0	1.000	candidate
ELF	40	0x00296030	0x00395EB0	FUN_00395dc0	true	0x00284950	0x00384850	FUN_00384760	0.875	candidate
ELF	41	0x002963E4	0x00396264	FUN_00396020	true	0x00284D48	0x00384C48	FUN_003849c0	0.625	manual_function_review
ELF	42	0x00296E9C	0x00396D1C	FUN_00396b90	true	0x00285750	0x00385650	FUN_003854f0	0.500	manual_function_review
ELF	43	0x0029723C	0x003970BC	FUN_00396b90	true	0x0028587C	0x0038577C	FUN_003854f0	0.375	manual_function_review
ELF	44	0x0029CBAC	0x0039CA2C	FUN_0039c950	true	0x0028B1E4	0x0038B0E4	FUN_0038afb0	1.000	candidate
ELF	45	0x0029D36C	0x0039D1EC	FUN_0039d0f0	true	0x0028B8B8	0x0038B7B8	FUN_0038b710	1.000	candidate
ELF	46	0x0029D3E8	0x0039D268	FUN_0039d0f0	true	0x0028B948	0x0038B848	FUN_0038b710	0.833	candidate
ELF	47	0x0029D438	0x0039D2B8	FUN_0039d0f0	true	0x0028B998	0x0038B898	FUN_0038b710	1.000	candidate
ELF	48	0x0029D9F4	0x0039D874	FUN_0039d5f0	true	0x0028BFF8	0x0038BEF8	FUN_0038bbf0	1.000	candidate
ELF	49	0x0029DA50	0x0039D8D0	FUN_0039d5f0	true	0x0028C054	0x0038BF54	FUN_0038bbf0	1.000	candidate
ELF	50	0x0029DAAC	0x0039D92C	FUN_0039d5f0	true	0x0028C0B0	0x0038BFB0	FUN_0038bbf0	1.000	candidate
ELF	51	0x002A00E4	0x0039FF64	FUN_0039ff10	true	0x0028E494	0x0038E394	FUN_0038e340	0.958	candidate
ELF	52	0x002A1790	0x003A1610	FUN_003a15f0	true	0x0028FAE0	0x0038F9E0	FUN_0038f9c0	1.000	candidate
ELF	53	0x002A188C	0x003A170C	FUN_003a15f0	true	0x0028FBDC	0x0038FADC	FUN_0038f9c0	1.000	candidate
ELF	54	0x002A1AC4	0x003A1944	FUN_003a1870	true	0x0028FDE4	0x0038FCE4	FUN_0038fc10	1.000	candidate
ELF	55	0x002A1BBC	0x003A1A3C	FUN_003a19a0	true	0x0028FF0C	0x0038FE0C	FUN_0038fd40	0.875	candidate
