variant	slot	screen	serial	crc	source_name	source_size	source_sha256
current	01	title	SLPS-22228	1852E63F	SLPS-22228 (1852E63F).01.p2s	5404054	B690306E6382B15D1774C77A9CD5FC8063E813451803CE732ACAF197CD1CC1E1
current	02	mode_select	SLPS-22228	1852E63F	SLPS-22228 (1852E63F).02.p2s	7924341	5F3FCEAECDE0D894234A1A631DDA5DF3AFA0F995CDB7618C99AE54F9153DC88D
current	03	active_adv	SLPS-22228	1852E63F	SLPS-22228 (1852E63F).03.p2s	11944720	C674C72641C2132CE5B8950464AD5831D5BF7DCD0A6B2EBC4E73EF7C9032C752
current	04	character_select	SLPS-22228	1852E63F	SLPS-22228 (1852E63F).04.p2s	10219293	BE2CCE00B251EE6F0DAB9D4731E86130F3A7B2EBD9A1305199DDEB57095E053D
current	05	active_battle	SLPS-22228	1852E63F	SLPS-22228 (1852E63F).05.p2s	10771001	2010EC14016AF53FC4F02F62FC98454423C6C7E11BE7CD2E2EA01FF9BB479751
current	06	shop	SLPS-22228	1852E63F	SLPS-22228 (1852E63F).06.p2s	10856763	8F5BC59904839A3A9409EB31739139661CB82A434597275796B08297D50EAED7
current	07	collection	SLPS-22228	1852E63F	SLPS-22228 (1852E63F).07.p2s	11299647	68D09E28F646276062E61EF02C6E17CF3AB6F2725FE4A57FB6EEAEF80A66DF81
current	08	options	SLPS-22228	1852E63F	SLPS-22228 (1852E63F).08.p2s	10464014	8CA942511E609C898B3849B8C908C67BA0A855536A636FC70301163F0F2393E3
vanilla	01	title	SLPS-25837	C0659AD1	SLPS-25837 (C0659AD1).01.p2s	7933461	F5655E238F4394FE25C4E03358357E82F309154A8BDBC6B4724CB3C10C50A22D
vanilla	02	mode_select	SLPS-25837	C0659AD1	SLPS-25837 (C0659AD1).02.p2s	10106831	9DE63F33F12B3B1BF2C511256E8C9D7099105FFF728B0D82F9E9B40331A20B9A
vanilla	03	active_adv	SLPS-25837	C0659AD1	SLPS-25837 (C0659AD1).03.p2s	12696832	1E4B4DC891825D9F47BC55CE4EB0310289F32AD9788FDA60F263B0EB42547B6C
vanilla	04	character_select	SLPS-25837	C0659AD1	SLPS-25837 (C0659AD1).04.p2s	11136030	0A4D4166F00C937F265AC53642D3E3D0E544A23B63F735198482FE9AAACFE7AF
vanilla	05	active_battle	SLPS-25837	C0659AD1	SLPS-25837 (C0659AD1).05.p2s	11924439	BBD4FF6F3F02B6E92E233D785ECAB0D6DCEE3EF8BC8B7AF6153636CCD9044CA3
vanilla	06	shop	SLPS-25837	C0659AD1	SLPS-25837 (C0659AD1).06.p2s	11246831	954AD5AD45D79C97C3AE3DCF1CC62D254FFEAA4C97E48DB1018C1726B6C96316
vanilla	07	collection	SLPS-25837	C0659AD1	SLPS-25837 (C0659AD1).07.p2s	11802127	6EF3469523977FF9284A4CDE69E12F489AEE578C7D21A06CDD03AED25837CBAE
vanilla	08	options	SLPS-25837	C0659AD1	SLPS-25837 (C0659AD1).08.p2s	11087644	67A7BEE690AA7384B9F879F44234814737B326750B0E7717CE9ED29D59B96431
