variant	slot	screen	overlay	overlay_kind	overlay_effective_end	phase_slack	heap_user_base	heap_end	tracked_bytes	peak_tracked_bytes	allocation_count	total_free	largest_free	fragmentation_bytes	tracked_bytes_walked	untracked_bytes_walked	flag_counts	cached_largest_predecessor
current	01	title	none	0	0x006B3F00	0x00229180	0x00940120	0x01FF5FF0	0x006E9720	0x007853B0	12503	0x00FBC7A0	0x00FB52B0	0x000074F0	0x006E9720	0x00010010	8:2824,9:9678,12:1	0x00CC4280
current	02	mode_select	BTL.BIN	1	0x008DD080	0x00000000	0x00940120	0x01FF5FF0	0x00BFADD0	0x00C89AB0	17985	0x00AAB0F0	0x00A14AF0	0x00096600	0x00BFADD0	0x00010010	8:3196,9:14788,12:1	0x00D60000
current	03	active_adv	ADV.BIN	2	0x008C7200	0x00015E80	0x00940120	0x01FF5FF0	0x00F4CC60	0x00FC95E0	40150	0x00759260	0x0052B4C0	0x0022DDA0	0x00F4CC60	0x00010010	8:12443,9:27706,12:1	0x0103BB80
current	04	character_select	BTL.BIN	1	0x008DD080	0x00000000	0x00940120	0x01FF5FF0	0x00A36AB0	0x00FC95E0	13352	0x00C6F410	0x00A04F80	0x0026A490	0x00A36AB0	0x00010010	8:3712,9:9639,12:1	0x00D629D0
current	05	active_battle	BTL.BIN	1	0x008DD080	0x00000000	0x00940120	0x01FF5FF0	0x00E99E70	0x00FC95E0	52891	0x0080C050	0x00803E50	0x00008200	0x00E99E70	0x00010010	8:14497,9:38393,12:1	0x00EB10B0
current	06	shop	ETC.BIN	3	0x006E4E00	0x001F8280	0x00940120	0x01FF5FF0	0x006C6470	0x00FC95E0	13139	0x00FDFA50	0x00A95A40	0x0054A010	0x006C6470	0x00010010	8:3673,9:9465,12:1	0x00CD7E00
current	07	collection	ETC.BIN	3	0x006E4E00	0x001F8280	0x00940120	0x01FF5FF0	0x00A7F260	0x00FC95E0	15241	0x00C26C60	0x00A3A3A0	0x001EC8C0	0x00A7F260	0x00010010	8:3996,9:11244,12:1	0x00D33400
current	08	options	BTL.BIN	1	0x008DD080	0x00000000	0x00940120	0x01FF5FF0	0x00BFEB80	0x00FC95E0	18025	0x00AA7340	0x009D0350	0x000D6FF0	0x00BFEB80	0x00010010	8:3236,9:14788,12:1	0x00D1D420
vanilla	01	title	BTL.BIN	1	0x008DD080	0x00000000	0x008DD0A0	0x01FF5FF0	0x006E9750	0x0097D320	12504	0x0101F7F0	0x01018330	0x000074C0	0x006E9750	0x00010010	8:2824,9:9679,12:1	0x00C61210
vanilla	02	mode_select	BTL.BIN	1	0x008DD080	0x00000000	0x008DD0A0	0x01FF5FF0	0x00BFD600	0x00C864E0	18078	0x00B0B940	0x00A6B290	0x000A06B0	0x00BFD600	0x00010010	8:3196,9:14881,12:1	0x00CFF290
vanilla	03	active_adv	ADV.BIN	2	0x008C7200	0x00015E80	0x008DD0A0	0x01FF5FF0	0x00F56210	0x00FCE500	40226	0x007B2D30	0x00509600	0x002A9730	0x00F56210	0x00010010	8:12600,9:27625,12:1	0x01058B80
vanilla	04	character_select	BTL.BIN	1	0x008DD080	0x00000000	0x008DD0A0	0x01FF5FF0	0x00A379E0	0x00FCE500	13558	0x00CD1560	0x00AFD2E0	0x001D4280	0x00A379E0	0x00010010	8:3712,9:9845,12:1	0x00C748E0
vanilla	05	active_battle	BTL.BIN	1	0x008DD080	0x00000000	0x008DD0A0	0x01FF5FF0	0x00EA1F90	0x00FCE500	53183	0x00866FB0	0x0084E210	0x00018DA0	0x00EA1F90	0x00010010	8:14636,9:38546,12:1	0x00E63070
vanilla	06	shop	ETC.BIN	3	0x006E4E00	0x001F8280	0x008DD0A0	0x01FF5FF0	0x006C6430	0x00FCE500	12965	0x01042B10	0x00AFD1A0	0x00545970	0x006C6430	0x00010010	8:3673,9:9291,12:1	0x00C74D80
vanilla	07	collection	ETC.BIN	3	0x006E4E00	0x001F8280	0x008DD0A0	0x01FF5FF0	0x00A7F290	0x00FCE500	15241	0x00C89CB0	0x00A7EB80	0x0020B130	0x00A7F290	0x00010010	8:3996,9:11244,12:1	0x00CF3300
vanilla	08	options	BTL.BIN	1	0x008DD080	0x00000000	0x008DD0A0	0x01FF5FF0	0x00BFF8E0	0x00FCE500	18058	0x00B09660	0x00A96680	0x00072FE0	0x00BFF8E0	0x00010010	8:3237,9:14820,12:1	0x00CBB7F0
