"slot"	"family"	"screen"	"notes"
"1"	"unclassified"	"Slot 0001"	""
"2"	"unclassified"	"Slot 0002"	""
"3"	"unclassified"	"Slot 0003"	""
"4"	"unclassified"	"Slot 0004"	""
"5"	"unclassified"	"Slot 0005"	""
"6"	"unclassified"	"Slot 0006"	""
"7"	"unclassified"	"Slot 0007"	""
"8"	"unclassified"	"Slot 0008"	""
"9"	"unclassified"	"Slot 0009"	""
"10"	"unclassified"	"Slot 0010"	""
"11"	"unclassified"	"Slot 0011"	""
"12"	"unclassified"	"Slot 0012"	""
"13"	"unclassified"	"Slot 0013"	""
"14"	"unclassified"	"Slot 0014"	""
"15"	"unclassified"	"Slot 0015"	""
"16"	"unclassified"	"Slot 0016"	""
"17"	"unclassified"	"Slot 0017"	""
"18"	"unclassified"	"Slot 0018"	""
"19"	"unclassified"	"Slot 0019"	""
"20"	"unclassified"	"Slot 0020"	""
"21"	"unclassified"	"Slot 0021"	""
"22"	"unclassified"	"Slot 0022"	""
"23"	"unclassified"	"Slot 0023"	""
"24"	"unclassified"	"Slot 0024"	""
"25"	"unclassified"	"Slot 0025"	""
"26"	"unclassified"	"Slot 0026"	""
"27"	"unclassified"	"Slot 0027"	""
"28"	"unclassified"	"Slot 0028"	""
"29"	"unclassified"	"Slot 0029"	""
"30"	"unclassified"	"Slot 0030"	""
"31"	"unclassified"	"Slot 0031"	""
"32"	"unclassified"	"Slot 0032"	""
"33"	"unclassified"	"Slot 0033"	""
"34"	"unclassified"	"Slot 0034"	""
"35"	"unclassified"	"Slot 0035"	""
"36"	"unclassified"	"Slot 0036"	""
"37"	"unclassified"	"Slot 0037"	""
"38"	"unclassified"	"Slot 0038"	""
"39"	"unclassified"	"Slot 0039"	""
"40"	"unclassified"	"Slot 0040"	""
"41"	"unclassified"	"Slot 0041"	""
"42"	"unclassified"	"Slot 0042"	""
"43"	"unclassified"	"Slot 0043"	""
"44"	"unclassified"	"Slot 0044"	""
"45"	"unclassified"	"Slot 0045"	""
"46"	"unclassified"	"Slot 0046"	""
"47"	"unclassified"	"Slot 0047"	""
"48"	"unclassified"	"Slot 0048"	""
"49"	"unclassified"	"Slot 0049"	""
"50"	"unclassified"	"Slot 0050"	""
"51"	"unclassified"	"Slot 0051"	""
"52"	"unclassified"	"Slot 0052"	""
"53"	"unclassified"	"Slot 0053"	""
"54"	"unclassified"	"Slot 0054"	""
"55"	"unclassified"	"Slot 0055"	""
"56"	"unclassified"	"Slot 0056"	""
"57"	"unclassified"	"Slot 0057"	""
"58"	"unclassified"	"Slot 0058"	""
"59"	"unclassified"	"Slot 0059"	""
"60"	"unclassified"	"Slot 0060"	""
"61"	"unclassified"	"Slot 0061"	""
"62"	"unclassified"	"Slot 0062"	""
"63"	"unclassified"	"Slot 0063"	""
"64"	"unclassified"	"Slot 0064"	""
"65"	"unclassified"	"Slot 0065"	""
