case_id	character_id	awakening_id	support_id	capture_policy
naruto	57			base, specials
naruto-rev	57			specials
naruto-awk-1	57	0x39		
naruto-luj-1	57		0x01	specials
naruto-lj-1	57		0x08	specials
naruto-lj-2	57		0x20	specials
naruto-2nd	73			base, parent-specials
sakura	58			base, specials
sakura-rev	58			specials
sakura-awk-1	58	0x3A		specials
sakura-luj-1	58		0x00	specials
sakura-luj-2	58		0x1B	specials
kakashi	70			base, specials
kakashi-rev	70			specials
kakashi-awk-1	70	0x49		specials
sai	92			base, specials
sai-rev	92			specials
sai-awk-1	92	0x61		specials
sai-awk-2	92	0x62		
neji	65			base, specials
neji-rev	65			specials
neji-awk-1	65	0x42		specials
lee	67			base, specials
lee-rev	67			specials
lee-awk-1	67	0x44		base, specials
lee-awk-2	67	0x45		
guy	69			base, specials
guy-rev	69			specials
guy-awk-1	69	0x47		base, specials
guy-awk-2	69	0x48		base, specials
tenten	66			base, specials
tenten-rev	66			specials
tenten-awk-1	66	0x43		specials
choji	81			base, specials
choji-rev	81			specials
choji-awk-1	81	0x54		base, specials
shikamaru	68			base, specials
shikamaru-rev	68			specials
shikamaru-awk-1	68	0x46		base, specials
shikamaru-lj-1	68		0x13	specials
ino	82			base, specials
ino-rev	82			specials
ino-awk-1	82	0x55		specials
asuma	86			base, specials
asuma-rev	86			specials
asuma-awk-1	86	0x5A		specials
shino	79			base, specials
shino-rev	79			specials
shino-awk-1	79	0x51		specials
kiba	78			base, specials
kiba-rev	78			specials
kiba-awk-1	78	0x50		base, specials
hinata	80			base, specials
hinata-rev	80			specials
hinata-awk-1	80	0x52		specials
hinata-awk-2	80	0x53		base, specials
gaara	59			base, specials
gaara-rev	59			specials
gaara-awk-1	59	0x3B		base, specials
gaara-awk-2	59	0x3C		
kurenai	87			base, specials
kurenai-rev	87			specials
kurenai-awk-1	87	0x5B		specials
kurenai-awk-2	87	0x5C		
kankuro	60			base, specials
kankuro-rev	60			specials
kankuro-awk-1	60	0x3D		specials
temari	61			base, specials
temari-rev	61			specials
temari-awk-1	61	0x3E		specials
chiyo-taijutsu	77			base, specials
chiyo-taijutsu-rev	77			specials
chiyo-taijutsu-awk-1	77	0x4D		
chiyo-taijutsu-awk-2	77	0x4E		base, specials
kisame	72			base, specials
kisame-rev	72			specials
kisame-awk-1	72	0x4B		specials
kisame-luj-1	72		0x0D	specials
itachi	71			base, specials
itachi-rev	71			specials
itachi-awk-1	71	0x4A		specials
itachi-luj-1	71		0x0E	specials
deidara	64			base, specials
deidara-rev	64			specials
deidara-awk-1	64	0x41		base, specials
deidara-luj-1	64		0x1E	specials
chiyo	62			base, specials
chiyo-rev	62			specials
chiyo-awk-1	62	0x3F		specials
chiyo-luj-1	62		0x01	specials
sasori	63			base, specials
sasori-rev	63			specials
sasori-luj-1	63		0x0B	specials
sasori-2nd	75			base, parent-specials
hiruko	76			base, specials
hiruko-rev	76			specials
hiruko-awk-1	76	0x4C		specials
tsunade	84			base, specials
tsunade-rev	84			specials
tsunade-awk-1	84	0x22		
tsunade-awk-2	84	0x23		
tsunade-awk-3	84	0x57		base, specials
tsunade-lj-1	84		0x18	specials
jiraiya	83			base, specials
jiraiya-rev	83			specials
jiraiya-awk-1	83	0x56		specials
shizune	85			base, specials
shizune-rev	85			specials
shizune-awk-1	85	0x58		specials
shizune-awk-2	85	0x59		
orochimaru	89			base, specials
orochimaru-rev	89			specials
orochimaru-awk-1	89	0x5D		specials
