id	base_id	character	tier	substitution_cost	hp	damage_multiplier	health_recovery_multiplier	chakra_recovery_multiplier
base				20
step				+5
76		Sasori (Hiruko)	S+++
69		Might Guy	S+
68		Shikamaru Nara	S+
71		Itachi Uchiha	S+
61		Temari	S+
67		Rock Lee	S+
3		Rock Lee (Classic)	S+
49	3	Loopy Fist Lee	S
66		Tenten	S+
43		The Second Hokage	S+
39		The Yellow Flash	S+
38		Kimimaro	S+
56	38	Second Stage Kimimaro	S+++
82		Ino Yamanaka	S
13		Tenten (Classic)	S
57		Naruto Uzumaki	S
73	57	Nine-Tailed Fourth Awakened State	S+++
79		Shino Aburame	S
10		Haku	S
89		Orochimaru	S
60		Kankuro	S
63		Sasori	S
75	63	Sasori (Puppet)	C
64		Deidara	S
92		Sai	S
62		Granny Chiyo	A
65		Neji Hyuga	A
42		The First Hokage	A
6		Neji Hyuga (Classic)	A
70		Kakashi Hatake	A
35		Kidomaru	A
53	35	Second Stage Kidomaru	S+++
91		Yamato	A
59		Kazekage Gaara	A
58		Sakura Haruno	A
18		Kankuro (Classic)	A
15		Ino Yamanaka (Classic)	A
4		Gaara (Classic)	B
50	4	Possessed Gaara	S+
12		Hinata Hyuga (Classic)	B
90		Kabuto Yakushi	B
2		Sasuke Uchiha (Classic)	B
48	2	Second Stage Sasuke Uchiha	A
80		Hinata Hyuga	B
7		Sakura Haruno (Classic)	B
1		Naruto Uzumaki (Classic)	B
47	1	Naruto Uzumaki (Nine-Tailed)	S+
34		Jirobo	B
52	34	Second Stage Jirobo	B
36		Tayuya	B
54	36	Second Stage Tayuya	S+
84		Tsunade	B
72		Kisame Hoshigaki	B
86		Asuma Sarutobi	C
78		Kiba Inuzuka	C
41		Hanabi Hyuga	C
83		Jiraiya	C
81		Choji Akimichi	C
93		Sasuke Uchiha	C
22		The Third Hokage	C
37		Sakon	C
55	37	Second Stage Sakon	A
16		Kiba Inuzuka (Classic)	C
19		Temari (Classic)	C
17		Shino Aburame (Classic)	C
85		Shizune	D
5		Shikamaru Nara (Classic)	D
11		Zabuza Momochi	D
14		Choji Akimichi (Classic)	D
51	14	Super Choji	S
40		Konohamaru Ninja Squad	D
46		Anko Mitarashi	D
77		Granny Chiyo (Taijutsu)	D
87		Kurenai Yuhi	D
