edit_id	patch_id	order	target_id	offset	expected_hex	replacement_hex	relocation_offset	symbol	encoding	addend	reason
font_glyphs_metrics_01	font_glyphs_metrics	10	na2_elf	0x87374	6800638E1800648C4C008010000000008018020021288300	2D2060022D2840000000000000000000ED1C060800000000	0x8	localization.font.glyph_metric_apply	jal26	0	Pass the live renderer context, secondary cell, and native flags to the compiled metric application entry, then rejoin the original function cleanup.
font_glyphs_metrics_02	font_glyphs_metrics	20	na2_elf	0x87B60	030020A2020020A2010020A2000020A23D00001000000000	2D206002000045920000000000000000DA1E0608000022AE	0x8	localization.font.glyph_metric_lookup	jal26	0	Expand the current secondary byte through the compiled packed-metric lookup, store the native four-byte row, and rejoin the original measurement cleanup.
font_layout_core_01	font_layout_core	10	na2_elf	0x893EC	040060C640000146	0000000000000000	0	localization.font.v2.plain_space	j26	0	Route ordinary ASCII-space advance through the v2 session guard; a null session reproduces the two displaced NA2 instructions.
font_layout_core_02	font_layout_core	20	na2_elf	0x88704	400060C640080046	0000000000000000	0	localization.font.v2.newline_advance	j26	0	Route newline advance through the v2 session guard; a null session reproduces the two displaced NA2 instructions.
font_layout_core_03	font_layout_core	30	na2_elf	0x88070	400D0046200020C6	0000000000000000	0	localization.font.v2.right_edge	j26	0	Route normal glyph right-edge geometry through the v2 session guard without changing the unscaled vertical edge.
font_layout_core_04	font_layout_core	40	na2_elf	0x88B7C	1C1003461C0060E6	0000000000000000	0	localization.font.v2.half_space	j26	0	Route inline-markup half-space advance through the v2 session guard while preserving the original accumulator and store when inactive.
font_layout_core_05	font_layout_core	50	na2_elf	0x897D8	400002461C0060C6	0000000000000000	0	localization.font.v2.glyph_advance	j26	0	Route ordinary glyph advance through the v2 session guard; a null session reproduces the displaced add and coordinate load.
font_layout_global_selected_style_01	font_layout_global_selected_style	10	na2_elf	0x279168	80CA848F80FF0234	0000000000000000	0	localization.font.v2.global_selected_style	jal26	0	Route the selected branch of NA2's state-aware primitive through the shared origin correction after it has saved X and Y; ordinary text remains native.
font_layout_global_selected_style_02	font_layout_global_selected_style	20	na2_elf	0x279278	80CA848F80FF0234	0000000000000000	0	localization.font.v2.global_selected_style	jal26	0	Route NA2's caller-colored selected primitive through the same shared origin correction after it has saved X and Y.
font_layout_global_selected_style_03	font_layout_global_selected_style	30	na2_elf	0x279D30	A0FFBD275000BFFF	0000000000000000	0	localization.font.v2.global_two_choice_draw	j26	0	Replace the third fixed two-choice primitive with a shared dispatcher that delegates its selected row to the corrected central selected primitive and its other row to the native ordinary primitive.
font_layout_global_selected_style_04	font_layout_global_selected_style	40	na2_elf	0xE6374	74080E0C00000000	0000000000000000	0	localization.font.v2.global_selected_record_draw	jal26	0	Move the first selected record shadow below and right before the shared list component draws it; the native following subtraction restores the colored row to its ordinary origin.
font_layout_global_selected_style_05	font_layout_global_selected_style	50	na2_elf	0xE63D0	74080E0C00000000	0000000000000000	0	localization.font.v2.global_selected_record_draw	jal26	0	Apply the same record-origin formula to the second branch of the shared list component.
font_layout_global_selected_style_06	font_layout_global_selected_style	60	na2_elf	0xE6964	74080E0C00000000	0000000000000000	0	localization.font.v2.global_selected_record_draw	jal26	0	Apply the shared selected-record formula to the first field in the reusable three-record save/load row.
font_layout_global_selected_style_07	font_layout_global_selected_style	70	na2_elf	0xE6978	74080E0C00000000	0000000000000000	0	localization.font.v2.global_selected_record_draw	jal26	0	Apply the shared selected-record formula to the second field in the reusable three-record save/load row.
font_layout_global_selected_style_08	font_layout_global_selected_style	80	na2_elf	0xE698C	74080E0C00000000	0000000000000000	0	localization.font.v2.global_selected_record_draw	jal26	0	Apply the shared selected-record formula to the third field in the reusable three-record save/load row.
font_layout_global_selected_style_09	font_layout_global_selected_style	90	na2_elf	0xE6FB4	74080E0C00000000	0000000000000000	0	localization.font.v2.global_selected_record_draw	jal26	0	Apply the shared selected-record formula to the first branch of the reusable save/load Yes/No prompt.
