edit_id	patch_id	order	destination_target_id	destination_offset	operation	length	expected_hex	expected_sha256	replacement_hex	source_target_id	source_offset	source_expected_hex	source_expected_sha256	blob_path	blob_offset	blob_sha256	fill_hex	reason
ELF-Q001-01	ELF-Q001	10	slps_258_37	0xDE868	replace	4	DCCB83A7		DCCB84A7									Skip CC2 intro.
ELF-Q001-02	ELF-Q005	20	slps_258_37	0xDE8C4	replace	4	02000424		07000010									Skip opening.
ELF-Q009-02	ELF-Q009	40	slps_258_37	0xE12CC	replace	4	02000324		03000324									Enter the title-input state immediately after required startup loading and splash cleanup, bypassing the post-splash sequence.
ELF-Q009-03	ELF-Q009	50	slps_258_37	0xE1340	replace	4	107A070C		01000224									Return the native Start-accepted result without constructing or displaying the title screen, selecting main-menu state 4 substate 1 through the existing caller.
ELF-Q002-01	ELF-Q002	10	slps_258_37	0xE7C30	replace	4	2530C700		00000000									Voice off by default.
ELF-Q002-02	ELF-Q006	20	slps_258_37	0xE7C7C	replace	4	0B0085A0		0B0080A0									Force support off instead of leaving the previous settings-block value unchanged.
ELF-Q002-03	ELF-Q007	30	slps_258_37	0xE7B94	replace	4	25186600		00000000									Force command display off while preserving the following settings-field reload.
ELF-Q003-01	ELF-Q003	10	slps_258_37	0xE7BAC	replace	4	25186600		00000000									Simple display off by default.
ELF-Q004-01	ELF-Q004	10	slps_258_37	0x4D52D0	replace	4	04000000		FFFFFFFF									Mark only the Adventure Mode Select entry unavailable, matching NUN6's filtered-carousel behavior.
ELF-Q008-01	ELF-Q008	10	slps_258_37	0x4D52E0	replace	4	05000000		FFFFFFFF									Mark only the Shop Mode Select entry unavailable using the existing filtered-carousel behavior.
ELF-Q010-01	ELF-Q010	10	slps_258_37	0xE6A70	replace	4	0300432A		0100432A									Limit the shared Save/Load slot-row renderer to its first record.
ELF-Q010-02	ELF-Q010	20	slps_258_37	0xE6BA0	replace	4	00408230		2D100000									Ignore downward slot navigation before it changes selection or plays the navigation sound.
ELF-Q010-03	ELF-Q010	30	slps_258_37	0xE6BE0	replace	4	00108230		2D100000									Ignore upward slot navigation before it changes selection or plays the navigation sound.
ELF-Q010-04	ELF-Q010	40	slps_258_37	0xE6568	replace	4	D842033C		3442033C									Center the date and play-time block at local X 45 inside the compact panel.
ELF-Q010-05	ELF-Q010	50	slps_258_37	0xE6584	replace	4	6041023C		A041023C									Center the single save record at local Y 20 inside the compact panel.
ELF-Q010-06	ELF-Q010	60	slps_258_37	0xE65B8	replace	4	7042023C		7AC4023C									Move the redundant slot-number record outside the viewport.
ELF-Q010-07	ELF-Q010	70	slps_258_37	0xE6888	replace	4	0200412A		0000412A									Suppress row separators when only one record is rendered.
ELF-Q010-08	ELF-Q010	80	slps_258_37	0xE598C	replace	4	6842023C		1243023C									Move the upper Save/Load panel to centered X 146.
ELF-Q010-09	ELF-Q010	90	slps_258_37	0xE5994	replace	4	2041023C		B442023C									Move the upper Save/Load panel to detached Y 90 above the lower panel.
ELF-Q010-10	ELF-Q010	100	slps_258_37	0xE599C	replace	4	C843023C		6043023C									Shrink the upper Save/Load panel width from 400 to 224.
ELF-Q010-11	ELF-Q010	110	slps_258_37	0xE59A4	replace	4	6043023C		C042023C									Shrink the upper Save/Load panel height from 224 to 96.
ELF-Q010-12	ELF-Q010	120	slps_258_37	0xE6DA4	replace	4	E4ED060C		00000000									Suppress the obsolete independent save-slot cursor model draw.
ELF-Q010-13	ELF-Q010	130	slps_258_37	0xE4388	replace	8	100083AE2400848E		5F03001000000000									Enter the sole-slot save path before any redundant slot-list setup or rendering.
ELF-Q010-14	ELF-Q010	140	slps_258_37	0xE5108	replace	32	2400848E6C9A070C000000000300032432004310000000000200032422004310		2400838E1000658C04CC848F9487070C05000224140060ACD2FC0010080082AE									Select slot zero and enter its native save confirmation without rendering the slot list.
ELF-Q010-15	ELF-Q010	150	slps_258_37	0xE424C	replace	8	04CC828F4C00528C		BC03001004CC828F									Route memory-card status dispatch through the unformatted-screen bypass.
ELF-Q010-16	ELF-Q010	160	slps_258_37	0xE5140	replace	36	0E006316000000002400828E1000428C040082AE04CC848F0400858E8487070C00000000		4C00528C0A00032442FC4316000000002400838E01000224140062AC43FC001000000000									Advance status 0x0A without constructing its informational screen, then retain native dispatch for every other status.
ELF-Q010-17	ELF-Q010	170	slps_258_37	0xE53CC	replace	12	04CC848F8C87070C00000000		01001524F500001000000000									Exit the save controller when the final confirmation returns No instead of reopening the removed slot list.
