id	enabled	display_context	source	donor	prefix	replacement	display_basis	source_ref	donor_ref	mode	capacity	transform	arguments	reference_refs	parent_mapping_id
T5	1	Battle HUD > maximum damage label	最大	MAX			seen:savestate-084	NA2_SLPS@0x504970	NUN5_SLES@0x513E70	slot	8				
T6	1	Battle or Practice Settings > label or running help	対戦時間	Time			e2e:menus	NA2_BTL@0x20A210	NUN5_SLES@0x5142C8	slot	16				
T7	1	Battle or Practice Settings > label or running help	アイテム出現	Items			e2e:menus	NA2_BTL@0x20A220	NUN5_SLES@0x5142D0	slot	16				
T8	1	Battle or Practice Settings > label or running help	チャクラ	Chakra			e2e:menus	NA2_BTL@0x20A230	NUN5_TEXTENG@0xB88	slot	16				
T9	1	Battle or Practice Settings > label or running help	ハンディキャップ	Handicap			e2e:menus	NA2_BTL@0x20A240	NUN5_TEXTENG@0xF890	slot	32				
T10	1	Battle or Practice Settings > label or running help	<r方向|ほうこう>キー<r左右|さゆう>で<r対戦時間|たいせんじかん>の<r変更|へんこう>ができます。	Press the left directional button or right directional button to change battle time.			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x20A280	NUN5_TEXTENG@0xF540	slot	96				
T11	1	Battle or Practice Settings > label or running help	<r方向|ほうこう>キー<r左右|さゆう>でＣＯＭの<r強|つよ>さを<r変更|へんこう>できます。	Press the left directional button or right directional button to change COM strength.			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x20A2E0	NUN5_TEXTENG@0xF5A0	slot	96				
T12	1	Battle or Practice Settings > label or running help	<r方向|ほうこう>キー<r左右|さゆう>でアイテムの<r出現率|しゅつげんりつ>が<r変更|へんこう>できます。　　　　　<r多|おお>めにすると、いつもよりゲーム<r中|ちゅう>に<r出現|しゅつげん>するアイテムの<r数|かず>が<r多|おお>くなります。	Press the left directional button or right directional button to change frequency of item appearance. Set to More to make items appear more frequently than usual.			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x20A340	NUN5_TEXTENG@0xF600	slot	240				
T13	1	Battle or Practice Settings > label or running help	<r方向|ほうこう>キー<r左右|さゆう>で<r忍術|にんじゅつ>などを<r使用|しよう>した<r時|とき>に、チャクラが<r減|へ>るか<r減|へ>らないかを<r設定|せってい>できます。	Press the left directional button or right directional button to chose whether Chakra decreases or not when using Jutsu.			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x20A430	NUN5_TEXTENG@0xF6B0	slot	160				
T14	1	Battle or Practice Settings > label or running help	<r方向|ほうこう>キー<r左右|さゆう>で<r奥義|おうぎ>の<r入力勝負|にゅうりょくしょうぶ>の<r切|き>り<r替|か>えなどが<r設定|せってい>できます。	Press the left directional button or right directional button to change Ultimate Jutsu controls.			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x20A4D0	NUN5_TEXTENG@0xF730	slot	144				
T15	1	Battle or Practice Settings > label or running help	<r方向|ほうこう>キー<r左右|さゆう>でハンディキャップの<r設定|せってい>ができます。　　　　　<r赤|あか>いマークが<r多|おお>いほど、１Ｐが<r有利|ゆうり>。<r逆|ぎゃく>に<r青|あお>いマークが<r多|おお>いと２Ｐが<r有利|ゆうり>な<r設定|せってい>です。	Press the left directional button or right directional button to change handicap. More red marks means a better advantage for 1P. Blue marks are for 2P.			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x20A560	NUN5_TEXTENG@0xF7A0	slot	256				
T16	1	Battle or Practice Settings > label or running help	<r対戦設定|たいせんせってい>をデフォルトに<r戻|もど>しました。	Battle Settings returned to defaults.			e2e:menus	NA2_BTL@0x20A680	NUN5_TEXTENG@0xF260	slot	68				
T17	1	Battle or Practice Settings > label or running help	連係攻撃	Linked Attack			e2e:practice	NA2_BTL@0x20A748	NUN5_TEXTENG@0xF08	slot	16				
T18	1	Battle or Practice Settings > label or running help	連係モード	Linked Mode			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x20A758	NUN5_TEXTENG@0x1E60	slot	16				
T19	1	Battle or Practice Settings > label or running help	コマンド表示	Commands			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x20A768	NUN5_TEXTENG@0x893	slot	16				
T20	1	Battle or Practice Settings > label or running help	ダメージ量表示	Damage			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x20A778	NUN5_SLES@0x5142E8	slot	16				
T21	1	Battle or Practice Settings > label or running help	<r対戦|たいせん><r相手|あいて>の<r状態|じょうたい>を<r指定|してい>できます。ＣＯＭでは、コンピュータと<r対戦|たいせん>する<r事|こと>ができます。	You can battle against the computer when in COM mode.			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x20B170	NUN5_TEXTENG@0xFFE0	slot	160				
T22	1	Battle or Practice Settings > label or running help	<r対戦|たいせん><r相手|あいて>の<r状態|じょうたい>を<r指定|してい>できます。<r立|た>ちでは、<r立|た>った<r状態|じょうたい>で<r下記|かき>で<r指定|してい>した<r行動|こうどう>をします。	COM will make the following standing movements when in Stand mode.			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x20B210	NUN5_TEXTENG@0x10020	slot	192				
T23	1	Battle or Practice Settings > label or running help	<r対戦|たいせん><r相手|あいて>の<r状態|じょうたい>を<r指定|してい>できます。ジャンプでは、ジャンプしながら<r下記|かき>で<r指定|してい>した<r行動|こうどう>をします。	COM will make the following standing movements when in Jump mode.			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x20B2D0	NUN5_TEXTENG@0x10070	slot	176				
T24	1	Battle or Practice Settings > label or running help	<r対戦|たいせん><r相手|あいて>の<r状態|じょうたい>を<r指定|してい>できます。<r二段|にだん>ジャンプでは、<r二段|にだん>ジャンプしながら<r下記|かき>で<r指定|してい>した<r行動|こうどう>をします。	COM will make the following standing movements when in Jump mode.			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x20B380	NUN5_TEXTENG@0x10070	slot	208				
T25	1	Battle or Practice Settings > label or running help	対戦相手の設定	Opponent Settings			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x20B468	NUN5_TEXTENG@0xF920	slot	24				
T26	1	Battle or Practice Settings > label or running help	<r練習設定|れんしゅうせってい>をデフォルトに<r戻|もど>しました。	Practice settings returned to defaults.			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x20B4D0	NUN5_TEXTENG@0xF940	slot	72				
T27	1	Battle or Practice Settings > selector value	楽々	Simple			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505B48	NUN5_SLES@0x514218	slot	8				
T28	1	Battle or Practice Settings > selector value	ふつう	Normal			e2e:menus|e2e:practice	NA2_SLPS@0x505B50	NUN5_SLES@0x514228	slot	8				
T29	1	Battle or Practice Settings > selector value	激むず	Insane			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505B58	NUN5_SLES@0x514238	slot	8				
T30	1	Battle or Practice Settings > selector value	究極	Ultimate			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505B60	NUN5_TEXTENG@0xF208	slot	8			NA2_BTL@0x209CB4	
T31	1	Battle or Practice Settings > selector value	なし	None			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505B68	NUN5_SLES@0x514240	slot	8				
T32	1	Battle or Practice Settings > selector value	少なめ	Less			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505B70	NUN5_SLES@0x514248	slot	8				
T33	1	Battle or Practice Settings > selector value	多め	More			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505B78	NUN5_SLES@0x514250	slot	8				
T34	1	Battle or Practice Settings > selector value	通常	Normal			e2e:menus|e2e:practice	NA2_SLPS@0x505B80	NUN5_SLES@0x4B9519	slot	8				
T35	1	Battle or Practice Settings > selector value	回転	Turn			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505B98	NUN5_SLES@0x514278	slot	8				
T36	1	Battle or Practice Settings > selector value	連打	Combo			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505BA0	NUN5_SLES@0x4AFE80	slot	8				
T37	1	Battle or Practice Settings > selector value	オフ	OFF			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505BB0	NUN5_SLES@0x513E6C	slot	8				
T38	1	Battle or Practice Settings > selector value	オン	ON			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505BB8	NUN5_SLES@0x513E68	slot	8				
T39	1	Battle or Practice Settings > selector value	半分	Half			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505BC8	NUN5_SLES@0x514280	slot	8				
T40	1	Battle or Practice Settings > selector value	オート	Auto			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505BE0	NUN5_SLES@0x513F18	slot	8				
T41	1	Battle or Practice Settings > selector value	手動	Manual			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505BF0	NUN5_SLES@0x513F10	slot	8				
T42	1	Battle or Practice Settings > selector value	ＣＯＭ	COM			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505BF8	NUN5_SLES@0x514290	slot	8				
T43	1	Battle or Practice Settings > selector value	立ち	Stand			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505C00	NUN5_SLES@0x514298	slot	8				
