character	id	support_id	awakening_ids	linked_uj	linked_jutsu	record_address	default_hp	durability_parameter	incoming_damage_multiplier	offense_multiplier	health_recovery_multiplier	chakra_recovery_multiplier
Naruto Uzumaki	57	0x00	0x72	0x01	0x08,0x20	0x004DAD80	90.909091	0.90	1.10	1.10	1.00	1.20
Nine-Tailed Fourth Awakened State	73		0x72			0x00535D50	125.000000	1.20	0.80	1.25	1.10	1.50
Sakura Haruno	58	0x01	0x3A	0x00,0x1B		0x004E01B0	83.333333	0.80	1.20	1.20	1.10	1.10
Kakashi Hatake	70	0x02	0x49			0x00525BC0	100.000000	1.00	1.00	1.15	1.00	1.00
Sai	92	0x20	0x61,0x62			0x00595B60	100.000000	1.00	1.00	1.15	1.00	1.00
Neji Hyuga	65	0x03	0x42			0x00507CC0	90.909091	0.90	1.10	1.10	0.85	1.00
Rock Lee	67	0x04	0x44,0x45			0x00514090	111.111111	1.10	0.90	1.05	0.85	0.80
Might Guy	69	0x06	0x47,0x48			0x00520470	90.909091	0.90	1.10	1.10	0.90	1.00
Tenten	66	0x05	0x43			0x0050D830	95.238095	0.95	1.05	0.95	1.00	1.00
Choji Akimichi	81	0x13	0x54			0x0055F020	105.263158	1.05	0.95	1.10	0.85	0.85
Shikamaru Nara	68	0x07	0x46		0x13	0x00519AD0	100.000000	1.00	1.00	1.00	1.05	1.00
Ino Yamanaka	82	0x14	0x55			0x00564D60	100.000000	1.00	1.00	0.90	1.00	1.00
Asuma Sarutobi	86	0x15	0x5A			0x0057A9A0	95.238095	0.95	1.05	1.05	1.00	1.00
Shino Aburame	79	0x10	0x51			0x005529E0	100.000000	1.00	1.00	1.00	1.00	1.00
Kiba Inuzuka	78	0x11	0x50			0x0054D290	95.238095	0.95	1.05	1.10	1.05	1.00
Hinata Hyuga	80	0x12	0x52,0x53			0x00558C70	86.956522	0.85	1.15	0.90	1.10	1.10
Kazekage Gaara	59	0x08	0x3B			0x004E5C30	111.111111	1.10	0.90	0.95	1.00	0.90
Kurenai Yuhi	87	0x16	0x5B,0x5C			0x0057FD20	95.238095	0.95	1.05	0.95	1.00	1.00
Kankuro	60	0x09	0x3D			0x004EB2D0	105.263158	1.05	0.95	1.00	0.90	0.90
Temari	61	0x0A	0x3E			0x004F09A0	90.909091	0.90	1.10	1.10	0.95	0.90
Granny Chiyo (Taijutsu)	77	0x0F	0x4D,0x4E			0x00547570	90.909091	0.90	1.10	1.00	1.10	1.15
Kisame Hoshigaki	72	0x0E	0x4B	0x0D		0x005304F0	90.909091	0.90	1.10	1.30	0.90	1.00
Itachi Uchiha	71	0x0D	0x4A	0x0E		0x0052B120	100.000000	1.00	1.00	1.10	1.00	1.00
Deidara	64	0x0B	0x41	0x1E		0x00501A70	90.909091	0.90	1.10	1.00	1.00	1.00
Granny Chiyo	62	0x1B	0x3F	0x01		0x004F6BB0	90.909091	0.90	1.10	1.00	1.05	1.10
Sasori	63	0x1E	0x73	0x0B		0x004FC230	90.909091	0.90	1.10	1.10	1.00	1.20
Sasori (Puppet)	75		0x73			0x0053B630	90.909091	0.90	1.10	1.10	1.00	1.20
Sasori (Hiruko)	76	0x0C	0x4C			0x005403A0	100.000000	1.00	1.00	1.10	0.80	0.80
Tsunade	84	0x19	0x22,0x23,0x57		0x18	0x0056F7E0	100.000000	1.00	1.00	1.20	1.15	1.15
Jiraiya	83	0x18	0x56			0x00569F90	125.000000	1.20	0.80	1.20	1.15	1.15
Shizune	85	0x1A	0x58,0x59			0x00575290	95.238095	0.95	1.05	0.95	1.10	1.15
Orochimaru	89	0x1C	0x5D	0x21		0x005857A0	105.263158	1.05	0.95	1.15	0.80	0.80
Yamato	91	0x1F	0x5F,0x60			0x005903A0	100.000000	1.00	1.00	1.15	1.00	1.00
Kabuto Yakushi	90	0x1D	0x5E			0x0058AB50	95.238095	0.95	1.05	1.05	1.10	1.15
Sasuke Uchiha	93	0x21	0x63,0x64	0x1C	0x00	0x0059BDB0	100.000000	1.00	1.00	1.10	0.90	1.00
Naruto Uzumaki (Classic)	1		0x0E,0x68			0x0040DB70	90.909091	0.90	1.10	1.10	1.00	1.20
Naruto Uzumaki (Nine-Tailed)	47		0x68			0x004A68A0	125.000000	1.20	0.80	1.25	1.10	1.50
Sasuke Uchiha (Classic)	2		0x0F,0x69			0x00413240	100.000000	1.00	1.00	1.10	0.90	1.00
Second Stage Sasuke Uchiha	48		0x69			0x004AC3E0	111.111111	1.10	0.90	1.20	0.90	0.90
Sakura Haruno (Classic)	7		0x13			0x0042D9E0	90.909091	0.90	1.10	0.80	1.05	1.10
Neji Hyuga (Classic)	6		0x12			0x00428550	90.909091	0.90	1.10	1.10	0.85	1.00
Rock Lee (Classic)	3		0x10,0x6A			0x00418990	111.111111	1.10	0.90	1.05	0.85	0.80
Loopy Fist Lee	49		0x6A			0x004B2110	117.647059	1.15	0.85	1.20	1.10	1.10
Tenten (Classic)	13		0x19			0x00442470	95.238095	0.95	1.05	0.95	1.00	1.00
Shikamaru Nara (Classic)	5		0x11			0x00422FE0	100.000000	1.00	1.00	0.90	1.05	1.00
Choji Akimichi (Classic)	14		0x1A,0x6C			0x004474A0	105.263158	1.05	0.95	1.05	0.85	0.85
Super Choji	51		0x6C			0x004BC530	111.111111	1.10	0.90	1.25	0.85	0.90
Kiba Inuzuka (Classic)	16		0x1C			0x00452180	95.238095	0.95	1.05	1.10	1.05	1.00
Ino Yamanaka (Classic)	15		0x1B			0x0044CA90	100.000000	1.00	1.00	0.90	1.00	1.00
Shino Aburame (Classic)	17		0x1D			0x00457660	100.000000	1.00	1.00	1.00	1.00	1.00
Hinata Hyuga (Classic)	12		0x17,0x18			0x0043D000	86.956522	0.85	1.15	0.90	1.10	1.10
Hanabi Hyuga	41		0x30,0x31			0x00491610	86.956522	0.85	1.15	0.95	1.00	1.10
Konohamaru Ninja Squad	40		0x2E,0x2F			0x0048C430	86.956522	0.85	1.15	1.00	1.00	1.00
Anko Mitarashi	46		0x37,0x38			0x004A1080	95.238095	0.95	1.05	1.00	1.00	0.95
The First Hokage	42		0x32			0x004965B0	100.000000	1.00	1.00	1.25	1.00	1.00
The Second Hokage	43		0x33,0x34			0x0049B900	111.111111	1.10	0.90	1.00	1.00	1.10
The Yellow Flash	39		0x2C,0x2D			0x004877D0	90.909091	0.90	1.10	1.10	1.00	1.50
The Third Hokage	22		0x21			0x00468130	95.238095	0.95	1.05	1.25	0.95	0.90
Gaara (Classic)	4		0x6B			0x0041D9E0	111.111111	1.10	0.90	0.90	1.00	0.90
Possessed Gaara	50		0x6B			0x004B7150	125.000000	1.20	0.80	1.30	1.00	0.90
Temari (Classic)	19		0x1F			0x004628B0	90.909091	0.90	1.10	1.05	0.95	0.90
Kankuro (Classic)	18		0x1E			0x0045CF10	105.263158	1.05	0.95	1.00	0.90	0.90
Kimimaro	38		0x2B,0x71			0x00481BE0	95.238095	0.95	1.05	1.10	1.05	1.00
Second Stage Kimimaro	56		0x71			0x004D5380	111.111111	1.10	0.90	1.20	1.05	1.00
Sakon	37		0x2A,0x70			0x0047C4E0	90.909091	0.90	1.10	1.05	0.95	0.95
Second Stage Sakon	55		0x70			0x004CFC70	111.111111	1.10	0.90	1.20	1.05	1.00
Tayuya	36		0x29,0x6F			0x00476B70	95.238095	0.95	1.05	0.95	1.10	1.10
Second Stage Tayuya	54		0x6F			0x004CA870	86.956522	0.85	1.15	1.30	0.90	0.90
Kidomaru	35		0x28,0x6E			0x00472140	100.000000	1.00	1.00	1.00	1.00	1.00
Second Stage Kidomaru	53		0x6E			0x004C5D70	111.111111	1.10	0.90	1.20	1.00	1.00
Jirobo	34		0x27,0x6D			0x0046D140	105.263158	1.05	0.95	1.05	0.85	0.85
Second Stage Jirobo	52		0x6D			0x004C1500	125.000000	1.20	0.80	1.25	1.20	1.20
Zabuza Momochi	11		0x16			0x00438080	90.909091	0.90	1.10	1.30	0.90	1.00
Haku	10		0x15			0x00432A10	111.111111	1.10	0.90	0.90	1.05	1.00
