id	en	jp
common.off	Off	オフ
common.on	On	オン
common.normal	Normal	通常
common.unlimited	Unlimited	無制限
common.none	None	なし
common.less	Less	少ない
common.more	More	多い
common.custom	Custom	カスタム
common.default	Default	標準
common.free	Free	消費なし
common.nerfed	Nerfed	弱体化
common.all	All	すべて
common.relevant	Relevant	関連のみ
common.classic	Classic	従来
common.updated	Updated	変更版
common.original	Original	原作
common.overrides	Overrides	調整版
settings.control_scheme.label	Control Scheme	操作設定
settings.control_scheme.help	Choose the gameplay control interpretation.	バトル中の操作方式を選択します。
settings.simple_display.label	Simple Display	簡易表示
settings.simple_display.help	Choose the battle Simple Display state.	バトル中の簡易表示を設定します。
settings.character_balance.label	Character Balance	キャラ性能
settings.character_balance.help	Choose original or configured character balance.	原作の性能か調整後の性能を選択します。
settings.balance_overlay.label	Balance Overlay	性能情報表示
settings.balance_overlay.help	Show character balance information on Character Select.	キャラクター選択画面に性能情報を表示します。
settings.support_selection.label	Support Selection	サポート選択
settings.support_selection.help	Choose which supports are available on Character Select.	選択できるサポートキャラクターを設定します。
settings.items.label	Items	アイテム
settings.items.help	Choose item availability. Square opens Custom settings.	アイテムの出現を設定します。<iconSQUARE>でカスタム設定を開きます。
settings.minimum_chakra.label	Minimum Chakra	必要チャクラ
settings.minimum_chakra.help	Required chakra to substitute. Match Cost follows the actual cost.	変わり身に必要なチャクラ量です。「消費量と同じ」は実際の消費量に合わせます。
settings.minimum_chakra.match_cost	Match Cost	消費量と同じ
settings.recovery_delay.label	Recovery Delay	回復開始時間
settings.recovery_delay.help	Delay after substitution before automatic recovery.	変わり身の後、自動回復が始まるまでの時間です。
settings.refill_time.label	Refill Time per Stock	１回分の回復時間
settings.refill_time.help	Automatic recovery time for one stock.	ゲージ１回分が自動回復するまでの時間です。
settings.damage_recovery.label	Damage Recovery	被ダメージ回復
settings.damage_recovery.help	Recover gauge when taking damage.	ダメージを受けるとゲージが回復します。
settings.damage_percent.label	Damage Percent per Stock	１回分のダメージ
settings.damage_percent.help	Damage required to recover one stock.	ゲージ１回分の回復に必要なダメージ量です。
settings.availability.label	Availability	出現量
settings.availability.help	Choose the amount of items in Custom mode.	カスタム設定でのアイテムの出現量を選択します。
settings.item.help	Allow {item} in Custom mode.	カスタム設定で「{item}」を出現させます。
settings.substitution.label	Substitution	変わり身
settings.substitution.help	Choose whether substitutions consume chakra, the gauge, or nothing.	変わり身でチャクラを消費するか、ゲージを消費するか、消費なしかを選択します。
settings.sub_active_frames.label	Sub Active Frames	変わり身受付時間
settings.sub_active_frames.help	Choose the total input window. Default uses vanilla attack timing.	入力の受付時間を選択します。「標準」は原作の判定を使用します。
settings.xdash_chakra_cost.label	X-dash Chakra Cost	Ｘダッシュ消費量
settings.xdash_chakra_cost.help	Choose the chakra percentage spent when X-dash commits.	Ｘダッシュ時に消費するチャクラの割合を選択します。
settings.support.label	Support	サポート
settings.support.help	Nerfed: full gauge, immediate attack. Normal or Unlimited: standard support.	弱体化は満タンのゲージで即攻撃します。通常と無制限は通常のサポートです。
settings.shadowblur.label	Shadowblur Extra Hit	残像追加攻撃
settings.shadowblur.help	Choose whether Shadowblur Extra Hit is enabled.	残像からの追加攻撃を有効にするか選択します。
settings.extra_hit.label	Extra Hit	追加攻撃
settings.extra_hit.help	Enable Extra Hit, disable it, or charge chakra for attempting it.	追加攻撃の有効・無効、または試行時のチャクラ消費を設定します。
settings.no_contest	No Contest	競り合いなし
settings.no_hud	No HUD	表示なし
settings.chakra.regen	Regen {rate}%/s	毎秒{rate}％回復
settings.extra_hit.cost	-{cost}% Chakra	チャクラ－{cost}％
settings.seconds	{seconds}s	{seconds}秒
menu.open	Open <iconSQUARE>	開く <iconSQUARE>
menu.open_value	{label} <iconSQUARE>	{label} <iconSQUARE>
