edit_id	patch_id	order	destination_target_id	destination_offset	operation	length	expected_hex	expected_sha256	replacement_hex	source_target_id	source_offset	source_expected_hex	source_expected_sha256	blob_path	blob_offset	blob_sha256	fill_hex	reason
font_nun5_glyphs_01	font_nun5_glyphs	10	data_gf4_bin	0x4E	replace	7	0A1600006E009D		0E1400008C007B									Set the secondary descriptor to native 14x20 packed cells with a 140-byte stride and 123 reachable entries while retaining its original 24x28 output quad.
font_nun5_glyphs_02	font_nun5_glyphs	20	data_gf4_bin	0xD5318	blob	1736		26563C6C773B372CB0DE4845FFBE83023DAD94526AB2990B72C55EF39A7D18EF						assets/nun5_semantic_14x20_packed_map.bin	0	6F691015E5BA54EA87B2976970D828863E274BB543CC3D531D93800018EB7A5E		Pack each NUN5-format secondary metric row into the value word of one ascending empty primary hash slot while preserving every key and every occupied primary entry.
font_nun5_glyphs_03	font_nun5_glyphs	30	data_gf4_bin	0xD9240	blob	17220		0246A8275782ADFEEF80C7C88CD5B912741A7787F3519FFDD6A6AA60F6DE9810						assets/nun5_semantic_14x20.bin	0	6E4B988E512568F0A91E0226A8A4046362C1A4EF078E50BBF630BEEF90333736		Import exact NUN5 14x20 geometry for same-semantic English glyphs, relocate its at-sign cell, reconstruct unsupported cells from clean NA2, and quantize donor coverage into the unchanged clean GF4C palette.
font_nun5_glyphs_04	font_nun5_glyphs	40	na2_elf	0x2F8814	replace	20	0000000000000000000000000000000000000000		7B00412C0A1001000600A3941F1C060800000000									Bound only the secondary draw-path cell index to 0..122 and use blank cell 0 for negative or larger indices; preserve the shared parser and primary font.
font_nun5_glyphs_05	font_nun5_glyphs	50	na2_elf	0x87174	replace	8	6800658E0600A394		C5E10F086800658E									Route the secondary raster lookup through its local 123-cell guard while retaining the displaced descriptor load in the jump delay slot.
font_nun5_glyphs_06	font_nun5_glyphs	60	na2_elf	0x87374	blob	316		DD1D1B331B3F0E8D94D0650A673E75348A164D0CCA428C23FDD02AC1AF492F56						assets/nun5_semantic_14x20_decoder.bin	0	06406ABC5E10AD85A13ECFA4396064354CC0FD85EE090FA5AEEA4040EE62D8F7		Decode the guarded secondary cell's packed metric row through the primary map pointer, apply the original draw bearing and trim semantics, and provide the same bounded decoder to secondary measurement.
font_nun5_glyphs_07	font_nun5_glyphs	70	na2_elf	0x87B60	blob	24		A76B08908AF72AFE8D55C905A848CFEDB20ADF7C8339F7B3F6DB22D19BE69392						assets/nun5_semantic_14x20_measurement_hook.bin	0	8B7A75C0FDFD2F055ACFC1FCF90996E298CE363E112659579513A89606FE7C1C		Return the same expanded native metric row for plain secondary bytes so centered layout and shrink-only fitting measure the geometry that the draw path actually advances.
font_controls_auto_fit_01	font_controls_auto_fit	10	na2_elf	0x2BDDFC	replace	132	000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000		2D408000FFFF09240000029101000825FDFF4014010029250E00222914004014D6410A3C130002241800220180430B3C03002C3142680C00124000002468AC01020008250000884400088B4420008046830800468260080021608D01C2FF8C2500008C448CC982E7200080460063004666664A3500188A44000000000800E00300A50346									Count clean ASCII bytes, preserve strings below the overflow threshold, compute 128 divided by measured native width, compensate the fitted origin for the native glyph bearings, and return the fitted row advance.
font_controls_auto_fit_02	font_controls_auto_fit	20	na2_elf	0x2F87C0	replace	64	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000		7C7342C4820802461C0020C640150046DE1F0608200020C67C7344C4021904461C100446A12206081C0060E67C7343C44000024642080346B82506081C0060C6									Scale normal glyph right-edge geometry, ASCII spaces, and ordinary glyph advance through one local factor from proven cross-game linker padding outside external-translation ownership.
font_controls_auto_fit_03	font_controls_auto_fit	30	na2_elf	0x50747C	replace	4	00000000		0000803F									Initialize the local Controls scale word to 1.0.
font_controls_auto_fit_04	font_controls_auto_fit	40	na2_elf	0x88070	replace	8	400D0046200020C6		B0E10F086000023C									Route normal glyph right-edge geometry through the relocated local horizontal scale helper.
font_controls_auto_fit_05	font_controls_auto_fit	50	na2_elf	0x88B7C	replace	8	1C1003461C0060E6		B6E10F086000023C									Route ASCII space advance through the relocated local horizontal scale helper.
font_controls_auto_fit_06	font_controls_auto_fit	60	na2_elf	0x897D8	replace	8	400002461C0060C6		BBE10F086000023C									Route ordinary glyph advance, including tracking, through the relocated local horizontal scale helper.
font_controls_auto_fit_07	font_controls_auto_fit	70	na2_elf	0x288848	replace	28	90E40D0C00000000D641023C66664234000082440000000000A50046		3FF70E0C0000000090E40D0C00000000803F023C8CC982AF00000000									Fit only the first eight Controls action labels, draw through the original centered helper, then restore the local scale to 1.0; leave the OFF call untouched.
font_controls_auto_fit_08	font_controls_auto_fit	80	na2_elf	0x288760	replace	4	00000000		4042123C									Preload the clean 48-unit Controls row origin in a common delay slot so the labels-only alignment rewrite can leave selection markers untouched.
font_controls_auto_fit_09	font_controls_auto_fit	90	na2_elf	0x2887C8	replace	20	4042023C00A082442D9000002400001000000000		00A09244803F023C000082442D90000041AD0046									Restore the clean row origin, initialize the label loop directly, and shift only all nine left and right Controls labels one local X unit left for native visible-ink centering.
font_modal_alignment_01	font_modal_alignment	10	na2_elf	0x2F8800	replace	20	0000000000000000000000000000000000000000		0080A34200C0924200C0904200007E4200006040									Store the five user-reviewed native-font row X positions 81.75, 73.375, 72.375, 63.5, and 3.5 in proven cross-game linker padding outside external-translation ownership.
font_modal_alignment_03	font_modal_alignment	30	na2_elf	0x2BC924	replace	44	04000224090002160000000008C2023C000082440000000040AD00468041023C000082440000000000A50046		4000033C008763248010100021104300000055C404000224040002164041023C000082440000000000A50046									Load every row X from the user-reviewed local table, retain the clean ordinary-row Y origin, and place the fifth row at local Y 116.
font_modal_alignment_04	font_modal_alignment	40	na2_elf	0x2BC988	replace	4	00000000		0200A524									Preserve the selected renderer's two-local-unit X compensation so selection does not shift visible ink.
BTL-P001	BTL-M001	10	na2_btl	0x000087C4	copy	4	40006230			nun5_btl	0x00008CB4	10006230						BTL-owned battle-adjacent UI/state input range. Contains a multi-button regional permutation, not merely a single confirm literal.
BTL-P002	BTL-M001	11	na2_btl	0x000087D0	copy	4	10006230			nun5_btl	0x00008CC0	20006230						BTL-owned battle-adjacent UI/state input range. Contains a multi-button regional permutation, not merely a single confirm literal.
BTL-P003	BTL-M001	12	na2_btl	0x0000889C	copy	4	20006330			nun5_btl	0x00008D5C	40006330						BTL-owned battle-adjacent UI/state input range. Contains a multi-button regional permutation, not merely a single confirm literal.
BTL-P004	BTL-M001	13	na2_btl	0x00008978	copy	4	20008330			nun5_btl	0x00008E78	40008330						BTL-owned battle-adjacent UI/state input range. Contains a multi-button regional permutation, not merely a single confirm literal.
BTL-P005	BTL-M001	14	na2_btl	0x000089B8	copy	4	40008330			nun5_btl	0x00008E84	10008330						BTL-owned battle-adjacent UI/state input range. Contains a multi-button regional permutation, not merely a single confirm literal.
BTL-P006	BTL-M002	10	na2_btl	0x0000AA50	copy	4	20006230			nun5_btl	0x0000AFF0	40006230						BTL-owned battle-adjacent UI/state input range. Contains a multi-button regional permutation, not merely a single confirm literal.
BTL-P007	BTL-M002	11	na2_btl	0x0000AA70	copy	4	40006230			nun5_btl	0x0000AFFC	10006230						BTL-owned battle-adjacent UI/state input range. Contains a multi-button regional permutation, not merely a single confirm literal.
BTL-P008	BTL-M002	12	na2_btl	0x0000AA88	copy	4	10006230			nun5_btl	0x0000B008	20006230						BTL-owned battle-adjacent UI/state input range. Contains a multi-button regional permutation, not merely a single confirm literal.
BTL-P009	BTL-M002	13	na2_btl	0x0000AB50	copy	4	40004230			nun5_btl	0x0000B0F0	10004230						BTL-owned battle-adjacent UI/state input range. Contains a multi-button regional permutation, not merely a single confirm literal.
BTL-P010	BTL-M003	10	na2_btl	0x0002B1EC	copy	4	20006230			nun5_btl	0x0002C0DC	40006230						BTL-owned battle-adjacent UI/state input range.
BTL-P011	BTL-M003	11	na2_btl	0x0002B24C	copy	4	40006230			nun5_btl	0x0002C0F4	10006230						BTL-owned battle-adjacent UI/state input range.
BTL-P012	BTL-M004	10	na2_btl	0x0002B860	copy	4	20006230			nun5_btl	0x0002C788	40006230						BTL-owned battle-adjacent UI/state input range.
BTL-P013	BTL-M004	11	na2_btl	0x0002B890	copy	4	40006230			nun5_btl	0x0002C794	10006230						BTL-owned battle-adjacent UI/state input range.
BTL-P014	BTL-M005	10	na2_btl	0x0002C9FC	copy	4	20006230			nun5_btl	0x0002D960	40006230						BTL-owned battle-adjacent UI/state input range.
BTL-P015	BTL-M005	11	na2_btl	0x0002CA14	copy	4	40006230			nun5_btl	0x0002D96C	10006230						BTL-owned battle-adjacent UI/state input range.
BTL-P016	BTL-M006	10	na2_btl	0x0002D200	copy	4	20006230			nun5_btl	0x0002E1C8	40006230						BTL-owned battle-adjacent UI/state input range.
BTL-P017	BTL-M006	11	na2_btl	0x0002D230	copy	4	40006230			nun5_btl	0x0002E1D4	10006230						BTL-owned battle-adjacent UI/state input range.
BTL-P018	BTL-M007	10	na2_btl	0x00034B18	copy	4	40004230			nun5_btl	0x00035F90	10004230						BTL-owned battle-adjacent UI/state input range.
BTL-P019	BTL-M008	10	na2_btl	0x0003689C	copy	4	20004230			nun5_btl	0x00038050	40004230						BTL-owned battle-adjacent UI/state input range.
BTL-P020	BTL-M008	11	na2_btl	0x00036988	copy	4	20004230			nun5_btl	0x0003810C	40004230						BTL-owned battle-adjacent UI/state input range.
BTL-P021	BTL-M009	10	na2_btl	0x00037944	copy	4	20004230			nun5_btl	0x000391B8	40004230						BTL-owned battle-adjacent UI/state input range.
BTL-P022	BTL-M009	11	na2_btl	0x00037A38	copy	4	20004230			nun5_btl	0x00039288	40004230						BTL-owned battle-adjacent UI/state input range.
BTL-P023	BTL-M010	10	na2_btl	0x0003894C	copy	4	20006330			nun5_btl	0x0003A170	40006330						BTL-owned battle-adjacent UI/state input range.
BTL-P024	BTL-M011	10	na2_btl	0x000399C8	copy	4	20004230			nun5_btl	0x0003B1EC	40004230						BTL-owned battle-adjacent UI/state input range.
BTL-P025	BTL-M011	11	na2_btl	0x00039B84	copy	4	20004230			nun5_btl	0x0003B380	40004230						BTL-owned battle-adjacent UI/state input range.
BTL-P026	BTL-M012	10	na2_btl	0x00060944	copy	4	20008330			nun5_btl	0x00063584	40008330						BTL-owned battle-adjacent UI/state input range. Contains a multi-button regional permutation, not merely a single confirm literal.
BTL-P027	BTL-M012	11	na2_btl	0x000609A4	copy	4	40008330			nun5_btl	0x00063590	10008330						BTL-owned battle-adjacent UI/state input range. Contains a multi-button regional permutation, not merely a single confirm literal.
BTL-P028	BTL-M012	12	na2_btl	0x00060A04	copy	4	10008330			nun5_btl	0x0006359C	20008330						BTL-owned battle-adjacent UI/state input range. Contains a multi-button regional permutation, not merely a single confirm literal.
BTL-P029	BTL-M013	10	na2_btl	0x00060C70	copy	4	20008330			nun5_btl	0x00063880	40008330						BTL-owned battle-adjacent UI/state input range. Contains a multi-button regional permutation, not merely a single confirm literal.
BTL-P030	BTL-M013	11	na2_btl	0x00060CD0	copy	4	40008330			nun5_btl	0x0006388C	10008330						BTL-owned battle-adjacent UI/state input range. Contains a multi-button regional permutation, not merely a single confirm literal.
BTL-P031	BTL-M013	12	na2_btl	0x00060D34	copy	4	10008330			nun5_btl	0x00063898	20008330						BTL-owned battle-adjacent UI/state input range. Contains a multi-button regional permutation, not merely a single confirm literal.
BTL-P032	BTL-M014	10	na2_btl	0x0006637C	copy	4	40006330			nun5_btl	0x0006940C	10006330						BTL-owned battle-adjacent UI/state input range.
BTL-P033	BTL-M014	11	na2_btl	0x0006649C	copy	4	20004230			nun5_btl	0x0006953C	40004230						BTL-owned battle-adjacent UI/state input range.
BTL-P034	BTL-M015	10	na2_btl	0x001C2490	copy	4	2000C230			nun5_btl	0x001CB65C	4000C230						BTL-owned battle-adjacent UI/state input range.
