edit_id	patch_id	order	target_id	offset	expected_hex	replacement_hex	relocation_offset	symbol	encoding	addend	reason
font_renderer_metrics_01	font_renderer_metrics	10	na2_elf	0x893EC	040060C640000146	0000000000000000	0	localization.font.plain_space	j26	0	Route ordinary ASCII spaces through the resident shared NUN5 eight-unit scaled advance.
font_renderer_metrics_02	font_renderer_metrics	20	na2_elf	0x88704	400060C640080046	0000000000000000	0	localization.font.newline_advance	j26	0	Route shared multiline UI through the resident NUN5 newline advance.
font_controls_auto_fit_01	font_controls_auto_fit	10	na2_elf	0x88070	400D0046200020C6	000000006000023C	0	localization.font.scale_advance	j26	0	Route normal glyph right-edge geometry through the resident horizontal-scale helper while preserving the delay slot.
font_controls_auto_fit_02	font_controls_auto_fit	20	na2_elf	0x88B7C	1C1003461C0060E6	000000006000023C	0	localization.font.scale_advance	j26	24	Route inline-markup half-space advance through the resident horizontal-scale helper while preserving the delay slot.
font_controls_auto_fit_03	font_controls_auto_fit	30	na2_elf	0x897D8	400002461C0060C6	000000006000023C	0	localization.font.scale_advance	j26	44	Route ordinary glyph advance through the resident horizontal-scale helper while preserving the delay slot.
font_controls_auto_fit_04	font_controls_auto_fit	40	na2_elf	0x288848	90E40D0C00000000D641023C66664234000082440000000000A50046	000000000000000090E40D0C00000000803F023C8CC982AF00000000	0	localization.font.controls_fit	jal26	0	Fit only the first eight Controls action labels through the resident shared-width wrapper, then restore local scale.
font_layout_wrappers_01	font_layout_wrappers	10	na2_elf	0x279250	C0FFBD273000BFFF	0000000000000000	0	localization.font.selected_helper	j26	0	Route the shared selected confirmation-choice primitive through the resident caller-guarded mapper.
font_layout_wrappers_02	font_layout_wrappers	20	na2_elf	0x279B20	A0FFBD274000BFFF	0000000000000000	0	localization.font.ui_helper	j26	0	Route the shared UI wrapper through resident caller and outer-caller guards using stack-local transient state.
font_v2_layout_core_01	font_v2_layout_core	10	na2_elf	0x893EC	040060C640000146	0000000000000000	0	localization.font.v2.plain_space	j26	0	Route ordinary ASCII-space advance through the v2 session guard; a null session reproduces the two displaced NA2 instructions.
font_v2_layout_core_02	font_v2_layout_core	20	na2_elf	0x88704	400060C640080046	0000000000000000	0	localization.font.v2.newline_advance	j26	0	Route newline advance through the v2 session guard; a null session reproduces the two displaced NA2 instructions.
font_v2_layout_core_03	font_v2_layout_core	30	na2_elf	0x88070	400D0046200020C6	0000000000000000	0	localization.font.v2.right_edge	j26	0	Route normal glyph right-edge geometry through the v2 session guard without changing the unscaled vertical edge.
font_v2_layout_core_04	font_v2_layout_core	40	na2_elf	0x88B7C	1C1003461C0060E6	0000000000000000	0	localization.font.v2.half_space	j26	0	Route inline-markup half-space advance through the v2 session guard while preserving the original accumulator and store when inactive.
font_v2_layout_core_05	font_v2_layout_core	50	na2_elf	0x897D8	400002461C0060C6	0000000000000000	0	localization.font.v2.glyph_advance	j26	0	Route ordinary glyph advance through the v2 session guard; a null session reproduces the displaced add and coordinate load.
font_v2_controls_01	font_v2_controls	10	na2_elf	0x288848	90E40D0C00000000	0000000000000000	0	localization.font.v2.controls_adapter	jal26	0	Replace only the shared first-eight-label Controls draw call with the v2 128-unit boxed adapter; the separate OFF call remains untouched.
