mapping_id	enabled	container_id	target_texture	donor_texture	transform	reason
UI-BTL-001	1	battlegauge	x\battle\tex\x_kantan.bmp	x\battle\tex\x_kantan.bmp	copy	English battle control prompts.
UI-BTL-002	1	battlegauge	x\battle\tex\xcombat01.bmp	x\battle\tex\xcombat01.bmp	copy	English Start Battle label.
UI-BTL-003	1	battlegauge	x\battle\tex\xcombo.bmp	x\battle\tex\xcombo.bmp	copy	English Hits counter label.
UI-BTL-004	1	battlegauge	x\battle\tex\xcount.bmp	x\battle\tex\xcount.bmp	copy	Official English layout clears the redundant separate count atlas.
UI-BTL-005	1	battlegauge	x\battle\tex\xfails.bmp	x\battle\tex\xfails.bmp	copy	English Fail label.
UI-BTL-006	1	battlegauge	x\battle\tex\xgauge.bmp	x\battle\tex\xgauge.bmp	copy	Official English battle gauge label/icon variant.
UI-BTL-007	1	battlegauge	x\battle\tex\xicon.bmp	x\battle\tex\xicon.bmp	copy	English move and character-name abbreviations.
UI-BTL-008	1	battlegauge	x\battle\tex\xicon_b.bmp	x\battle\tex\xicon_b.bmp	copy	English combat-stat abbreviations.
UI-BTL-009	1	battlegauge	x\battle\tex\xselect.bmp	x\battle\tex\xselect.bmp	copy	English item/status labels.
UI-BTL-010	1	battlegauge	x\battle\tex\xselect2.bmp	x\battle\tex\xselect2.bmp	copy	English substitution and status labels.
UI-BTL-011	1	battlegauge	x\battle\tex\xselect5.bmp	x\battle\tex\xselect5.bmp	copy	English battle-result modifiers.
UI-BTL-012	1	battlegauge	x\battle\tex\xsuccess.bmp	x\battle\tex\xsuccess.bmp	copy	English Pass label.
UI-BTL-013	1	battlegauge	x\battle\tex\xtext.bmp	x\battle\tex\xtext.bmp	copy	English mission-result labels.
UI-CHAR-001	1	charsel1	m\sel1\tex\char_name01.bmp	m\sel1\tex\char_name01.bmp	copy	Official English character names.
UI-CHAR-002	1	charsel1	m\sel1\tex\char_ytype.bmp	m\sel1\tex\char_ytype.bmp	copy	English character-type labels.
UI-CHAR-003	1	charsel1	m\sel1\tex\charsel01.bmp	m\sel1\tex\charsel01.bmp	copy	English character-select controls and labels.
UI-CONT-001	1	continue	r\continue\tex\continue.bmp	r\continue\tex\continue.bmp	copy	English Game Over and retry labels.
UI-GAUGE-001	1	gauge	x\load\tex\load_b\xload_b.bmp	x\load\tex\load_b\xload_b.bmp	copy	Official English loading and title branding.
UI-GAUGE-002	1	gauge	x\window\tex\xgauge5.bmp	x\window\tex\xgauge5.bmp	copy	Official English character-name atlas used by common UI windows.
UI-GAUGE-003	1	gauge	x\window\tex\xmenu.bmp	x\window\tex\xmenu.bmp	copy	English common control-settings labels.
UI-GAUGE-004	1	gauge	x\window\tex\xpanel.bmp	x\window\tex\xpanel.bmp	copy	English common button legend with Cross OK and Triangle Back prompts.
UI-HOME-001	1	home	m\home\tex\home01.bmp	m\home\tex\home01.bmp	copy	Official English collection character names.
UI-HOME-002	1	home	m\home\tex\home02.bmp	m\home\tex\home02.bmp	copy	English collection menu labels.
UI-HOME-003	1	home	m\home\tex\home03.bmp	m\home\tex\home03.bmp	copy	English collection category labels.
UI-HOME-004	1	home	m\home\tex\home_vt.bmp	m\home\tex\home_vt.bmp	copy	English Video label.
UI-HOME-005	1	home	m\home\tex\homepanel.bmp	m\home\tex\homepanel.bmp	copy	English collection viewer controls.
UI-LOAD-001	1	loading_spload	x\spload\tex\spload01.bmp	x\spload\tex\spload01.bmp	copy	English Fight loading label.
UI-MAP-001	1	mapsel1	m\map\tex\mapname01.bmp	m\map\tex\mapname01.bmp	copy	Official English stage names.
UI-MAP-002	1	mapsel1	m\map\tex\mapsel01.bmp	m\map\tex\mapsel01.bmp	copy	English stage-select labels.
UI-MODE1-001	1	mode1_ank	x\mode1\tex\ank\mode1name1.bmp	x\mode1\tex\ank\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-002	1	mode1_ank	x\mode1\tex\ank\mode1name2.bmp	x\mode1\tex\ank\mode1name2.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-003	1	mode1_asw	x\mode1\tex\asw\mode1name1.bmp	x\mode1\tex\asw\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-004	1	mode1_chy	x\mode1\tex\chy\mode1name1.bmp	x\mode1\tex\chy\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-005	1	mode1_cyb	x\mode1\tex\cyb\mode1name1.bmp	x\mode1\tex\cyb\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-006	1	mode1_cyb	x\mode1\tex\cyb\mode1name2.bmp	x\mode1\tex\cyb\mode1name2.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-007	1	mode1_ddr	x\mode1\tex\ddr\mode1name1.bmp	x\mode1\tex\ddr\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-008	1	mode1_fir	x\mode1\tex\fir\mode1name1.bmp	x\mode1\tex\fir\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-009	1	mode1_fou	x\mode1\tex\for\mode1name1.bmp	x\mode1\tex\for\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-010	1	mode1_fou	x\mode1\tex\for\mode1name2.bmp	x\mode1\tex\for\mode1name2.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-011	1	mode1_gaw	x\mode1\tex\gaw\mode1name1.bmp	x\mode1\tex\gaw\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-012	1	mode1_gaw	x\mode1\tex\gaw\mode1name2.bmp	x\mode1\tex\gaw\mode1name2.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-013	1	mode1_guw	x\mode1\tex\guw\mode1name1.bmp	x\mode1\tex\guw\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-014	1	mode1_hak	x\mode1\tex\hak\mode1name1.bmp	x\mode1\tex\hak\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-015	1	mode1_hkg	x\mode1\tex\hkg\mode1name1.bmp	x\mode1\tex\hkg\mode1name1.bmp	copy	Official English ordinary-awakening label.
UI-MODE1-016	1	mode1_hnb	x\mode1\tex\hnb\mode1name1.bmp	x\mode1\tex\hnb\mode1name1.bmp	copy	Official English ordinary-awakening label.
