id	display_context	source	donor	prefix	replacement	display_basis	source_ref	donor_ref	mode	capacity	transform	arguments	reference_refs	parent_mapping_id	legacy_ids
T1	Shared game modal > Yes or No choice	はい					NA2_SLPS@0x503110		slot	5					M0562
T2	Unconfirmed > System UI	はい					NA2_SLPS@0x5031A0		slot	5					M0564
T3	Unconfirmed > System UI	はい					NA2_SLPS@0x506760		slot	5					M0626
T4	Unconfirmed > System UI	はい					NA2_SLPS@0x506FA8		slot	5					M0628
T5	Battle HUD > maximum damage label	最大					NA2_SLPS@0x504970		slot	8					M2247
T6	Battle or Practice Settings > label or running help	対戦時間					NA2_BTL@0x20A210		slot	16					M0210
T7	Battle or Practice Settings > label or running help	アイテム出現					NA2_BTL@0x20A220		slot	16					M0211
T8	Battle or Practice Settings > label or running help	チャクラ					NA2_BTL@0x20A230		slot	16					M0212
T9	Battle or Practice Settings > label or running help	ハンディキャップ					NA2_BTL@0x20A240		slot	32					M0213
T10	Battle or Practice Settings > label or running help	<r方向|ほうこう>キー<r左右|さゆう>で<r対戦時間|たいせんじかん>の<r変更|へんこう>ができます。					NA2_BTL@0x20A280		slot	96					M0214
T11	Battle or Practice Settings > label or running help	<r方向|ほうこう>キー<r左右|さゆう>でＣＯＭの<r強|つよ>さを<r変更|へんこう>できます。					NA2_BTL@0x20A2E0		slot	96					M0215
T12	Battle or Practice Settings > label or running help	<r方向|ほうこう>キー<r左右|さゆう>でアイテムの<r出現率|しゅつげんりつ>が<r変更|へんこう>できます。　　　　　<r多|おお>めにすると、いつもよりゲーム<r中|ちゅう>に<r出現|しゅつげん>するアイテムの<r数|かず>が<r多|おお>くなります。					NA2_BTL@0x20A340		slot	240					M0216
T13	Battle or Practice Settings > label or running help	<r方向|ほうこう>キー<r左右|さゆう>で<r忍術|にんじゅつ>などを<r使用|しよう>した<r時|とき>に、チャクラが<r減|へ>るか<r減|へ>らないかを<r設定|せってい>できます。					NA2_BTL@0x20A430		slot	160					M0217
T14	Battle or Practice Settings > label or running help	<r方向|ほうこう>キー<r左右|さゆう>で<r奥義|おうぎ>の<r入力勝負|にゅうりょくしょうぶ>の<r切|き>り<r替|か>えなどが<r設定|せってい>できます。					NA2_BTL@0x20A4D0		slot	144					M0218
T15	Battle or Practice Settings > label or running help	<r方向|ほうこう>キー<r左右|さゆう>でハンディキャップの<r設定|せってい>ができます。　　　　　<r赤|あか>いマークが<r多|おお>いほど、１Ｐが<r有利|ゆうり>。<r逆|ぎゃく>に<r青|あお>いマークが<r多|おお>いと２Ｐが<r有利|ゆうり>な<r設定|せってい>です。					NA2_BTL@0x20A560		slot	256					M0219
T16	Battle or Practice Settings > label or running help	<r対戦設定|たいせんせってい>をデフォルトに<r戻|もど>しました。					NA2_BTL@0x20A680		slot	68					M0220
T17	Battle or Practice Settings > label or running help	連係攻撃					NA2_BTL@0x20A748		slot	16					M0221
T18	Battle or Practice Settings > label or running help	連係モード					NA2_BTL@0x20A758		slot	16					M0222
T19	Battle or Practice Settings > label or running help	コマンド表示					NA2_BTL@0x20A768		slot	16					M0223
T20	Battle or Practice Settings > label or running help	ダメージ量表示					NA2_BTL@0x20A778		slot	16					M0224
T21	Battle or Practice Settings > label or running help	<r対戦|たいせん><r相手|あいて>の<r状態|じょうたい>を<r指定|してい>できます。ＣＯＭでは、コンピュータと<r対戦|たいせん>する<r事|こと>ができます。					NA2_BTL@0x20B170		slot	160					M0225
T22	Battle or Practice Settings > label or running help	<r対戦|たいせん><r相手|あいて>の<r状態|じょうたい>を<r指定|してい>できます。<r立|た>ちでは、<r立|た>った<r状態|じょうたい>で<r下記|かき>で<r指定|してい>した<r行動|こうどう>をします。					NA2_BTL@0x20B210		slot	192					M0226
T23	Battle or Practice Settings > label or running help	<r対戦|たいせん><r相手|あいて>の<r状態|じょうたい>を<r指定|してい>できます。ジャンプでは、ジャンプしながら<r下記|かき>で<r指定|してい>した<r行動|こうどう>をします。					NA2_BTL@0x20B2D0		slot	176					M0227
T24	Battle or Practice Settings > label or running help	<r対戦|たいせん><r相手|あいて>の<r状態|じょうたい>を<r指定|してい>できます。<r二段|にだん>ジャンプでは、<r二段|にだん>ジャンプしながら<r下記|かき>で<r指定|してい>した<r行動|こうどう>をします。					NA2_BTL@0x20B380		slot	208					M0228
T25	Battle or Practice Settings > label or running help	対戦相手の設定					NA2_BTL@0x20B468		slot	24					M0229
T26	Battle or Practice Settings > label or running help	<r練習設定|れんしゅうせってい>をデフォルトに<r戻|もど>しました。					NA2_BTL@0x20B4D0		slot	72					M0230
T27	Battle or Practice Settings > selector value	楽々					NA2_SLPS@0x505B48		slot	8					M0574
T28	Battle or Practice Settings > selector value	ふつう					NA2_SLPS@0x505B50		slot	8					M0575
T29	Battle or Practice Settings > selector value	激むず					NA2_SLPS@0x505B58		slot	8					M0576
T30	Battle or Practice Settings > selector value	究極					NA2_SLPS@0x505B60		slot	8					M0577
T31	Battle or Practice Settings > selector value	なし					NA2_SLPS@0x505B68		slot	8					M0578
T32	Battle or Practice Settings > selector value	少なめ					NA2_SLPS@0x505B70		slot	8					M0579
T33	Battle or Practice Settings > selector value	多め					NA2_SLPS@0x505B78		slot	8					M0580
T34	Battle or Practice Settings > selector value	通常					NA2_SLPS@0x505B80		slot	8					M0581
T35	Battle or Practice Settings > selector value	回転					NA2_SLPS@0x505B98		slot	8					M0582
T36	Battle or Practice Settings > selector value	連打					NA2_SLPS@0x505BA0		slot	8					M0583
T37	Battle or Practice Settings > selector value	オフ					NA2_SLPS@0x505BB0		slot	8					M0584
T38	Battle or Practice Settings > selector value	オン					NA2_SLPS@0x505BB8		slot	8					M0585
T39	Battle or Practice Settings > selector value	半分					NA2_SLPS@0x505BC8		slot	8					M0586
T40	Battle or Practice Settings > selector value	オート					NA2_SLPS@0x505BE0		slot	8					M0587
T41	Battle or Practice Settings > selector value	手動					NA2_SLPS@0x505BF0		slot	8					M0588
T42	Battle or Practice Settings > selector value	ＣＯＭ					NA2_SLPS@0x505BF8		slot	8					M0589
T43	Battle or Practice Settings > selector value	立ち					NA2_SLPS@0x505C00		slot	8					M0590
T44	Battle or Practice Settings > selector value	しない					NA2_SLPS@0x505C08		slot	8					M0591
T45	Battle or Practice Settings > selector value	単発					NA2_SLPS@0x505C10		slot	8					M0592
