patch_id	group_id	default_enabled	status	confidence	name	description	source_mapping_id	runtime_classification	review_notes
UI-BTL-001	battle_ui	0	runtime_proven	verified	Use one-part Ultimate Jutsu label	Make the OUGI label constructor instantiate one 128x64 regional label instead of two 64x64 Japanese halves.	UI-OUGI-LAYOUT-001	overlay	The NUN5 one-part behavior is semantically ported into NA2's different compiled loop; the exact replacement instruction does not occur in canonical NUN5 ELF, BTL, ETC, or ADV, so this remains an authored adaptation paired with the whole NUN5 OUGI.CCS import. The user reviewed the completed runtime pass and directed that screens absent from the remaining defect captures be treated as fixed; no OUGI defect remained.
UI-BTL-002	battle_ui	0	approved_for_test	high	Use localized stage-name rectangles and width fitting	Use the official NUN5 stage-name UV table and its 214-pixel horizontal fit rule while preserving NA2's 16-byte stage records.	UI-STAGE-LAYOUT-001	overlay	The stage-ID order and UV source are exact homologs, and the precomputed float scale is algebraically equivalent to NUN5's runtime division. The corrected port keeps vertical scale at 1.0 while loading only the horizontal fit from NA2's inline record. Together with the whole NUN5 MAPSEL1 container, this is statically verified and awaits the user's runtime pass.
UI-ELF-001	front_end	0	runtime_proven	verified	Use localized character-name atlas rectangles	Replace the 96-entry Japanese character-name UV table with the complete official NUN5 English table used by CHARSEL1.CCS and the shared character-name atlases.	UI-CHAR-LAYOUT-001	resident	NUN5 FUN_0038c350 obtains this table through localized accessor FUN_003d45d0; English pointer-table entry 0 resolves to ELF file offset 0x4DDDD0. Of 96 records, 44 already match NA2 and 52 require localization. A guarded live write was read back exactly, and the user verified the full Character Select roster. The rejected 0x4DC120 range is the separate uniform 38x46 portrait-grid table.
UI-ELF-002	front_end	0	runtime_proven	verified	Use localized Options label rectangles	Replace the five Japanese Options-menu and six difficulty-label UV rectangles with the complete official NUN5 English tables used by OPTION.CCS.	UI-OPTION-LAYOUT-001	resident	The live table matched the complete donor block exactly, and the five Options labels plus all four reachable difficulty values rendered with the official English rectangles.
UI-ELF-003	front_end	0	runtime_proven	verified	Route wide difficulty values through the alternate sprite	Match NUN5's Options renderer by using the alternate sprite object for difficulty indices 0, 4, and 5 instead of only 0 and 5.	UI-OPTION-LAYOUT-002	resident	A guarded two-word live write changed the corrupt selected value to a clean centered INSANE label. HARD, EASY, and SIMPLE plus both arrow endpoints were then captured cleanly; the valid index domain is 0..5 and file size is preserved.
UI-BTL-003	battle_ui	0	runtime_proven	verified	Fit localized battle-HUD character names	Cap the battle-HUD character-name display width at 160 pixels, matching NUN5 while preserving the full atlas source rectangle.	UI-BATTLE-NAME-LAYOUT-001	overlay	The official NUN5 renderer applies min(width,160) before the common scale. A guarded live hook in the homologous NA2 path was read back exactly; forcing a 208-pixel source width produced a 160-pixel display width, and restoring the 112-pixel source restored a 112-pixel display width without altering the source rectangle.
UI-BTL-004	battle_ui	0	runtime_proven	verified	Use localized Practice Settings prompt layout	Use the official NUN5 English prompt rectangle and X anchor so the full label and Square icon fit the VS screen.	UI-PRACTICE-LAYOUT-001	overlay	NUN5 FUN_006d4170 obtains rectangle (0,280,176,24) through localized accessor FUN_003d46c0 and draws it at X=100. The homologous NA2 path used static rectangle (1,281,112,22) at X=60. Guarded live writes changed both values; after redraw the object was exactly X=276, Y=356, 176x24, UV (0,280), and the captured prompt matched NUN5 with no clipping.
UI-ELF-004	front_end	0	runtime_proven	verified	Use localized battle-HUD character-name rectangles	Replace the separate 95-entry Japanese battle-HUD UV table with the official NUN5 English table used by CMN/GAUGE.CCS.	UI-BATTLE-NAME-LAYOUT-002	resident	A guarded live write replaced all 760 bytes with exact readback. Naruto and Shikamaru object widths then matched the donor records, and both formerly clipped top-HUD names rendered in full.
UI-BTL-005	battle_ui	0	runtime_proven	verified	Use localized VS confirmation labels, inputs, and prompts	Use the official NUN5 Customize Jutsu, Battle Settings, arrows, input-glyph, and Jutsu-label rectangles with the NA2-compatible localized placement corrections.	UI-VS-CONFIRM-LAYOUT-001	overlay	Fourteen guarded live writes restored both Jutsu labels, all three input glyphs, the two-arrow control, the full Battle Settings prompt, and the complete Customize Jutsu Circle prompt. NUN5 X=260 wraps in NA2's draw path; X=255 is the live-proven nearest non-wrapping equivalent and matches the paired reference. Text/font rendering is out of scope and no text bytes are changed.
UI-BTL-006	battle_ui	0	runtime_proven	verified	Use localized Round label layout	Replace the two Japanese Round glyphs with the official one-part NUN5 English label and match its position and 1.2 scale.	UI-VS-ROUND-LAYOUT-001	overlay	Eight guarded live writes replaced the two-glyph source with the official 94x30 Round rectangle, disabled the second glyph, and matched NUN5's X, Y, centering, render, and spacing constants. The archived slot-7 capture matches the NUN5 Round label apart from normal pulsation.
UI-ETC-001	shop	0	runtime_proven	verified	Use localized Shop currency-label rectangles	Replace NA2's narrow Japanese Money and unit rectangles with the official NUN5 English Money and Ryo rectangles while retaining NA2's seven-digit value layout.	UI-SHOP-LAYOUT-001	overlay	The exact 16-byte ETC table range was guarded and written at live EE 0x006E4208 with exact readback. After redraw in preserved slot 3, Money and Ryo rendered completely and the seven-digit 9999999 value remained visible without clipping. The later anchor copies were unrelated to the reported Bonus Game pulse and have been removed.
UI-ELF-005	front_end	0	approved_for_test	high	Use localized Mode Select START layout	Copy the official NUN5 English START-label rectangle and move NA2's draw anchor to the matching X position without changing the renderer's register allocation.	UI-MODE-SELECT-LAYOUT-001	resident	NUN5 Mode Select renderer FUN_003972e0 obtains localized rectangle (1,393,254,26) through accessor FUN_003d4bc0 and draws it at X=150. NA2 FUN_00385c00 used static rectangle (1,397,206,22) at X=130, clipping the imported English label. The rectangle is an exact NUN5 donor copy; the X immediate is an authored same-register port because the homologous NUN5 instruction writes v1 while NA2's following instruction consumes v0. Both edits are statically verified and await the user's requested runtime pass.
UI-ELF-006	front_end	0	approved_for_test	high	Use localized Controls Vibration-label rectangle	Copy the official NUN5 English Vibration-label rectangle used by the imported common UI atlas over NA2's narrow Japanese rectangle.	UI-CONTROLS-LAYOUT-001	resident	NUN5's localized rectangle table selects (64,88,64,20) for TEX_xmenu, while NA2's static table selects (1,69,42,22). The exact eight-byte donor and destination ranges are statically verified; OFF/On text and font rendering remain out of scope.
