key	value
schema_version	1
module_id	external_translation_v1
mapping_sha256	C4F317C0A86C2BE3FB07512652CE5E50D9B73AE485EBAA502C4ED1FABC9C28A5
shortening_count	33
direct_reference_count	30
parent_message_count	3
external_string_count	31
derived_string_count	4
pointer_edit_count	35
restore_edit_count	35
na2_slps_sha256	20C0A40D70EA412CD431993A2E189B37ECB6054D63AE93BE545470016E1627AF
na2_btl_sha256	56FD042740221E3CC91417194F147142799D51FE70642273F4E97BD389D5D63C
na2_etc_sha256	8FF3C6E1ED5CE2B093B0934C898C40D1CEEA0C20778C49CDA5591AAD02375C74
nun5_texteng_sha256	3E42D2DDFFE770B05DD41E2C5937380133E255C9CE32CA2F037E34C65A8E571E
nun5_texteng_size	0x30D00
text_load_base	0x008F3D00
text_reserved_size	0x4C300
text_output_size	0x30E00
text_output_sha256	AA5E7C6ADCDFDC3A7695AF295DD488EA91D926B01ED9DDD191550C98E3F4EAB9
mod_load_base	0x00940000
mod_entry_offset	0x40
mod_output_size	0x100
mod_output_sha256	C00D69E124E425741745B7B61A2FE07B48AFD729806F96113C6FF81D957706DA
reservation_end	0x00940100
loader_function	0x001BE7F0
original_constructor_function	0x001BDA50
hook_file_offset	0x000E1020
cave_file_offset	0x00507414
cave_runtime_address	0x00607314
destination_table_file_offset	0x00502AC0
old_memory_boundary	0x008DD080
