mapping_id	target	target_file_offset	target_runtime_address	resolution	reference_binary	reference_file_offsets	parent_mapping_id	parent_file_offset	parent_runtime_address
M0631	SLPS	0x505C20	0x605B20	direct	BTL	0x209DD4,0x20A270,0x20A7CC	-	-	-
M0632	BTL	0x20A788	0x8BE688	direct	BTL	0x20A7E0	-	-	-
M0633	SLPS	0x505CB0	0x605BB0	direct	BTL	0x20A7E8	-	-	-
M0634	BTL	0x20A798	0x8BE698	direct	BTL	0x20A7F8	-	-	-
M0636	BTL	0x20A890	0x8BE790	direct	BTL	0x20B074	-	-	-
M0653	SLPS	0x4B2640	0x5B2540	direct	SLPS	0x4B2690	-	-	-
M0654	SLPS	0x504AB8	0x6049B8	direct	SLPS	0x504AC0	-	-	-
M0655	SLPS	0x505B88	0x605A88	direct	SLPS	0x505B94,0x505BAC,0x505C68	-	-	-
M0740	BTL	0x209380	0x8BD280	direct	BTL	0x209618	-	-	-
M0741	BTL	0x208CF0	0x8BCBF0	direct	BTL	0x208E40	-	-	-
M0742	BTL	0x208D10	0x8BCC10	direct	BTL	0x208E44	-	-	-
M0743	BTL	0x208D30	0x8BCC30	direct	BTL	0x208E48	-	-	-
M0787	ETC	0x2D9D0	0x6E18D0	direct	ETC	0x2E0FC	-	-	-
M0810	SLPS	0x303F50	0x403E50	direct	SLPS	0x5030B4	-	-	-
M0812	SLPS	0x303FAC	0x403EAC	parent_message	SLPS	0x5030B4	M0810	0x303F50	0x403E50
M0818	SLPS	0x304110	0x404010	direct	SLPS	0x5030C8	-	-	-
M0820	SLPS	0x304172	0x404072	parent_message	SLPS	0x5030C8	M0818	0x304110	0x404010
M0825	SLPS	0x3042D6	0x4041D6	parent_message	SLPS	0x5030D4	M0823	0x304250	0x404150
M0826	SLPS	0x304300	0x404200	direct	SLPS	0x5030D8	-	-	-
M0827	SLPS	0x3043C0	0x4042C0	direct	SLPS	0x5030E0	-	-	-
M0832	SLPS	0x304440	0x404340	direct	SLPS	0x5030E4	-	-	-
M0945	SLPS	0x32C938	0x42C838	direct	SLPS	0x32CBBC	-	-	-
M1766	SLPS	0x469130	0x569030	direct	SLPS	0x469D88	-	-	-
M1772	SLPS	0x46E6F0	0x56E5F0	direct	SLPS	0x46F098	-	-	-
M1848	SLPS	0x489CB0	0x589BB0	direct	SLPS	0x48A5B8	-	-	-
M1852	SLPS	0x489D08	0x589C08	direct	SLPS	0x48A75C	-	-	-
M1888	SLPS	0x49AC60	0x59AB60	direct	SLPS	0x49AECC	-	-	-
M2003	SLPS	0x4AE3F0	0x5AE2F0	direct	SLPS	0x4AF844	-	-	-
M2065	ETC	0x286F0	0x6DC5F0	direct	ETC	0x2A07C	-	-	-
M2218	ETC	0x262F8	0x6DA1F8	direct	ETC	0x274A4	-	-	-
M2219	SLPS	0x5070A8	0x606FA8	direct	ETC	0x27894	-	-	-
M2227	ETC	0x2CE70	0x6E0D70	direct	ETC	0x2D610	-	-	-
M2228	SLPS	0x507160	0x607060	direct	ETC	0x2D46C	-	-	-
