edit_id	patch_id	order	destination_target_id	destination_offset	operation	length	expected_hex	expected_sha256	replacement_hex	source_target_id	source_offset	source_expected_hex	source_expected_sha256	blob_path	blob_offset	blob_sha256	fill_hex	reason
font_controls_auto_fit_01	font_controls_auto_fit	10	slps_258_37	0x2BDDFC	replace	132	000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000		2D408000FFFF09240000029101000825FDFF4014010029250E00222914004014D6410A3C130002241800220180430B3C03002C3142680C00124000002468AC01020008250000884400088B4420008046830800468260080021608D01BDFF8C2500008C448CC982E7200080460063004666664A3500188A44000000000800E00300A50346									Count clean ASCII bytes, preserve strings below the overflow threshold, compute 128 divided by measured width, compensate the centered origin with the matched local left correction, and return the fitted row advance.
font_controls_auto_fit_02	font_controls_auto_fit	20	slps_258_37	0x507418	replace	64	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000		7C7342C4820802461C0020C640150046DE1F0608200020C67C7344C4021904461C100446A12206081C0060E67C7343C44000024642080346B82506081C0060C6									Scale normal glyph right-edge geometry, ASCII spaces, and ordinary glyph advance through one local factor that is 1.0 outside the Controls fit call.
font_controls_auto_fit_03	font_controls_auto_fit	30	slps_258_37	0x50747C	replace	4	00000000		0000803F									Initialize the local Controls scale word to 1.0.
font_controls_auto_fit_04	font_controls_auto_fit	40	slps_258_37	0x88070	replace	8	400D0046200020C6		C61C18086000023C									Route normal glyph right-edge geometry through the local horizontal scale helper.
font_controls_auto_fit_05	font_controls_auto_fit	50	slps_258_37	0x88B7C	replace	8	1C1003461C0060E6		CC1C18086000023C									Route ASCII space advance through the local horizontal scale helper.
font_controls_auto_fit_06	font_controls_auto_fit	60	slps_258_37	0x897D8	replace	8	400002461C0060C6		D11C18086000023C									Route ordinary glyph advance, including tracking, through the local horizontal scale helper.
font_controls_auto_fit_07	font_controls_auto_fit	70	slps_258_37	0x288848	replace	28	90E40D0C00000000D641023C66664234000082440000000000A50046		3FF70E0C0000000090E40D0C00000000803F023C8CC982AF00000000									Fit only the first eight Controls action labels, draw through the original centered helper, then restore the local scale to 1.0; leave the OFF call untouched.
font_controls_auto_fit_08	font_controls_auto_fit	80	slps_258_37	0x2887C8	replace	4	4042023C		4842023C									Move all nine Controls labels down two local units while preserving the 26.8-unit row interval and leaving other screens untouched.
font_modal_alignment_01	font_modal_alignment	10	slps_258_37	0x507458	replace	20	0000000000000000000000000000000000000000		0000A84200009E4200009E420000964200005041									Store the five independently measured local X positions 84, 79, 79, 75, and 13 for the modal rows.
font_modal_alignment_02	font_modal_alignment	20	slps_258_37	0x2BC8A4	replace	4	0041023C		1041023C									Move the four ordinary modal rows down one local unit to the matched NUN5 vertical centers.
font_modal_alignment_03	font_modal_alignment	30	slps_258_37	0x2BC924	replace	44	04000224090002160000000008C2023C000082440000000040AD00468041023C000082440000000000A50046		8010100068C9832721104300000055C40400022405000216000000004041023C000082440000000000A50046									Load each ordinary row X from the local table and place the fifth red row at matched local Y 117.
font_modal_alignment_04	font_modal_alignment	40	slps_258_37	0x2BC988	replace	4	00000000		0200A524									Compensate the selected shadow path by two local X units so selection does not shift visible ink.
font_vertical_quad_height_01	font_vertical_quad_height	10	slps_258_37	0x88064	replace	4	0C0020C6		100020C6									Rejected experiment retained verbatim: loading descriptor +0x10 here produced a 28x28 quad and stretched both axes instead of applying a vertical-only correction.
