edit_id	patch_id	order	destination_target_id	destination_offset	operation	length	expected_hex	expected_sha256	replacement_hex	source_target_id	source_offset	source_expected_hex	source_expected_sha256	blob_path	blob_offset	blob_sha256	fill_hex	reason
BTL-P001	BTL-M001	10	na2_btl	0x000087C4	copy	4	40006230			un5_btl	0x00008CB4	10006230						BTL-owned battle-adjacent UI/state input range. Contains a multi-button regional permutation, not merely a single confirm literal.
BTL-P002	BTL-M001	11	na2_btl	0x000087D0	copy	4	10006230			un5_btl	0x00008CC0	20006230						BTL-owned battle-adjacent UI/state input range. Contains a multi-button regional permutation, not merely a single confirm literal.
BTL-P003	BTL-M001	12	na2_btl	0x0000889C	copy	4	20006330			un5_btl	0x00008D5C	40006330						BTL-owned battle-adjacent UI/state input range. Contains a multi-button regional permutation, not merely a single confirm literal.
BTL-P004	BTL-M001	13	na2_btl	0x00008978	copy	4	20008330			un5_btl	0x00008E78	40008330						BTL-owned battle-adjacent UI/state input range. Contains a multi-button regional permutation, not merely a single confirm literal.
BTL-P005	BTL-M001	14	na2_btl	0x000089B8	copy	4	40008330			un5_btl	0x00008E84	10008330						BTL-owned battle-adjacent UI/state input range. Contains a multi-button regional permutation, not merely a single confirm literal.
BTL-P006	BTL-M002	10	na2_btl	0x0000AA50	copy	4	20006230			un5_btl	0x0000AFF0	40006230						BTL-owned battle-adjacent UI/state input range. Contains a multi-button regional permutation, not merely a single confirm literal.
BTL-P007	BTL-M002	11	na2_btl	0x0000AA70	copy	4	40006230			un5_btl	0x0000AFFC	10006230						BTL-owned battle-adjacent UI/state input range. Contains a multi-button regional permutation, not merely a single confirm literal.
BTL-P008	BTL-M002	12	na2_btl	0x0000AA88	copy	4	10006230			un5_btl	0x0000B008	20006230						BTL-owned battle-adjacent UI/state input range. Contains a multi-button regional permutation, not merely a single confirm literal.
BTL-P009	BTL-M002	13	na2_btl	0x0000AB50	copy	4	40004230			un5_btl	0x0000B0F0	10004230						BTL-owned battle-adjacent UI/state input range. Contains a multi-button regional permutation, not merely a single confirm literal.
BTL-P010	BTL-M003	10	na2_btl	0x0002B1EC	copy	4	20006230			un5_btl	0x0002C0DC	40006230						BTL-owned battle-adjacent UI/state input range.
BTL-P011	BTL-M003	11	na2_btl	0x0002B24C	copy	4	40006230			un5_btl	0x0002C0F4	10006230						BTL-owned battle-adjacent UI/state input range.
BTL-P012	BTL-M004	10	na2_btl	0x0002B860	copy	4	20006230			un5_btl	0x0002C788	40006230						BTL-owned battle-adjacent UI/state input range.
BTL-P013	BTL-M004	11	na2_btl	0x0002B890	copy	4	40006230			un5_btl	0x0002C794	10006230						BTL-owned battle-adjacent UI/state input range.
BTL-P014	BTL-M005	10	na2_btl	0x0002C9FC	copy	4	20006230			un5_btl	0x0002D960	40006230						BTL-owned battle-adjacent UI/state input range.
BTL-P015	BTL-M005	11	na2_btl	0x0002CA14	copy	4	40006230			un5_btl	0x0002D96C	10006230						BTL-owned battle-adjacent UI/state input range.
BTL-P016	BTL-M006	10	na2_btl	0x0002D200	copy	4	20006230			un5_btl	0x0002E1C8	40006230						BTL-owned battle-adjacent UI/state input range.
BTL-P017	BTL-M006	11	na2_btl	0x0002D230	copy	4	40006230			un5_btl	0x0002E1D4	10006230						BTL-owned battle-adjacent UI/state input range.
BTL-P018	BTL-M007	10	na2_btl	0x00034B18	copy	4	40004230			un5_btl	0x00035F90	10004230						BTL-owned battle-adjacent UI/state input range.
BTL-P019	BTL-M008	10	na2_btl	0x0003689C	copy	4	20004230			un5_btl	0x00038050	40004230						BTL-owned battle-adjacent UI/state input range.
BTL-P020	BTL-M008	11	na2_btl	0x00036988	copy	4	20004230			un5_btl	0x0003810C	40004230						BTL-owned battle-adjacent UI/state input range.
BTL-P021	BTL-M009	10	na2_btl	0x00037944	copy	4	20004230			un5_btl	0x000391B8	40004230						BTL-owned battle-adjacent UI/state input range.
BTL-P022	BTL-M009	11	na2_btl	0x00037A38	copy	4	20004230			un5_btl	0x00039288	40004230						BTL-owned battle-adjacent UI/state input range.
BTL-P023	BTL-M010	10	na2_btl	0x0003894C	copy	4	20006330			un5_btl	0x0003A170	40006330						BTL-owned battle-adjacent UI/state input range.
BTL-P024	BTL-M011	10	na2_btl	0x000399C8	copy	4	20004230			un5_btl	0x0003B1EC	40004230						BTL-owned battle-adjacent UI/state input range.
BTL-P025	BTL-M011	11	na2_btl	0x00039B84	copy	4	20004230			un5_btl	0x0003B380	40004230						BTL-owned battle-adjacent UI/state input range.
