container_id	strategy	blob_path	blob_sha256	payload_sha256	reason
battlegauge	whole	blobs/BATTLEGAUGE.CCS	8F0B27B68CC69EDFE572123E34291503EA1BED15F6EEB857DCD2A57D7CD45B62	3587EB4BB6404DD7E50DBD5F63BDF187D095B82D3407777EC26417AB4DF4D0D4	Import the complete official English container so its localized models and UVs stay coupled to its textures.
charsel1	whole	blobs/CHARSEL1.CCS	BAFFCCF2C935D2D60E56065A0DFB090A685F0B29A4C7867DE5CC01AC784FDF8F	17A410E6BE5AC6ECE339C1456DE2791A839BBBB4C194B9428AFC49CAF245ECCF	Import the complete official English container so its localized models and UVs stay coupled to its textures.
continue	whole	blobs/CONTINUE.CCS	A154F5DC4FF542BA4E1E1CA3D53DD1478C444C56317A47D495D21A482F9F4E81	D6C051B805C8A3C7FF21F20D2620B319AEC0519EB76F765EC4A218859BF39136	Import the complete official English container so its localized models and animations stay coupled to its textures.
home	whole	blobs/HOME.CCS	ACCD8D0014815C6B48FBD90AAE5755A021AD4AE3B81A7DDE49A1C5F5A80B9346	9ADAC4D30DD9F2F9DE89732CD3B735F3531B48F90CD43F33711F9BCEF6434E20	Import the complete official English container so its localized models and UVs stay coupled to its textures.
loading_spload	whole	blobs/LOADING/SPLOAD.CCS	E78FA6CDA2D1FEA7BBE4E7107F5D3559E4F8D2F39821A0F9D0473A73C1EE5FC9	7353F3FA03B5AB16C25D07DCD2FFE4315D468C576C51D14973131B0FA8178DDC	Import the complete official English container.
mapsel1	whole	blobs/MAPSEL1.CCS	3F0EB0B3F900B6338318FA367F3C74C1F2D1540415EE5AA628C1786D337B3CBF	D84507B403F6E607CFCD4EB7860D89EC7F56B3C593F591A537B5865582863A0E	Import the complete official English container so its localized stage atlas stays coupled to its layout.
mode2cmn	whole	blobs/MODENAME/MODE2CMN.CCS	A2EA6CECBFF60A1FA984DADEFC4E82118609D642A8A8AED3B69F427E495FEE1B	94DAF4C2C00401F87721C122D238E4D8105005A711ACA52C0A13C15BB781F068	Import the complete official English container.
mode2gav	whole	blobs/MODENAME/MODE2GAV.CCS	A794650414CE948E44E1BD69233D187CB0C85216B124BD6341343A749D8FE1BE	CD3F1CE26519B86F5C1DCAB553BA8BFA3C0022ACC6F5B633B545C69374C92EFE	Import the complete official English container.
mode2jrv	whole	blobs/MODENAME/MODE2JRV.CCS	1E2AF3947EB6C81FA0B7560A41FC11E8DB3CB9FCF462F4C942C5644EE189E221	2575CD014A81CC5119686046F82C8A34FB942FBD1DE9204C8E35BFF58B924574	Import the complete official English container.
mode2kdv	mapped	blobs/MODENAME/MODE2KDV.CCS	EB9F404087A6B9C87BAAE57E1F379EF604B0EE17F42C483ECB6FDA10219008ED	BD2AE2875D5DB206F783457968F28A2CD43C08F8B440CFA2FADEE93A03BAF09F	Retain the NA2 portrait and palette while importing the English top banner within the fixed member capacity.
mode2kmv	whole	blobs/MODENAME/MODE2KMV.CCS	3655ED1E2B9534DBE56A7AD19410C08099B5FCB049B767E22B0AF234227E4C8D	359C2190C282AF90961683E1EFE2B0A01AA001DC940AFB6F071A3E89C0D87873	Import the complete official English container.
mode2nrv	whole	blobs/MODENAME/MODE2NRV.CCS	EDD3CBA1885F0F597985C5CB6AA1AEE9884EDBF0BA8DBFF41883143509D2D5AA	5EA7BB89799615C96ABEAD91D746FFBABA48CB5C2932975A9431F2C0B3183038	Import the complete official English container.
mode2nwv	whole	blobs/MODENAME/MODE2NWV.CCS	6C365C972FFAAAF226E6803F5EF1B2EADE3F9C3BF66EB3D8A494391CA0DDBD64	D6B39126F687126D6DA5CB6654FAF648517153CCA0251F04383D56740A9F852F	Import the complete official English container.
mode2rov	whole	blobs/MODENAME/MODE2ROV.CCS	A6D4CDD5B91470FF99FCB9520DEF1DBA1F6BDBDFABBB2D1CA9FAC2DF97A39239	2F4AA12ADDEA9134AB1E1871F24740015A7EBC7A1360206154101489DFD0934B	Import the complete official English container.
mode2scv	whole	blobs/MODENAME/MODE2SCV.CCS	DAD0F717405AB73DB4AD1DF6DB3190123D6EC0A86546952B13E255B5E4EA1932	76D6226A71D08E351BF29BD8EE855F6A5A17C3B06C9F11A440159C7E128B499A	Import the complete official English container.
mode2skv	whole	blobs/MODENAME/MODE2SKV.CCS	5970B73EF3ED3D7B3B05064627C880BFA3717399F2B83873900D896E531DC933	3A0203730FFB9C13D6C515DE44BA07B3E432864E7C82CB46B60F2C83FB05452B	Import the complete official English container.
mode2ssv	whole	blobs/MODENAME/MODE2SSV.CCS	BDC67C7C641A82359FF2B320563774F6BE66F0A799FE76701646CEAB60F863ED	6C75D02F26DD5B497FE8C1FF36D75CADEEC5907D8672D04659F3609FBA1A7E41	Import the complete official English container.
mode2tov	whole	blobs/MODENAME/MODE2TOV.CCS	A696AB465F44541BBA6C5C8B886BD78CD33FA26A0E88D88F715EE20EF709992D	51F94FEA435BA9880ED04C1200196925FBDBE1E94F4AA5E4F5BD15A04C657884	Import the complete official English container.
mode2tyv	whole	blobs/MODENAME/MODE2TYV.CCS	B4FDE5F7C25BC1A6DD1AA0DC73B1D5DA45D8F5F6B04A49CEADA91A1E61E0842D	C2D31C643ADF763A66A191AC7354B28A772B411DD87DBA01E672B99297BD2166	Import the complete official English container.
modesel1	whole	blobs/MODESEL1.CCS	2C86B458A6AFB732544A0F1DB087041D0675FAC6CE8AED3F8E8BAF46EB35270C	55FD25373913C929ABB5298088AA08F8543F810E7BE972C071B5B630053C87DC	Import the complete official English container so its localized menu atlas stays coupled to its layout.
n_rash	whole	blobs/N_RASH.CCS	4DBEBB45BB8A54613F2EF6FE374983C01B1D3E87ABEB7E79D2E26CC298123C6D	9161CB7A00E8AD341669B858AFFBCC79C639FB203D9EA7183BA047ECB4FF833B	Import the complete official English container.
n_rash2	whole	blobs/N_RASH2.CCS	F6BA6A3D7515595B7D42BB917E4D0DA7D977BF4F2AD81DD4D40F2A0CCA7D3E58	EEDB04FF32E7005A40052AAEB459F6123143FEDD0E890D9DB0E9DA0F7E00FB8E	Import the complete official English container.
n_rash4	whole	blobs/N_RASH4.CCS	37E5005161D7FE078C5DFED0E8E2D12D81BDD32BDA789D076607991C8FBC9F65	1EBED0FEE0322A96F5D83FE83AE5E03DCA059335143E9599A3E897C8A6ED10B6	Import the complete official English container.
ninmu	whole	blobs/NINMU.CCS	0CE82DE54AF65DEE40CD6C4249720498B2380CE87A36561E47DFA06835CE890F	7E117B4C83A3BBFC8334CD197921568AEAC0C9B6BA08D67DBA4A52F2202B0FD7	Import the complete official English container.
option	whole	blobs/OPTION.CCS	8B0D524F231CDDCA7395AA3D72A98B250EF78D314D4B03FC111BCD2028187A0B	9028BF898CECA4843FBD21CFC4C0B8C3D88600C4BCB562002F8805EBF7B08A07	Import the complete official English container so its localized UVs stay coupled to its texture.
ougi	whole	blobs/OUGI.CCS	32AB9EE6AF04D057AE8F004146963130F3A46E54A37E9243E31F2682066C82DB	C3D80746A2690658AA7DBD5E7E5D376197892F3AF2A82D1A26C64A426B7FC9C6	Import the complete one-part official English container; the companion BTL loop patch selects one part.
prac	whole	blobs/PRAC.CCS	6E123C310847CFB48C98A6A580D00AB857977F4B4F19BCAE4B9686B0EC155E54	06D2AC48F17F8676DCD31C89883DEB904265FEAD6633DC6B207273728FE40777	Import the complete official English container.
setting	whole	blobs/SETTING.CCS	FE98C2C9659C2A01D6249FCE717338DDB472BC69038D91089DD472E8154247E0	D86D8B1C7F980142F63A5C198C1FAA2963F4908CC8FD8CA70EBADCFB7E08BF22	Import the complete official English container.
shop	whole	blobs/SHOP.CCS	32C5338DB7484C2E38F406B1A17950F81A02CD2A466DCFED9981150CD0575D6E	D8549B16CEFB74891A2C1260E6DDA57031D2F9F28D1E2E572D271ABC1F4E3E67	Import the complete official English container so its localized models and UVs stay coupled to its textures.
spbattle	whole	blobs/SPBATTLE.CCS	7781E074381E9865FD15B0E974261C8DC72DBC56CE419550B66D405BEAB3838C	924E1668E3749DD34C022E2A5B354819235AED18037EB21FEB92DECE302F052D	Import the complete official English container so its localized models and animations stay coupled to its textures.
title	whole	blobs/TITLE.CCS	7B1512026F62A9127F30BA779C491D9E39D9D4E389EDAF6F1107F377090B1CBD	873ED82BCD0C76EEB23E7947AD520061FDF2C0411511DC655A87AF37EE5A450F	Import the complete official English title container.
vs	whole	blobs/VS.CCS	9ADFF3FD0BC7C54DC6337A42081B774CEAE9D8FA947FA302C5AAD9E92587BF33	637767C09645751AD77BBDD547B591C7332F6D212884E6D7F44A7321CD0492AC	Import the complete official English container so its localized models and UVs stay coupled to its textures.
xninka	whole	blobs/XNINKA.CCS	D6B5DC4B0D1336D5ED5D9392555819B7173D943E05027BDD8FE0712794461C5D	2F393EE03007025CC1949FC6568835FED8395C78821DEAD505F0A93517D6CD83	Import the complete official English container so its localized models and UVs stay coupled to its texture.
