feature_id	module_id	selection_kind	selection_id	reason
font	font	group	glyph_data	Select accepted font glyph data.
font	font	group	auto_fit	Select accepted shrink-only fitting.
font	font	group	alignment	Select accepted font alignment corrections.
menu_input	menu_input	group	battle_ui	Select battle-owned input handlers.
menu_input	menu_input	group	front_end	Select boot-ELF front-end input handlers.
menu_input	menu_input	group	etc_ui	Select ETC-owned input handlers.
menu_input	menu_input	group	battle_results	Select battle-results input behavior.
qol	qol	group	startup	Select independent startup skips.
qol	qol	group	practice	Select independent Practice defaults.
qol	qol	group	mode_select	Select accepted mode availability behavior.
battle_logic	battle_logic	group	combat_rules	Select accepted combat-rule changes.
testing	testing	group	substitution	Retain the disabled substitution hypothesis selection.
translation	string_replacements	group	identity	Select the fixed-size game-title replacement group.
translation	translation_m03_v35	native	BTL	Select battle text mappings.
translation	translation_m03_v35	native	ETC	Select overlay text mappings.
translation	translation_m03_v35	native	SLPS	Select boot-ELF text mappings.
translation	ui_textures_nun5_v1	all		Invoke the accepted UI texture package.
translation	ui_translation_code_v1	group	battle_ui	Select localized battle UI code and tables.
translation	ui_translation_code_v1	group	front_end	Select localized front-end UI code and tables.
translation	ui_translation_code_v1	group	shop	Select localized Shop code and tables.
translation	external_translation_v1	all		Invoke the complete external translation package.
disc_identity	disc_identity_v1	all		Invoke the complete disc-identity module.
