module_id	order	module	input	expected_sha256	reason
font	10	binary_patcher	na2_patcher/modules/binary_patcher/patch_sets/font	129A9DE94EBD1EEB96459E3A2359CE54B98767CAF16921D1E07C9767205541BD	Use the accepted native 14x20 NUN5-derived secondary font, preserve clean GF4C, and apply runtime-proven local alignment and shrink-only Controls fitting; retain the known heavier Latin weight for the next refinement iteration.
menu_input	20	binary_patcher	na2_patcher/modules/binary_patcher/patch_sets/menu_input	916E0D9F7CEDFA0E79EB1C13F9CCE6D7F968F70B9D5468AF5348EE93D0B5CA61	Normal integrated definition: retain all runtime-proven front-end, ETC, setup, stage, pause, result-tally, and audio behavior; complete the shared Practice/Free Battle ccStartMenuPrivateCmd entry, player/view, and close rotation without altering battle-input encoding.
qol	25	binary_patcher	na2_patcher/modules/binary_patcher/patch_sets/qol	2F2D7BAA037511243AD0251FD547BDBB3BD5CAD9B6634C626C2C8B8EDD2E0407	Apply the QoL section, including the runtime-proven Adventure omission.
battle_logic	26	binary_patcher	na2_patcher/modules/binary_patcher/patch_sets/battle_logic	9F5794593D6D54B9E3C4A810BA264278374C8C9593B93F3728D5D1ED7D103D04	Apply the accepted Battle logic section.
testing	27	binary_patcher	na2_patcher/modules/binary_patcher/patch_sets/testing	C06E78F332274B004CD700E380F180CA4E9E8C0E785F1C7EC92C57A4CBAE23FB	Retain the disabled Testing section without applying its pending patch.
rendering	28	binary_patcher	na2_patcher/modules/binary_patcher/patch_sets/rendering	AB3B984B827A939692889AB3E12F264A44F86B83C993E277E19122DEB0F21291	Reserve the disabled empty Rendering patch set for future work.
string_replacements	29	binary_patcher	na2_patcher/modules/binary_patcher/patch_sets/string_replacements	7A692CE38AEF252C25E34A1E5FDD84909A0EFB7E84FB1E78270AF5E66B4450A2	Apply the approved fixed-size game-title replacement for runtime testing.
translation_m03_v35	30	translation	na2_patcher/modules/translation/mappings.tsv	C4F317C0A86C2BE3FB07512652CE5E50D9B73AE485EBAA502C4ED1FABC9C28A5	Hash-pinned v35 mappings restoring the exact official NUN5 Collection Movie strings without authored line breaks.
texture_patcher_nun5_v1	31	texture_patcher	na2_patcher/modules/texture_patcher	35FEB340296B84B3BEED01768462E44425E1D160162C40998478A07BFE7FD1D5	Derive all 34 reviewed fixed-size UI replacements from canonical NA2/NUN5 members, including whole HOME and MAPSEL1 containers plus the mapped MODE2KDV banner, without stored blobs.
ui_translation_code_v1	32	binary_patcher	na2_patcher/modules/binary_patcher/patch_sets/ui_translation	37758382B039742FCC08FCA970314C87D6A631B33BE627B04FB49A02BA1D0A55	Pair the source-derived NUN5 UI containers with donor-first character, battle-HUD, stage, Mode Select, Options, Controls, Practice, Shop, OUGI, and VS-confirmation renderer/table corrections plus documented NA2-specific ports.
external_translation_v1	35	external_translation	na2_patcher/modules/external_translation	0B61FA49C8B4077D6C4AD08CAE8FF924284496916AEB21192C474F72D142AC91	Generate and load PRG/MOD.BIN plus PRG/TEXTENG.BIN, redirect all shortened mappings to exact official NUN5 text, and restore their dead inline slots to clean NA2 bytes.
disc_identity_v1	40	disc_identity	na2_patcher/modules/disc_identity/identity.tsv	BF086A2336C4ED0CF530B846CF1B821D60C7C204F00E7419B094E97E8DDE3637	Assign the modified project image the distinct SLPS-22228 serial after all file-backed modules are composed.
