character	character_id	linked_j_id	linked_uj_id	awakening_id
Naruto Uzumaki	57			
Naruto Uzumaki	57	0x08		
Naruto Uzumaki	57	0x20		
Naruto Uzumaki	57		0x01	
Naruto Uzumaki	57			0x39
Nine-Tailed Fourth Awakened State	73			
Sakura Haruno	58			
Sakura Haruno	58		0x00	
Sakura Haruno	58		0x1B	
Sakura Haruno	58			0x3A
Kakashi Hatake	70			
Kakashi Hatake	70			0x49
Sai	92			
Sai	92			0x61
Sai	92			0x62
Neji Hyuga	65			
Neji Hyuga	65			0x42
Rock Lee	67			
Rock Lee	67			0x44
Rock Lee	67			0x45
Might Guy	69			
Might Guy	69			0x47
Might Guy	69			0x48
Tenten	66			
Tenten	66			0x43
Choji Akimichi	81			
Choji Akimichi	81			0x54
Shikamaru Nara	68			
Shikamaru Nara	68	0x13		
Shikamaru Nara	68			0x46
Ino Yamanaka	82			
Ino Yamanaka	82			0x55
Asuma Sarutobi	86			
Asuma Sarutobi	86			0x5A
Shino Aburame	79			
Shino Aburame	79			0x51
Kiba Inuzuka	78			
Kiba Inuzuka	78			0x50
Hinata Hyuga	80			
Hinata Hyuga	80			0x52
Hinata Hyuga	80			0x53
Kazekage Gaara	59			
Kazekage Gaara	59			0x3B
Kurenai Yuhi	87			
Kurenai Yuhi	87			0x5B
Kurenai Yuhi	87			0x5C
Kankuro	60			
Kankuro	60			0x3D
Temari	61			
Temari	61			0x3E
Granny Chiyo (Taijutsu)	77			
Granny Chiyo (Taijutsu)	77			0x4D
Granny Chiyo (Taijutsu)	77			0x4E
Kisame Hoshigaki	72			
Kisame Hoshigaki	72		0x0D	
Kisame Hoshigaki	72			0x4B
Itachi Uchiha	71			
Itachi Uchiha	71		0x0E	
Itachi Uchiha	71			0x4A
Deidara	64			
Deidara	64		0x1E	
Deidara	64			0x41
Granny Chiyo	62			
Granny Chiyo	62		0x01	
Granny Chiyo	62			0x3F
Sasori	63			
Sasori	63		0x0B	
Sasori (Puppet)	75			
Sasori (Hiruko)	76			
Sasori (Hiruko)	76			0x4C
Tsunade	84			
Tsunade	84	0x18		
Tsunade	84			0x22
Tsunade	84			0x23
Tsunade	84			0x57
Jiraiya	83			
Jiraiya	83			0x56
Shizune	85			
Shizune	85			0x58
Shizune	85			0x59
Orochimaru	89			
Orochimaru	89		0x21	
Orochimaru	89			0x5D
Yamato	91			
Yamato	91			0x5F
Yamato	91			0x60
Kabuto Yakushi	90			
Kabuto Yakushi	90			0x5E
Sasuke Uchiha	93			
Sasuke Uchiha	93	0x00		
Sasuke Uchiha	93		0x1C	
Sasuke Uchiha	93			0x63
Sasuke Uchiha	93			0x64
Naruto Uzumaki (Classic)	1			
Naruto Uzumaki (Classic)	1			0x0E
Naruto Uzumaki (Nine-Tailed)	47			
Sasuke Uchiha (Classic)	2			
Sasuke Uchiha (Classic)	2			0x0F
Second Stage Sasuke Uchiha	48			
Sakura Haruno (Classic)	7			
Sakura Haruno (Classic)	7			0x13
Neji Hyuga (Classic)	6			
Neji Hyuga (Classic)	6			0x12
Rock Lee (Classic)	3			
Rock Lee (Classic)	3			0x10
Loopy Fist Lee	49			
Tenten (Classic)	13			
Tenten (Classic)	13			0x19
Shikamaru Nara (Classic)	5			
Shikamaru Nara (Classic)	5			0x11
Choji Akimichi (Classic)	14			
Choji Akimichi (Classic)	14			0x1A
Super Choji	51			
Kiba Inuzuka (Classic)	16			
Kiba Inuzuka (Classic)	16			0x1C
Ino Yamanaka (Classic)	15			
Ino Yamanaka (Classic)	15			0x1B
Shino Aburame (Classic)	17			
Shino Aburame (Classic)	17			0x1D
Hinata Hyuga (Classic)	12			
Hinata Hyuga (Classic)	12			0x17
Hinata Hyuga (Classic)	12			0x18
Hanabi Hyuga	41			
Hanabi Hyuga	41			0x30
Hanabi Hyuga	41			0x31
Konohamaru Ninja Squad	40			
Konohamaru Ninja Squad	40			0x2E
Konohamaru Ninja Squad	40			0x2F
Anko Mitarashi	46			
Anko Mitarashi	46			0x37
Anko Mitarashi	46			0x38
The First Hokage	42			
The First Hokage	42			0x32
The Second Hokage	43			
The Second Hokage	43			0x33
The Second Hokage	43			0x34
The Yellow Flash	39			
The Yellow Flash	39			0x2C
The Yellow Flash	39			0x2D
The Third Hokage	22			
The Third Hokage	22			0x21
Gaara (Classic)	4			
Possessed Gaara	50			
Temari (Classic)	19			
Temari (Classic)	19			0x1F
Kankuro (Classic)	18			
Kankuro (Classic)	18			0x1E
Kimimaro	38			
Kimimaro	38			0x2B
Second Stage Kimimaro	56			
Sakon	37			
Sakon	37			0x2A
Second Stage Sakon	55			
Tayuya	36			
Tayuya	36			0x29
Second Stage Tayuya	54			
Kidomaru	35			
Kidomaru	35			0x28
Second Stage Kidomaru	53			
Jirobo	34			
Jirobo	34			0x27
Second Stage Jirobo	52			
Zabuza Momochi	11			
Zabuza Momochi	11			0x16
Haku	10			
Haku	10			0x15
