mode	target	target_offset	capacity	source	source_offset	pool_offset	pool_capacity	runtime_base	pointer_offsets	reason
slot	BTL	0x1E2130	32	UN5_TEXTENG	0x27638					
slot	BTL	0x1E2150	32	UN5_TEXTENG	0x27648					
slot	BTL	0x1E2170	32	UN5_TEXTENG	0x27658					
slot	BTL	0x1E2190	32	UN5_TEXTENG	0x27668					
slot	BTL	0x1E21B0	48	UN5_TEXTENG	0x27678					
slot	BTL	0x1E21E0	32	UN5_TEXTENG	0x27690					
slot	BTL	0x1E2200	32	UN5_TEXTENG	0x276B0					
slot	BTL	0x1E2220	32	UN5_TEXTENG	0x276C8					
slot	BTL	0x1E2240	32	UN5_TEXTENG	0x276D8					
slot	BTL	0x1E2260	32	UN5_TEXTENG	0x276F0					
slot	BTL	0x1E2280	32	UN5_TEXTENG	0x27708					
slot	BTL	0x1E22A0	32	UN5_TEXTENG	0x27718					
slot	BTL	0x1E22C0	32	UN5_TEXTENG	0x27730					
slot	BTL	0x1E22E0	48	UN5_TEXTENG	0x27748					
slot	BTL	0x1E2310	32	UN5_TEXTENG	0x27758					
slot	BTL	0x1E2330	48	UN5_TEXTENG	0x27770					
slot	BTL	0x1E2360	32	UN5_TEXTENG	0x27788					
slot	BTL	0x1E2380	32	UN5_TEXTENG	0x27798					
slot	BTL	0x1E23A0	32	UN5_TEXTENG	0x277A8					
slot	BTL	0x1E23C0	48	UN5_TEXTENG	0x277B8					
slot	BTL	0x1E23F0	32	UN5_TEXTENG	0x277D0					
slot	BTL	0x1E2410	32	UN5_TEXTENG	0x277F0					
slot	BTL	0x1E2430	32	UN5_TEXTENG	0x27808					
slot	BTL	0x1E2450	36	UN5_TEXTENG	0x27820					
slot	BTL	0x1E27C0	32	UN5_TEXTENG	0x11788					
slot	BTL	0x1E2810	32	UN5_TEXTENG	0x11630					
slot	BTL	0x1E2830	32	UN5_TEXTENG	0x11668					
slot	BTL	0x1E2870	32	UN5_TEXTENG	0x116D8					
slot	BTL	0x1E2918	24	UN5_TEXTENG	0x115C8					
slot	BTL	0x1E2960	48	UN5_TEXTENG	0x278D0					
slot	BTL	0x1E29B0	16	UN5_TEXTENG	0x278F0					
slot	BTL	0x1E29F0	48	UN5_TEXTENG	0x14AA8					
slot	BTL	0x1E2A90	32	UN5_TEXTENG	0x27958					
slot	BTL	0x1E2FC0	32	UN5_TEXTENG	0x272B0					
slot	BTL	0x1E3000	48	UN5_TEXTENG	0x272C0					
slot	BTL	0x1E3030	48	UN5_TEXTENG	0x272D0					
slot	BTL	0x1E3160	64	UN5_TEXTENG	0x27A50					
slot	BTL	0x1E3200	80	UN5_TEXTENG	0x27A90					
slot	BTL	0x1E32A0	48	UN5_TEXTENG	0x27AC8					
slot	BTL	0x1E3470	16	UN5_TEXTENG	0x26AE					
slot	BTL	0x1E34C8	16	UN5_BTL	0x1ECEC2					
slot	BTL	0x1E3960	34	UN5_TEXTENG	0x2759D					
slot	BTL	0x1E3AA0	32	UN5_TEXTENG	0x272F0					
slot	BTL	0x1E5710	64	UN5_TEXTENG	0x10250					
slot	BTL	0x1E5850	48	UN5_TEXTENG	0x102F0					
slot	BTL	0x208A30	32	UN5_TEXTENG	0x870					
slot	BTL	0x208A50	48	UN5_TEXTENG	0x880					
slot	BTL	0x208A80	32	UN5_TEXTENG	0x890					
slot	BTL	0x208AA0	32	UN5_TEXTENG	0x8A0					
slot	BTL	0x208AF0	32	UN5_TEXTENG	0x718					
slot	BTL	0x208B10	48	UN5_TEXTENG	0x8B0					
slot	BTL	0x208B40	32	UN5_TEXTENG	0x8C0					
slot	BTL	0x208B60	48	UN5_TEXTENG	0x8D0					
slot	BTL	0x208B90	32	UN5_TEXTENG	0x8E0					
slot	BTL	0x208BB0	48	UN5_TEXTENG	0x900					
slot	BTL	0x208BE0	48	UN5_TEXTENG	0x920					
slot	BTL	0x208C10	32	UN5_TEXTENG	0x940					
slot	BTL	0x208C30	48	UN5_TEXTENG	0x958					
slot	BTL	0x208D30	80	UN5_TEXTENG	0xA00					
slot	BTL	0x208DA0	32	UN5_TEXTENG	0xA60					
slot	BTL	0x208DC0	32	UN5_TEXTENG	0xA80					
slot	BTL	0x208DE0	16	UN5_TEXTENG	0x6F8					
slot	BTL	0x208DF0	80	UN5_TEXTENG	0xA20					
slot	BTL	0x208EA0	64	UN5_TEXTENG	0xAC0					
slot	BTL	0x208F70	48	UN5_TEXTENG	0xB20					
slot	BTL	0x208FA0	48	UN5_TEXTENG	0xB30					
slot	BTL	0x208FD0	32	UN5_TEXTENG	0xB40					
slot	BTL	0x208FF0	32	UN5_TEXTENG	0xB50					
slot	BTL	0x209010	32	UN5_TEXTENG	0xB60					
slot	BTL	0x209030	32	UN5_TEXTENG	0xB70					
slot	BTL	0x209050	32	UN5_TEXTENG	0xB80					
slot	BTL	0x209070	32	UN5_TEXTENG	0xB90					
slot	BTL	0x2090D0	48	UN5_TEXTENG	0xBA0					
slot	BTL	0x209100	48	UN5_TEXTENG	0xBB0					
slot	BTL	0x209130	64	UN5_TEXTENG	0xBC0					
slot	BTL	0x209170	48	UN5_TEXTENG	0xBE0					
