id	offset_hex	slot_capacity	source_japanese	chosen_translation	notes	enabled
ETC_0001	0x24F50	72	<color080860>コレクション<color000000>を<r終了|しゅうりょう>しますか？	Quit Collection?	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0002	0x24F98	24	うずまきナルト	Naruto Uzumaki	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0003	0x24FB0	24	<r春野|はるの>サクラ	Sakura Haruno	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0004	0x24FE0	24	<r日向|ひゅうが>ネジ	Neji Hyuga	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0005	0x24FF8	16	ロック・リー	Rock Lee	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0006	0x25008	16	テンテン	Tenten	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0007	0x25018	24	マイト・ガイ	Might Guy	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0008	0x25030	32	<r奈良|なら>シカマル	Shikamaru Nara	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0009	0x25050	32	<r秋道|あきみち>チョウジ	Choji Akimichi	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0010	0x25070	32	<r山中|やまなか>いの	Ino Yamanaka	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0011	0x25090	32	<r猿飛|さるとび>アスマ	Asuma Sarutobi	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0012	0x250B0	32	<r犬塚|いぬづか>キバ	Kiba Inuzuka	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0013	0x250D0	32	<r油女|あぶらめ>シノ	Shino Aburame	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0014	0x250F0	32	<r日向|ひゅうが>ヒナタ	Hinata Hyuga	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0015	0x25110	32	<r夕日|ゆうひ><r紅|くれない>	Kurenai Yuhi	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0016	0x25130	40	<r風影|かぜかげ>・<r我愛羅|ガアラ>	Kazekage Gaara	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0017	0x25158	24	カンクロウ	Kankuro	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0018	0x25170	32	チヨバア（<r体術|たいじゅつ>）	Chiyo (Taijutsu)	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0019	0x251A0	32	<r干柿鬼鮫|ほしがきキサメ>	Kisame Hoshigaki	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0020	0x251C0	16	デイダラ	Deidara	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0021	0x251D0	16	サソリ・ヒルコ	Sasori Hiruko	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0022	0x251E0	16	チヨバア	Chiyo	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0023	0x251F0	24	<r自来也|じらいや>	Jiraiya	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0024	0x25208	24	<r綱手|ツナデ>	Tsunade	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0025	0x25220	32	<r大蛇丸|オロチまる>	Orochimaru	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0026	0x25240	24	<r薬師|やくし>カブト	Kabuto Yakushi	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0027	0x25270	64	<r九尾第四覚醒状態|きゅうびだいよんかくせいじょうたい>	4-Tail Naruto	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0028	0x252B0	48	サソリ（<r自分傀儡|じぶんくぐつ>）	Sasori (Puppet)	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0029	0x252E0	48	うずまきナルト（<r旧章|きゅうしょう>）	Naruto (PTS)	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0030	0x25310	48	うちはサスケ（<r旧章|きゅうしょう>）	Sasuke (PTS)	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0031	0x25340	48	<r春野|はるの>サクラ（<r旧章|きゅうしょう>）	Sakura (PTS)	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0032	0x25370	48	<r日向|ひゅうが>ネジ（<r旧章|きゅうしょう>）	Neji (PTS)	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0033	0x253A0	48	ロック・リー（<r旧章|きゅうしょう>）	Lee (PTS)	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0034	0x253D0	48	テンテン（<r旧章|きゅうしょう>）	Tenten (PTS)	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0035	0x25400	48	<r奈良|なら>シカマル（<r旧章|きゅうしょう>）	Shikamaru (PTS)	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0036	0x25430	64	<r秋道|あきみち>チョウジ（<r旧章|きゅうしょう>）	Choji (PTS)	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0037	0x25470	48	<r山中|やまなか>いの（<r旧章|きゅうしょう>）	Ino (PTS)	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0038	0x254A0	48	<r犬塚|いぬづか>キバ（<r旧章|きゅうしょう>）	Kiba (PTS)	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0039	0x254D0	48	<r油女|あぶらめ>シノ（<r旧章|きゅうしょう>）	Shino (PTS)	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0040	0x25500	48	<r日向|ひゅうが>ヒナタ（<r旧章|きゅうしょう>）	Hinata (PTS)	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0041	0x25530	32	<r日向|ひゅうが>ハナビ	Hanabi Hyuga	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0042	0x25550	48	<r木|こ>ノ<r葉丸|はまる><r軍団|ぐんだん>	Konohamaru Corps	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0043	0x25580	16	みたらしアンコ	Anko Mitarashi	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
ETC_0044	0x25590	32	<r初代火影|しょだいほかげ>	1st Hokage	ASCII in-place ETC apply from previous v4b reference table; no ETC growth/no relocation	yes
