id	file	offset_hex	old_slot_capacity_bytes	source_japanese	previous_release_english	proposed_translation	notes	reason	detail
BTL_0001	BTL.BIN	0x1DBAB0	11	<r忍術|にんじゅつ>なし	No Ninjutsu	Ｎｏ　Ｎｉｎｊｕｔｓｕ		pointer_hits_0	
BTL_0002	BTL.BIN	0x1DD140	9	ふっとばすぞ左	Blow Left	Ｂｌｏｗ　Ａｗａｙ　Ｌｅｆｔ		pointer_hits_0	
BTL_0003	BTL.BIN	0x1DD150	5	つぶすぞ	Crush	Ｃｒｕｓｈ　Ｉｔ		pointer_hits_0	
BTL_0004	BTL.BIN	0x1DD2A0	9	シャンデリア炎	Fire Lamp	Ｃｈａｎｄｅｌｉｅｒ　Ｆｉｒｅ		pointer_hits_0	
BTL_0005	BTL.BIN	0x1DDF70	8	基本カメラ	Base Cam	Ｂａｓｉｃ　Ｃａｍｅｒａ		pointer_hits_0	
BTL_0006	BTL.BIN	0x1DDF80	9	演出カメラ	Event Cam	Ｅｖｅｎｔ　Ｃａｍｅｒａ		pointer_hits_0	
BTL_0007	BTL.BIN	0x1E1F90	12	ダミーカメラ＃０	Dummy Cam #0	Ｄｕｍｍｙ　Ｃａｍｅｒａ　＃０		pointer_hits_0	
BTL_0008	BTL.BIN	0x1E1FB0	13	演出カメラ「子」	Event Cam Rat	Ｅｖｅｎｔ　Ｃａｍｅｒａ：　Ｒａｔ		pointer_hits_0	
BTL_0009	BTL.BIN	0x1E1FD0	12	演出カメラ「丑」	Event Cam Ox	Ｅｖｅｎｔ　Ｃａｍｅｒａ：　Ｏｘ		pointer_hits_0	
BTL_0010	BTL.BIN	0x1E1FF0	15	演出カメラ「寅」	Event Cam Tiger	Ｅｖｅｎｔ　Ｃａｍｅｒａ：　Ｔｉｇｅｒ		pointer_hits_0	
BTL_0081	BTL.BIN	0x1E30EE	16	.?この条件で決定！	.?Confirm setup!	．？Ｃｏｎｆｉｒｍ　ｔｈｅｓｅ　ｃｏｎｄｉｔｉｏｎｓ！		pointer_hits_0	
BTL_0082	BTL.BIN	0x1E3110	28	<ruby好|す>きな<ruby条件|じょうけん>を<ruby設定|せってい>してください。	Set any conditions you like.	Ｓｅｔ　ａｎｙ　ｃｏｎｄｉｔｉｏｎｓ　ｙｏｕ　ｌｉｋｅ．		pointer_hits_0	
BTL_0083	BTL.BIN	0x1E3160	20	ＣＯＭの<ruby強|つよ>さを<ruby変更|へんこう>できます。	Change COM strength.	Ｃｈａｎｇｅ　ＣＯＭ　ｓｔｒｅｎｇｔｈ．		pointer_hits_0	
BTL_0084	BTL.BIN	0x1E31A0	29	<ruby奥義|おうぎ>の<ruby入力勝負|にゅうりょくしょうぶ>を<ruby変更|へんこう>できます。	Change Ultimate input battle.	Ｃｈａｎｇｅ　ｔｈｅ　Ｕｌｔｉｍａｔｅ　ｉｎｐｕｔ　ｂａｔｔｌｅ．		pointer_hits_0	
BTL_0085	BTL.BIN	0x1E3200	31	『はい』を<ruby選択|せんたく>で<ruby戦闘|せんとう>を<ruby開始|かいし>します。	Select Yes to start the battle.	Ｓｅｌｅｃｔ　Ｙｅｓ　ｔｏ　ｓｔａｒｔ　ｔｈｅ　ｂａｔｔｌｅ．		pointer_hits_0	
