id	old_offset	pointer_offset	new_offset	bytes	translation
BTL_0265	0x209E20	0x20A090	0x222300	105	Ｗｈｅｎ　ｓｅｔ　ｔｏ　＂Ｕｎａｖａｉｌａｂｌｅ＂，　Ｕｌｔｉｍａｔｅｓ　ｃａｎｎｏｔ　ｂｅ　ｕｓｅｄ．
BTL_0266	0x209E90	0x20A094	0x222370	115	Ｗｈｅｎ　ｓｅｔ　ｔｏ　＂Ｒａｎｄｏｍ＂，　ｔｈｅ　ｉｎｐｕｔ　ｂａｔｔｌｅ　ｃｈａｎｇｅｓ　ｅａｃｈ　ｔｉｍｅ．
BTL_0267	0x209F00	0x20A098	0x2223F0	113	Ｗｈｅｎ　ｓｅｔ　ｔｏ　＂Ｃｏｍｍａｎｄ＂，　ｉｔ　ｂｅｃｏｍｅｓ　ａ　ｂｕｔｔｏｎ　ｉｎｐｕｔ　ｂａｔｔｌｅ．
BTL_0268	0x209F50	0x20A09C	0x222470	167	Ｗｈｅｎ　ｓｅｔ　ｔｏ　＂Ｔｉｍｉｎｇ＂，　ｉｔ　ｂｅｃｏｍｅｓ　ａ　ｃｏｎｔｅｓｔ　ｏｆ　ｐｒｅｓｓｉｎｇ　ｔｈｅ　ｂｕｔｔｏｎ　ｗｉｔｈ　ｇｏｏｄ　ｔｉｍｉｎｇ．
BTL_0269	0x209FB0	0x20A0A0	0x222520	159	Ｗｈｅｎ　ｓｅｔ　ｔｏ　＂Ｒｏｔａｔｅ＂，　ｉｔ　ｂｅｃｏｍｅｓ　ａ　ｃｏｎｔｅｓｔ　ｏｆ　ｒｏｔａｔｉｎｇ　ｔｈｅ　ｌｅｆｔ　ｏｒ　ｒｉｇｈｔ　ｓｔｉｃｋ．
BTL_0270	0x20A040	0x20A0A4	0x2225C0	113	Ｗｈｅｎ　ｓｅｔ　ｔｏ　＂Ｍａｓｈ＂，　ｉｔ　ｂｅｃｏｍｅｓ　ａ　ｂｕｔｔｏｎ－ｍａｓｈｉｎｇ　ｃｏｎｔｅｓｔ．
BTL_0271	0x20A0B0	0x20A200	0x222640	123	Ｗｈｅｎ　ｓｅｔ　ｔｏ　＂Ｎｏｒｍａｌ＂，　ｈｅａｌｔｈ　ｆｕｌｌｙ　ｒｅｃｏｖｅｒｓ　ａｆｔｅｒ　ａ　ｓｅｔ　ｔｉｍｅ．
BTL_0272	0x20A120	0x20A204	0x2226C0	129	Ｗｈｅｎ　ｓｅｔ　ｔｏ　＂Ｈａｌｆ＂，　ｈｅａｌｔｈ　ｒｅｃｏｖｅｒｓ　ｕｐ　ｔｏ　ｈａｌｆ　ａｆｔｅｒ　ａ　ｓｅｔ　ｔｉｍｅ．
BTL_0273	0x20A1A0	0x20A208	0x222750	125	Ｗｈｅｎ　ｓｅｔ　ｔｏ　＂Ｃｒｉｔｉｃａｌ＂，　ｈｅａｌｔｈ　ａｌｗａｙｓ　ｓｔａｙｓ　ｂａｒｅｌｙ　ａｂｏｖｅ　ｚｅｒｏ．
BTL_0292	0x20A810	0x20B070	0x2227D0	97	Ｐｒｅｓｓ　Ｌｅｆｔ／Ｒｉｇｈｔ　ｔｏ　ｓｅｔ　ｔｈｅ　ｐｌａｙｅｒ　ｈｅａｌｔｈ　ｓｔａｔｅ．
BTL_0293	0x20A890	0x20B074	0x222840	99	Ｐｒｅｓｓ　Ｌｅｆｔ／Ｒｉｇｈｔ　ｔｏ　ｓｅｔ　ｗｈｅｔｈｅｒ　Ｃｈａｋｒａ　ｄｅｃｒｅａｓｅｓ．
BTL_0294	0x20A900	0x20B078	0x2228B0	113	Ｐｒｅｓｓ　Ｌｅｆｔ／Ｒｉｇｈｔ　ｔｏ　ｓｅｔ　ｈｏｗ　ｔｈｅ　ｐｌａｙｅｒ　Ｔｅａｍ　Ｇａｕｇｅ　ｆｉｌｌｓ．
BTL_0295	0x20A990	0x20B080	0x222930	111	Ｐｒｅｓｓ　Ｌｅｆｔ／Ｒｉｇｈｔ　ｔｏ　ｓｅｔ　ｈｏｗ　Ｔｅａｍ　Ａｔｔａｃｋｓ　ａｒｅ　ａｃｔｉｖａｔｅｄ．
BTL_0296	0x20AA10	0x20B084	0x2229A0	91	Ｐｒｅｓｓ　Ｌｅｆｔ／Ｒｉｇｈｔ　ｔｏ　ｓｅｔ　ｉｔｅｍ　ｓｐａｗｎ　ｆｒｅｑｕｅｎｃｙ．
BTL_0297	0x20AA80	0x20B088	0x222A00	107	Ｐｒｅｓｓ　Ｌｅｆｔ／Ｒｉｇｈｔ　ｔｏ　ｓｈｏｗ　ｏｒ　ｈｉｄｅ　ｔｈｅ　ｃｏｍｍａｎｄ　ｄｉｓｐｌａｙ．
BTL_0298	0x20AAF0	0x20B08C	0x222A70	125	Ｐｒｅｓｓ　Ｌｅｆｔ／Ｒｉｇｈｔ　ｔｏ　ｓｈｏｗ　ｏｒ　ｈｉｄｅ　ｄａｍａｇｅ　ｄｅａｌｔ　ｔｏ　ｔｈｅ　ｏｐｐｏｎｅｎｔ．
BTL_0299	0x20AB90	0x20B090	0x222AF0	111	Ｐｒｅｓｓ　Ｌｅｆｔ／Ｒｉｇｈｔ　ｔｏ　ｓｅｔ　ｔｈｅ　Ｐｒａｃｔｉｃｅ　ｇｕｉｄｅ　ｎｉｎｊａ　ｖｏｉｃｅ．
BTL_0300	0x20AC20	0x20B098	0x222B60	95	Ｓｅｔ　ｔｈｅ　ｓｔｒｅｎｇｔｈ　ｕｓｅｄ　ｗｈｅｎ　Ｓｔａｔｅ　ｉｓ　ｓｅｔ　ｔｏ　ＣＯＭ．
BTL_0301	0x20AC90	0x20B09C	0x222BC0	141	Ｓｅｔ　ｔｈｅ　ａｔｔａｃｋ　ｐａｔｔｅｒｎ　ｕｓｅｄ　ｗｈｅｎ　Ｓｔａｔｅ　ｉｓ　Ｓｔａｎｄ，　Ｊｕｍｐ，　ｏｒ　Ｄｏｕｂｌｅ　Ｊｕｍｐ．
BTL_0302	0x20AD30	0x20B0A0	0x222C50	139	Ｓｅｔ　ｔｈｅ　ｇｕａｒｄ　ｐａｔｔｅｒｎ　ｕｓｅｄ　ｗｈｅｎ　Ｓｔａｔｅ　ｉｓ　Ｓｔａｎｄ，　Ｊｕｍｐ，　ｏｒ　Ｄｏｕｂｌｅ　Ｊｕｍｐ．
BTL_0303	0x20ADD0	0x20B0A4	0x222CE0	145	Ｓｅｔ　ｔｈｅ　ｂｅｈａｖｉｏｒ　ｐａｔｔｅｒｎ　ｕｓｅｄ　ｗｈｅｎ　Ｓｔａｔｅ　ｉｓ　Ｓｔａｎｄ，　Ｊｕｍｐ，　ｏｒ　Ｄｏｕｂｌｅ　Ｊｕｍｐ．
BTL_0304	0x20AE70	0x20B0A8	0x222D80	103	Ｓｅｔ　Ｓｕｂｓｔｉｔｕｔｉｏｎ　Ｊｕｔｓｕ　ｆｒｅｑｕｅｎｃｙ　ｗｈｅｎ　Ｓｔａｔｅ　ｉｓ　ＣＯＭ．
BTL_0305	0x20AF10	0x20B0AC	0x222DF0	103	Ｓｅｔ　Ｔｅａｍ　Ａｔｔａｃｋ　ｆｒｅｑｕｅｎｃｙ　ｗｈｅｎ　Ｓｔａｔｅ　ｉｓ　ｎｏｔ　Ｍａｎｕａｌ．
BTL_0306	0x20AFC0	0x20B0B0	0x222E60	111	Ｓｅｔ　Ｐｕｒｓｕｉｔ　Ｃｏｕｎｔｅｒ　ｆｒｅｑｕｅｎｃｙ　ｗｈｅｎ　Ｓｔａｔｅ　ｉｓ　ｎｏｔ　Ｍａｎｕａｌ．
