id	old_offset	pointer_offset	new_offset	bytes	translation
BTL_0292	0x20A810	0x20B070	0x222300	97	Ｐｒｅｓｓ　Ｌｅｆｔ／Ｒｉｇｈｔ　ｔｏ　ｓｅｔ　ｔｈｅ　ｐｌａｙｅｒ　ｈｅａｌｔｈ　ｓｔａｔｅ．
BTL_0293	0x20A890	0x20B074	0x222370	99	Ｐｒｅｓｓ　Ｌｅｆｔ／Ｒｉｇｈｔ　ｔｏ　ｓｅｔ　ｗｈｅｔｈｅｒ　Ｃｈａｋｒａ　ｄｅｃｒｅａｓｅｓ．
BTL_0294	0x20A900	0x20B078	0x2223E0	113	Ｐｒｅｓｓ　Ｌｅｆｔ／Ｒｉｇｈｔ　ｔｏ　ｓｅｔ　ｈｏｗ　ｔｈｅ　ｐｌａｙｅｒ　Ｔｅａｍ　Ｇａｕｇｅ　ｆｉｌｌｓ．
BTL_0295	0x20A990	0x20B080	0x222460	111	Ｐｒｅｓｓ　Ｌｅｆｔ／Ｒｉｇｈｔ　ｔｏ　ｓｅｔ　ｈｏｗ　Ｔｅａｍ　Ａｔｔａｃｋｓ　ａｒｅ　ａｃｔｉｖａｔｅｄ．
BTL_0296	0x20AA10	0x20B084	0x2224D0	91	Ｐｒｅｓｓ　Ｌｅｆｔ／Ｒｉｇｈｔ　ｔｏ　ｓｅｔ　ｉｔｅｍ　ｓｐａｗｎ　ｆｒｅｑｕｅｎｃｙ．
BTL_0297	0x20AA80	0x20B088	0x222530	107	Ｐｒｅｓｓ　Ｌｅｆｔ／Ｒｉｇｈｔ　ｔｏ　ｓｈｏｗ　ｏｒ　ｈｉｄｅ　ｔｈｅ　ｃｏｍｍａｎｄ　ｄｉｓｐｌａｙ．
BTL_0298	0x20AAF0	0x20B08C	0x2225A0	125	Ｐｒｅｓｓ　Ｌｅｆｔ／Ｒｉｇｈｔ　ｔｏ　ｓｈｏｗ　ｏｒ　ｈｉｄｅ　ｄａｍａｇｅ　ｄｅａｌｔ　ｔｏ　ｔｈｅ　ｏｐｐｏｎｅｎｔ．
BTL_0299	0x20AB90	0x20B090	0x222620	111	Ｐｒｅｓｓ　Ｌｅｆｔ／Ｒｉｇｈｔ　ｔｏ　ｓｅｔ　ｔｈｅ　Ｐｒａｃｔｉｃｅ　ｇｕｉｄｅ　ｎｉｎｊａ　ｖｏｉｃｅ．
BTL_0300	0x20AC20	0x20B098	0x222690	95	Ｓｅｔ　ｔｈｅ　ｓｔｒｅｎｇｔｈ　ｕｓｅｄ　ｗｈｅｎ　Ｓｔａｔｅ　ｉｓ　ｓｅｔ　ｔｏ　ＣＯＭ．
BTL_0301	0x20AC90	0x20B09C	0x2226F0	141	Ｓｅｔ　ｔｈｅ　ａｔｔａｃｋ　ｐａｔｔｅｒｎ　ｕｓｅｄ　ｗｈｅｎ　Ｓｔａｔｅ　ｉｓ　Ｓｔａｎｄ，　Ｊｕｍｐ，　ｏｒ　Ｄｏｕｂｌｅ　Ｊｕｍｐ．
BTL_0302	0x20AD30	0x20B0A0	0x222780	139	Ｓｅｔ　ｔｈｅ　ｇｕａｒｄ　ｐａｔｔｅｒｎ　ｕｓｅｄ　ｗｈｅｎ　Ｓｔａｔｅ　ｉｓ　Ｓｔａｎｄ，　Ｊｕｍｐ，　ｏｒ　Ｄｏｕｂｌｅ　Ｊｕｍｐ．
BTL_0303	0x20ADD0	0x20B0A4	0x222810	145	Ｓｅｔ　ｔｈｅ　ｂｅｈａｖｉｏｒ　ｐａｔｔｅｒｎ　ｕｓｅｄ　ｗｈｅｎ　Ｓｔａｔｅ　ｉｓ　Ｓｔａｎｄ，　Ｊｕｍｐ，　ｏｒ　Ｄｏｕｂｌｅ　Ｊｕｍｐ．
BTL_0304	0x20AE70	0x20B0A8	0x2228B0	103	Ｓｅｔ　Ｓｕｂｓｔｉｔｕｔｉｏｎ　Ｊｕｔｓｕ　ｆｒｅｑｕｅｎｃｙ　ｗｈｅｎ　Ｓｔａｔｅ　ｉｓ　ＣＯＭ．
BTL_0305	0x20AF10	0x20B0AC	0x222920	103	Ｓｅｔ　Ｔｅａｍ　Ａｔｔａｃｋ　ｆｒｅｑｕｅｎｃｙ　ｗｈｅｎ　Ｓｔａｔｅ　ｉｓ　ｎｏｔ　Ｍａｎｕａｌ．
BTL_0306	0x20AFC0	0x20B0B0	0x222990	111	Ｓｅｔ　Ｐｕｒｓｕｉｔ　Ｃｏｕｎｔｅｒ　ｆｒｅｑｕｅｎｃｙ　ｗｈｅｎ　Ｓｔａｔｅ　ｉｓ　ｎｏｔ　Ｍａｎｕａｌ．
BTL_0307	0x20B0C0	0x20B450	0x222A00	165	Ｓｅｔ　ｔｈｅ　ｏｐｐｏｎｅｎｔ　ｓｔａｔｅ．　Ｉｎ　Ｍａｎｕａｌ，　ｔｈｅｙ　ｃａｎ　ｂｅ　ｃｏｎｔｒｏｌｌｅｄ　ｗｉｔｈ　ａｎｏｔｈｅｒ　ｃｏｎｔｒｏｌｌｅｒ．
BTL_0308	0x20B170	0x20B454	0x222AB0	119	Ｓｅｔ　ｔｈｅ　ｏｐｐｏｎｅｎｔ　ｓｔａｔｅ．　Ｉｎ　ＣＯＭ，　ｙｏｕ　ｃａｎ　ｆｉｇｈｔ　ｔｈｅ　ｃｏｍｐｕｔｅｒ．
BTL_0309	0x20B210	0x20B458	0x222B30	151	Ｓｅｔ　ｔｈｅ　ｏｐｐｏｎｅｎｔ　ｓｔａｔｅ．　Ｉｎ　Ｓｔａｎｄ，　ｔｈｅｙ　ｓｔａｎｄ　ａｎｄ　ｕｓｅ　ｔｈｅ　ａｃｔｉｏｎｓ　ｓｅｔ　ｂｅｌｏｗ．
BTL_0310	0x20B2D0	0x20B45C	0x222BD0	147	Ｓｅｔ　ｔｈｅ　ｏｐｐｏｎｅｎｔ　ｓｔａｔｅ．　Ｉｎ　Ｊｕｍｐ，　ｔｈｅｙ　ｊｕｍｐ　ａｎｄ　ｕｓｅ　ｔｈｅ　ａｃｔｉｏｎｓ　ｓｅｔ　ｂｅｌｏｗ．
BTL_0311	0x20B380	0x20B460	0x222C70	175	Ｓｅｔ　ｔｈｅ　ｏｐｐｏｎｅｎｔ　ｓｔａｔｅ．　Ｉｎ　Ｄｏｕｂｌｅ　Ｊｕｍｐ，　ｔｈｅｙ　ｄｏｕｂｌｅ－ｊｕｍｐ　ａｎｄ　ｕｓｅ　ｔｈｅ　ａｃｔｉｏｎｓ　ｓｅｔ　ｂｅｌｏｗ．
