id	old_offset	pointer_offset	new_offset	bytes	translation
BTL_0274	0x20A210	0x20A260	0x222300	23	Ｂａｔｔｌｅ　Ｔｉｍｅ
BTL_0277	0x20A240	0x20A274	0x222320	17	Ｈａｎｄｉｃａｐ
BTL_0278	0x20A280	0x20A660	0x222340	79	Ｐｒｅｓｓ　Ｌｅｆｔ／Ｒｉｇｈｔ　ｔｏ　ｃｈａｎｇｅ　ｂａｔｔｌｅ　ｔｉｍｅ．
BTL_0279	0x20A2E0	0x20A664	0x222390	81	Ｐｒｅｓｓ　Ｌｅｆｔ／Ｒｉｇｈｔ　ｔｏ　ｃｈａｎｇｅ　ＣＯＭ　ｓｔｒｅｎｇｔｈ．
BTL_0280	0x20A340	0x20A668	0x2223F0	195	Ｐｒｅｓｓ　Ｌｅｆｔ／Ｒｉｇｈｔ　ｔｏ　ｃｈａｎｇｅ　ｉｔｅｍ　ｓｐａｗｎ　ｒａｔｅ．　Ｈｉｇｈｅｒ　ｓｅｔｔｉｎｇｓ　ｍａｋｅ　ｍｏｒｅ　ｉｔｅｍｓ　ａｐｐｅａｒ　ｄｕｒｉｎｇ　ｂａｔｔｌｅ．
BTL_0281	0x20A430	0x20A66C	0x2224C0	179	Ｐｒｅｓｓ　Ｌｅｆｔ／Ｒｉｇｈｔ　ｔｏ　ｓｅｔ　ｗｈｅｔｈｅｒ　Ｃｈａｋｒａ　ｄｅｃｒｅａｓｅｓ　ｗｈｅｎ　ｕｓｉｎｇ　Ｎｉｎｊｕｔｓｕ　ａｎｄ　ｓｉｍｉｌａｒ　ａｃｔｉｏｎｓ．
BTL_0283	0x20A560	0x20A674	0x222580	177	Ｐｒｅｓｓ　Ｌｅｆｔ／Ｒｉｇｈｔ　ｔｏ　ｓｅｔ　ｔｈｅ　ｈａｎｄｉｃａｐ．　Ｍｏｒｅ　ｒｅｄ　ｍａｒｋｓ　ｆａｖｏｒ　１Ｐ；　ｍｏｒｅ　ｂｌｕｅ　ｍａｒｋｓ　ｆａｖｏｒ　２Ｐ．
BTL_0286	0x20A758	0x20A7D0	0x222640	19	Ｔｅａｍ　Ｍｏｄｅ
BTL_0287	0x20A768	0x20A7D8	0x222660	31	Ｃｏｍｍａｎｄ　Ｄｉｓｐｌａｙ
BTL_0288	0x20A778	0x20A7DC	0x222680	29	Ｄａｍａｇｅ　Ｄｉｓｐｌａｙ
BTL_0289	0x20A788	0x20A7E0	0x2226A0	23	Ｇｕｉｄｅ　Ｖｏｉｃｅ
BTL_0290	0x20A798	0x20A7F8	0x2226C0	37	Ｓｕｂｓｔｉｔｕｔｉｏｎ　Ｊｕｔｓｕ
BTL_0291	0x20A7A8	0x20A800	0x2226F0	31	Ｐｕｒｓｕｉｔ　Ｃｏｕｎｔｅｒ
BTL_0292	0x20A810	0x20B070	0x222710	97	Ｐｒｅｓｓ　Ｌｅｆｔ／Ｒｉｇｈｔ　ｔｏ　ｓｅｔ　ｔｈｅ　ｐｌａｙｅｒ　ｈｅａｌｔｈ　ｓｔａｔｅ．
BTL_0293	0x20A890	0x20B074	0x222780	99	Ｐｒｅｓｓ　Ｌｅｆｔ／Ｒｉｇｈｔ　ｔｏ　ｓｅｔ　ｗｈｅｔｈｅｒ　Ｃｈａｋｒａ　ｄｅｃｒｅａｓｅｓ．
BTL_0294	0x20A900	0x20B078	0x2227F0	113	Ｐｒｅｓｓ　Ｌｅｆｔ／Ｒｉｇｈｔ　ｔｏ　ｓｅｔ　ｈｏｗ　ｔｈｅ　ｐｌａｙｅｒ　Ｔｅａｍ　Ｇａｕｇｅ　ｆｉｌｌｓ．
BTL_0295	0x20A990	0x20B080	0x222870	111	Ｐｒｅｓｓ　Ｌｅｆｔ／Ｒｉｇｈｔ　ｔｏ　ｓｅｔ　ｈｏｗ　Ｔｅａｍ　Ａｔｔａｃｋｓ　ａｒｅ　ａｃｔｉｖａｔｅｄ．
BTL_0296	0x20AA10	0x20B084	0x2228E0	91	Ｐｒｅｓｓ　Ｌｅｆｔ／Ｒｉｇｈｔ　ｔｏ　ｓｅｔ　ｉｔｅｍ　ｓｐａｗｎ　ｆｒｅｑｕｅｎｃｙ．
BTL_0297	0x20AA80	0x20B088	0x222940	107	Ｐｒｅｓｓ　Ｌｅｆｔ／Ｒｉｇｈｔ　ｔｏ　ｓｈｏｗ　ｏｒ　ｈｉｄｅ　ｔｈｅ　ｃｏｍｍａｎｄ　ｄｉｓｐｌａｙ．
BTL_0298	0x20AAF0	0x20B08C	0x2229B0	125	Ｐｒｅｓｓ　Ｌｅｆｔ／Ｒｉｇｈｔ　ｔｏ　ｓｈｏｗ　ｏｒ　ｈｉｄｅ　ｄａｍａｇｅ　ｄｅａｌｔ　ｔｏ　ｔｈｅ　ｏｐｐｏｎｅｎｔ．
BTL_0299	0x20AB90	0x20B090	0x222A30	111	Ｐｒｅｓｓ　Ｌｅｆｔ／Ｒｉｇｈｔ　ｔｏ　ｓｅｔ　ｔｈｅ　Ｐｒａｃｔｉｃｅ　ｇｕｉｄｅ　ｎｉｎｊａ　ｖｏｉｃｅ．
BTL_0300	0x20AC20	0x20B098	0x222AA0	95	Ｓｅｔ　ｔｈｅ　ｓｔｒｅｎｇｔｈ　ｕｓｅｄ　ｗｈｅｎ　Ｓｔａｔｅ　ｉｓ　ｓｅｔ　ｔｏ　ＣＯＭ．
BTL_0301	0x20AC90	0x20B09C	0x222B00	141	Ｓｅｔ　ｔｈｅ　ａｔｔａｃｋ　ｐａｔｔｅｒｎ　ｕｓｅｄ　ｗｈｅｎ　Ｓｔａｔｅ　ｉｓ　Ｓｔａｎｄ，　Ｊｕｍｐ，　ｏｒ　Ｄｏｕｂｌｅ　Ｊｕｍｐ．
BTL_0302	0x20AD30	0x20B0A0	0x222B90	139	Ｓｅｔ　ｔｈｅ　ｇｕａｒｄ　ｐａｔｔｅｒｎ　ｕｓｅｄ　ｗｈｅｎ　Ｓｔａｔｅ　ｉｓ　Ｓｔａｎｄ，　Ｊｕｍｐ，　ｏｒ　Ｄｏｕｂｌｅ　Ｊｕｍｐ．
BTL_0303	0x20ADD0	0x20B0A4	0x222C20	145	Ｓｅｔ　ｔｈｅ　ｂｅｈａｖｉｏｒ　ｐａｔｔｅｒｎ　ｕｓｅｄ　ｗｈｅｎ　Ｓｔａｔｅ　ｉｓ　Ｓｔａｎｄ，　Ｊｕｍｐ，　ｏｒ　Ｄｏｕｂｌｅ　Ｊｕｍｐ．
BTL_0304	0x20AE70	0x20B0A8	0x222CC0	103	Ｓｅｔ　Ｓｕｂｓｔｉｔｕｔｉｏｎ　Ｊｕｔｓｕ　ｆｒｅｑｕｅｎｃｙ　ｗｈｅｎ　Ｓｔａｔｅ　ｉｓ　ＣＯＭ．
BTL_0305	0x20AF10	0x20B0AC	0x222D30	103	Ｓｅｔ　Ｔｅａｍ　Ａｔｔａｃｋ　ｆｒｅｑｕｅｎｃｙ　ｗｈｅｎ　Ｓｔａｔｅ　ｉｓ　ｎｏｔ　Ｍａｎｕａｌ．
BTL_0306	0x20AFC0	0x20B0B0	0x222DA0	111	Ｓｅｔ　Ｐｕｒｓｕｉｔ　Ｃｏｕｎｔｅｒ　ｆｒｅｑｕｅｎｃｙ　ｗｈｅｎ　Ｓｔａｔｅ　ｉｓ　ｎｏｔ　Ｍａｎｕａｌ．
