id	old_offset	pointer_offset	new_offset	bytes	translation
BTL_0222	0x209330	0x209610	0x222300	27	（Ｄｕｒｉｎｇ　Ｊｕｍｐ）
BTL_0223	0x209350	0x209614	0x222320	45	（Ｉｎ　ｆｒｏｎｔ　ｏｆ　ｏｐｐｏｎｅｎｔ）
BTL_0224	0x209380	0x209618	0x222350	37	Ｂａｃｋ　Ｄｉｒｅｃｔｉｏｎ　Ｋｅｙ
BTL_0225	0x2093B0	0x20961C	0x222380	59	（Ａｓ　ｔｈｅ　ｏｐｐｏｎｅｎｔ　ａｔｔａｃｋ　ｈｉｔｓ）
BTL_0226	0x209400	0x209620	0x2223C0	73	（Ｗｈｅｎ　ｔｈｒｏｗｎ，　ａｓ　ｙｏｕ　ｈｉｔ　ｔｈｅ　ｇｒｏｕｎｄ）
BTL_0227	0x209450	0x209624	0x222410	69	（Ｄｉｒｅｃｔｉｏｎ　ｔｈｅ　ｅｎｅｍｙ　ｗａｓ　ｌａｕｎｃｈｅｄ）
BTL_0228	0x2094A0	0x209628	0x222460	69	（Ａｓ　ｔｈｅ　ｅｎｅｍｙ　ｐｕｒｓｕｉｔ　ａｔｔａｃｋ　ｈｉｔｓ）
BTL_0229	0x209500	0x20962C	0x2224B0	29	（Ｈｏｌｄ　ｂｒｉｅｆｌｙ）
BTL_0230	0x209520	0x209630	0x2224D0	31	（Ｏｎ　ｔｈｅ　ｇｒｏｕｎｄ）
BTL_0231	0x209540	0x209634	0x2224F0	93	（Ｄｕｒｉｎｇ　ｈｉｇｈ－ｓｐｅｅｄ　ｍｏｖｅ　ｃｌａｓｈ　ｏｒ　ａｔｔａｃｋ　ｃｌａｓｈ）
BTL_0232	0x2095B0	0x209638	0x222550	97	（Ｍａｎｕａｌ：　ｐｒｅｓｓ　ａｇａｉｎ　ａｆｔｅｒ　ｉｔ　ａｐｐｅａｒｓ　ｔｏ　ａｔｔａｃｋ）
BTL_0265	0x209E20	0x20A090	0x2225C0	105	Ｗｈｅｎ　ｓｅｔ　ｔｏ　＂Ｕｎａｖａｉｌａｂｌｅ＂，　Ｕｌｔｉｍａｔｅｓ　ｃａｎｎｏｔ　ｂｅ　ｕｓｅｄ．
BTL_0266	0x209E90	0x20A094	0x222630	115	Ｗｈｅｎ　ｓｅｔ　ｔｏ　＂Ｒａｎｄｏｍ＂，　ｔｈｅ　ｉｎｐｕｔ　ｂａｔｔｌｅ　ｃｈａｎｇｅｓ　ｅａｃｈ　ｔｉｍｅ．
BTL_0267	0x209F00	0x20A098	0x2226B0	113	Ｗｈｅｎ　ｓｅｔ　ｔｏ　＂Ｃｏｍｍａｎｄ＂，　ｉｔ　ｂｅｃｏｍｅｓ　ａ　ｂｕｔｔｏｎ　ｉｎｐｕｔ　ｂａｔｔｌｅ．
BTL_0268	0x209F50	0x20A09C	0x222730	167	Ｗｈｅｎ　ｓｅｔ　ｔｏ　＂Ｔｉｍｉｎｇ＂，　ｉｔ　ｂｅｃｏｍｅｓ　ａ　ｃｏｎｔｅｓｔ　ｏｆ　ｐｒｅｓｓｉｎｇ　ｔｈｅ　ｂｕｔｔｏｎ　ｗｉｔｈ　ｇｏｏｄ　ｔｉｍｉｎｇ．
BTL_0269	0x209FB0	0x20A0A0	0x2227E0	159	Ｗｈｅｎ　ｓｅｔ　ｔｏ　＂Ｒｏｔａｔｅ＂，　ｉｔ　ｂｅｃｏｍｅｓ　ａ　ｃｏｎｔｅｓｔ　ｏｆ　ｒｏｔａｔｉｎｇ　ｔｈｅ　ｌｅｆｔ　ｏｒ　ｒｉｇｈｔ　ｓｔｉｃｋ．
BTL_0270	0x20A040	0x20A0A4	0x222880	113	Ｗｈｅｎ　ｓｅｔ　ｔｏ　＂Ｍａｓｈ＂，　ｉｔ　ｂｅｃｏｍｅｓ　ａ　ｂｕｔｔｏｎ－ｍａｓｈｉｎｇ　ｃｏｎｔｅｓｔ．
BTL_0271	0x20A0B0	0x20A200	0x222900	123	Ｗｈｅｎ　ｓｅｔ　ｔｏ　＂Ｎｏｒｍａｌ＂，　ｈｅａｌｔｈ　ｆｕｌｌｙ　ｒｅｃｏｖｅｒｓ　ａｆｔｅｒ　ａ　ｓｅｔ　ｔｉｍｅ．
BTL_0272	0x20A120	0x20A204	0x222980	129	Ｗｈｅｎ　ｓｅｔ　ｔｏ　＂Ｈａｌｆ＂，　ｈｅａｌｔｈ　ｒｅｃｏｖｅｒｓ　ｕｐ　ｔｏ　ｈａｌｆ　ａｆｔｅｒ　ａ　ｓｅｔ　ｔｉｍｅ．
BTL_0273	0x20A1A0	0x20A208	0x222A10	125	Ｗｈｅｎ　ｓｅｔ　ｔｏ　＂Ｃｒｉｔｉｃａｌ＂，　ｈｅａｌｔｈ　ａｌｗａｙｓ　ｓｔａｙｓ　ｂａｒｅｌｙ　ａｂｏｖｅ　ｚｅｒｏ．
BTL_0292	0x20A810	0x20B070	0x222A90	97	Ｐｒｅｓｓ　Ｌｅｆｔ／Ｒｉｇｈｔ　ｔｏ　ｓｅｔ　ｔｈｅ　ｐｌａｙｅｒ　ｈｅａｌｔｈ　ｓｔａｔｅ．
BTL_0293	0x20A890	0x20B074	0x222B00	99	Ｐｒｅｓｓ　Ｌｅｆｔ／Ｒｉｇｈｔ　ｔｏ　ｓｅｔ　ｗｈｅｔｈｅｒ　Ｃｈａｋｒａ　ｄｅｃｒｅａｓｅｓ．
