"File"	"OffsetHex"	"OffsetDec"	"CapacityBytes"	"SourceOffsetHex"	"SourceBytes"	"BuildBytes"	"SourceText"	"BuildText"
"BTL.BIN"	"0x1DBAB0"	"1948336"	"11"	"0x1DBAB0"	"22"	"11"	"<r忍術|にんじゅつ>なし"	"No Ninjutsu"
"BTL.BIN"	"0x1DD140"	"1954112"	"9"	"0x1DD140"	"14"	"9"	"ふっとばすぞ左"	"Blow Left"
"BTL.BIN"	"0x1DD150"	"1954128"	"5"	"0x1DD150"	"8"	"5"	"つぶすぞ"	"Crush"
"BTL.BIN"	"0x1DD2A0"	"1954464"	"9"	"0x1DD2A0"	"14"	"9"	"シャンデリア炎"	"Fire Lamp"
"BTL.BIN"	"0x1DDF70"	"1957744"	"8"	"0x1DDF70"	"10"	"8"	"基本カメラ"	"Base Cam"
"BTL.BIN"	"0x1DDF80"	"1957760"	"9"	"0x1DDF80"	"10"	"9"	"演出カメラ"	"Event Cam"
"BTL.BIN"	"0x1E1F90"	"1974160"	"12"	"0x1E1F90"	"16"	"12"	"ダミーカメラ＃０"	"Dummy Cam #0"
"BTL.BIN"	"0x1E1FB0"	"1974192"	"13"	"0x1E1FB0"	"16"	"13"	"演出カメラ「子」"	"Event Cam Rat"
"BTL.BIN"	"0x1E1FD0"	"1974224"	"12"	"0x1E1FD0"	"16"	"12"	"演出カメラ「丑」"	"Event Cam Ox"
"BTL.BIN"	"0x1E1FF0"	"1974256"	"15"	"0x1E1FF0"	"16"	"15"	"演出カメラ「寅」"	"Event Cam Tiger"
"BTL.BIN"	"0x1E2110"	"1974544"	"7"	"0x1E2110"	"22"	"7"	"<r忍者学校|アカデミー>"	"Academy"
"BTL.BIN"	"0x1E2130"	"1974576"	"12"	"0x1E2130"	"22"	"12"	"<r下忍|げにん>ランクＡ"	"Genin Rank A"
"BTL.BIN"	"0x1E2150"	"1974608"	"12"	"0x1E2150"	"22"	"12"	"<r下忍|げにん>ランクＢ"	"Genin Rank B"
"BTL.BIN"	"0x1E2170"	"1974640"	"12"	"0x1E2170"	"22"	"12"	"<r下忍|げにん>ランクＣ"	"Genin Rank C"
"BTL.BIN"	"0x1E2190"	"1974672"	"12"	"0x1E2190"	"22"	"12"	"<r下忍|げにん>ランクＤ"	"Genin Rank D"
"BTL.BIN"	"0x1E21B0"	"1974704"	"13"	"0x1E21B0"	"36"	"13"	"<r砂|すな>の<r三姉弟|さんきょうだい>"	"Sand Siblings"
"BTL.BIN"	"0x1E21E0"	"1974752"	"13"	"0x1E21E0"	"26"	"13"	"<r霧|きり>の<r刺客|しかく>"	"Mist Assassin"
"BTL.BIN"	"0x1E2200"	"1974784"	"11"	"0x1E2200"	"26"	"11"	"<r新紅班|しんくれないはん>"	"New Kurenai"
"BTL.BIN"	"0x1E2220"	"1974816"	"9"	"0x1E2220"	"26"	"9"	"<r新|しん>アスマ<r班|はん>"	"New Asuma"
"BTL.BIN"	"0x1E2240"	"1974848"	"7"	"0x1E2240"	"24"	"7"	"<r新|しん>ガイ<r班|はん>"	"New Guy"
"BTL.BIN"	"0x1E2260"	"1974880"	"11"	"0x1E2260"	"26"	"11"	"<r新|しん>カカシ<r班|はん>"	"New Kakashi"
"BTL.BIN"	"0x1E2280"	"1974912"	"12"	"0x1E2280"	"26"	"12"	"<r上忍|じょうにん>ランクＡ"	"Jonin Rank A"
"BTL.BIN"	"0x1E22A0"	"1974944"	"12"	"0x1E22A0"	"26"	"12"	"<r上忍|じょうにん>ランクＢ"	"Jonin Rank B"
"BTL.BIN"	"0x1E22C0"	"1974976"	"12"	"0x1E22C0"	"28"	"12"	"<r砂|すな>の<r強者|つわもの>"	"Sand Masters"
"BTL.BIN"	"0x1E22E0"	"1975008"	"10"	"0x1E22E0"	"34"	"10"	"<r音|おと>の<r五人衆|ごにんしゅう>"	"Sound Five"
"BTL.BIN"	"0x1E2310"	"1975056"	"9"	"0x1E2310"	"28"	"9"	"<r邪|よこしま>なる<r者|もの>"	"Evil Ones"
"BTL.BIN"	"0x1E2330"	"1975088"	"16"	"0x1E2330"	"34"	"16"	"<r伝説|でんせつ>の<r三忍|さんにん>"	"Legendary Sannin"
"BTL.BIN"	"0x1E2360"	"1975136"	"8"	"0x1E2360"	"18"	"8"	"“<r暁|あかつき>”"	"Akatsuki"
"BTL.BIN"	"0x1E2380"	"1975168"	"10"	"0x1E2380"	"18"	"10"	"<r火影|ほかげ>たち"	"The Hokage"
"BTL.BIN"	"0x1E23A0"	"1975200"	"14"	"0x1E23A0"	"28"	"14"	"<r特別対戦|とくべつたいせん>"	"Special Battle"
"BTL.BIN"	"0x1E23C0"	"1975232"	"11"	"0x1E23C0"	"34"	"11"	"<r金髪五人衆|きんぱつごにんしゅう>"	"Blond Squad"
"BTL.BIN"	"0x1E23F0"	"1975280"	"12"	"0x1E23F0"	"26"	"12"	"<r傀儡軍団|くぐつぐんだん>"	"Puppet Corps"
"BTL.BIN"	"0x1E2410"	"1975312"	"13"	"0x1E2410"	"30"	"13"	"<r木|こ>ノ<r葉先生|はせんせい>"	"Leaf Teachers"
"BTL.BIN"	"0x1E2430"	"1975344"	"13"	"0x1E2430"	"28"	"13"	"<r血継限界|けっけいげんかい>"	"Kekkei Genkai"
"BTL.BIN"	"0x1E2450"	"1975376"	"17"	"0x1E2450"	"28"	"17"	"<r高|たか>みの<r者|もの>たち"	"High-Rank Shinobi"
"BTL.BIN"	"0x1E2670"	"1975920"	"8"	"0x1E2670"	"20"	"8"	"<r撒|ま>き<r菱|びし>"	"Caltrops"
"BTL.BIN"	"0x1E2690"	"1975952"	"10"	"0x1E2690"	"24"	"10"	"<r兵糧丸|ひょうろうがん>"	"Food Pills"
"BTL.BIN"	"0x1E26B0"	"1975984"	"11"	"0x1E26B0"	"30"	"11"	"<r上忍|じょうにん>の<r靴|くつ>"	"Jonin Shoes"
"BTL.BIN"	"0x1E26D0"	"1976016"	"12"	"0x1E26D0"	"24"	"12"	"カカシ<r人形|にんぎょう>"	"Kakashi Doll"
"BTL.BIN"	"0x1E26F0"	"1976048"	"11"	"0x1E26F0"	"26"	"11"	"<r根性|こんじょう>のおもり"	"Guts Weight"
"BTL.BIN"	"0x1E2710"	"1976080"	"13"	"0x1E2710"	"30"	"13"	"<r風魔手裏剣|ふうましゅりけん>"	"Fuma Shuriken"
"BTL.BIN"	"0x1E2730"	"1976112"	"17"	"0x1E2730"	"38"	"17"	"<r呪札|じゅさつ>　<r鎧崩|よろいくず>し"	"Armor-Break Charm"
"BTL.BIN"	"0x1E2760"	"1976160"	"10"	"0x1E2760"	"22"	"10"	"<r亀甲丸|きっこうがん>"	"Kikko Pill"
"BTL.BIN"	"0x1E2780"	"1976192"	"11"	"0x1E2780"	"22"	"11"	"<r炸裂|さくれつ>クナイ"	"Blast Kunai"
"BTL.BIN"	"0x1E27A0"	"1976224"	"10"	"0x1E27A0"	"20"	"10"	"<r起爆|きばく>クナイ"	"Bomb Kunai"
"BTL.BIN"	"0x1E27C0"	"1976256"	"8"	"0x1E27C0"	"22"	"8"	"<r医療|いりょう>パック"	"Med Pack"
"BTL.BIN"	"0x1E27E0"	"1976288"	"11"	"0x1E27E0"	"36"	"11"	"<r雲隠|くもがく>れの<r巻物|まきもの>"	"Kumo Scroll"
"BTL.BIN"	"0x1E2810"	"1976336"	"11"	"0x1E2810"	"24"	"11"	"<r毒煙玉|どくけむりだま>"	"Poison Bomb"
"BTL.BIN"	"0x1E2830"	"1976368"	"10"	"0x1E2830"	"20"	"10"	"<r起爆札|きばくふだ>"	"Paper Bomb"
"BTL.BIN"	"0x1E2850"	"1976400"	"11"	"0x1E2850"	"20"	"11"	"<r元気丸|げんきがん>"	"Energy Pill"
"BTL.BIN"	"0x1E2870"	"1976432"	"8"	"0x1E2870"	"20"	"8"	"<r蝦蟇油|ガマあぶら>"	"Toad Oil"
"BTL.BIN"	"0x1E2890"	"1976464"	"9"	"0x1E2890"	"20"	"9"	"<r起爆|きばく>シール"	"Bomb Seal"
"BTL.BIN"	"0x1E28B0"	"1976496"	"15"	"0x1E28B0"	"32"	"15"	"<r千影手裏剣|せんえいしゅりけん>"	"Shadow Shuriken"
"BTL.BIN"	"0x1E28E0"	"1976544"	"9"	"0x1E28E0"	"22"	"9"	"<r痺|しび>れ<r玉|たま>"	"Stun Bomb"
"BTL.BIN"	"0x1E2900"	"1976576"	"11"	"0x1E2900"	"20"	"11"	"<r博打玉|ばくちだま>"	"Gamble Bomb"
"BTL.BIN"	"0x1E2918"	"1976600"	"10"	"0x1E2918"	"14"	"10"	"アイテムポーチ"	"Item Pouch"
"BTL.BIN"	"0x1E2930"	"1976624"	"17"	"0x1E2930"	"42"	"17"	"<r忍具乱舞|にんぐらんぶ>の<r巻物|まきもの>"	"Ninja Tool Scroll"
"BTL.BIN"	"0x1E2960"	"1976672"	"13"	"0x1E2960"	"36"	"13"	"<r金|きん>の<r装飾品|そうしょくひん>"	"Gold Ornament"
"BTL.BIN"	"0x1E2990"	"1976720"	"10"	"0x1E2990"	"30"	"10"	"<r琥珀|こはく>の<r塊|かたまり>"	"Amber Lump"
"BTL.BIN"	"0x1E29B0"	"1976752"	"8"	"0x1E29B0"	"14"	"8"	"<r古銭|こせん>"	"Old Coin"
"BTL.BIN"	"0x1E29C0"	"1976768"	"12"	"0x1E29C0"	"40"	"12"	"<r特別交渉手形|とくべつこうしょうてがた>"	"Special Pass"
"BTL.BIN"	"0x1E29F0"	"1976816"	"9"	"0x1E29F0"	"34"	"9"	"<r紅玉|こうぎょく>の<r指輪|ゆびわ>"	"Ruby Ring"
"BTL.BIN"	"0x1E2A20"	"1976864"	"14"	"0x1E2A20"	"30"	"14"	"<r治癒|ちゆ>の<r巻物|まきもの>"	"Healing Scroll"
"BTL.BIN"	"0x1E2A40"	"1976896"	"10"	"0x1E2A40"	"34"	"10"	"<r白銀|はくぎん>の<r延棒|のべぼう>"	"Silver Bar"
"BTL.BIN"	"0x1E2A70"	"1976944"	"10"	"0x1E2A70"	"28"	"10"	"<r連係|れんけい>の<r笛|ふえ>"	"Link Flute"
"BTL.BIN"	"0x1E2A90"	"1976976"	"13"	"0x1E2A90"	"30"	"13"	"<r稀代|きだい>の<r秘宝|ひほう>"	"Rare Treasure"
"BTL.BIN"	"0x1E2AB0"	"1977008"	"19"	"0x1E2AB0"	"36"	"19"	"<r全開|ぜんかい>の<r額当|ひたいあ>て"	"Full-Power Headband"
"BTL.BIN"	"0x1E2AE0"	"1977056"	"16"	"0x1E2AE0"	"40"	"16"	"<r気配遮断装束|けはいしゃだんしょうぞく>"	"Concealment Robe"
"BTL.BIN"	"0x1E2B10"	"1977104"	"110"	"0x1E2B10"	"232"	"110"	"<color00FFFF><r究極連激戦|ナルティメットれんげきせん><colorFFFFFF>では、<r定|さだ>められた<r相手|あいて>と<r連続|れんぞく>で<r闘|たたか>い、<r最後|さいご>まで<r勝|か>ち<r残|のこ>ることで<r報酬|ほうしゅう>を<r得|え>ることができます。"	"<color00FFFF>Ultimate Chain<colorFFFFFF>: fight set opponents in a row and survive to the end to earn rewards."
"BTL.BIN"	"0x1E2C00"	"1977344"	"99"	"0x1E2C00"	"200"	"99"	"<color00FFFF><r壮絶|そうぜつ>サバイバル<colorFFFFFF>ではランダムで<r出現|しゅつげん>する<r相手|あいて>と<r無限|むげん>に<r闘|たたか>い、どこまで<r勝|か>ち<r残|のこ>れるかを<r競|きそ>うことができます。"	"<color00FFFF>Survival<colorFFFFFF>: fight random opponents endlessly and see how long you can last."
"BTL.BIN"	"0x1E2CD0"	"1977552"	"92"	"0x1E2CD0"	"166"	"92"	"<color00FFFF><r自分|じぶん>ルール<r戦闘|せんとう><colorFFFFFF>では、<r戦闘条件|せんとうじょうけん>を<r任意|にんい>に<r設定|せってい>して<r闘|たたか>うことができます。"	"<color00FFFF>Custom Rules Battle<colorFFFFFF>: set battle conditions freely before fighting."
"BTL.BIN"	"0x1E2D80"	"1977728"	"50"	"0x1E2D80"	"86"	"50"	"<color00FFFF><r熱血対戦|ねっけつたいせん><colorFFFFFF>を<r終了|しゅうりょう>しますか？"	"Quit <color00FFFF>Hot-Blooded Versus<colorFFFFFF>?"
"BTL.BIN"	"0x1E2DE0"	"1977824"	"41"	"0x1E2DE0"	"68"	"41"	"<color00FFFF><r壮絶|そうぜつ>サバイバル<colorFFFFFF>を開始しますか？"	"Start <color00FFFF>Survival<colorFFFFFF>?"
"BTL.BIN"	"0x1E2F60"	"1978208"	"12"	"0x1E2F60"	"24"	"12"	"<r中忍|ちゅうにん>レベル"	"Chunin Level"
"BTL.BIN"	"0x1E2F80"	"1978240"	"11"	"0x1E2F80"	"24"	"11"	"<r上忍|じょうにん>レベル"	"Jonin Level"
"BTL.BIN"	"0x1E2FA0"	"1978272"	"12"	"0x1E2FA0"	"20"	"12"	"<r火影|ほかげ>レベル"	"Hokage Level"
"BTL.BIN"	"0x1E2FC0"	"1978304"	"14"	"0x1E2FC0"	"28"	"14"	"<r特殊戦闘|とくしゅせんとう>"	"Special Battle"
"BTL.BIN"	"0x1E3000"	"1978368"	"15"	"0x1E3000"	"38"	"15"	"レベルを<r選択|せんたく>してください。"	"Select a level."
"BTL.BIN"	"0x1E3030"	"1978416"	"14"	"0x1E3030"	"38"	"14"	"ランクを<r選択|せんたく>してください。"	"Select a rank."
"BTL.BIN"	"0x1E3060"	"1978464"	"11"	"0x1E3060"	"26"	"11"	"これでよろしいでしょうか？"	"Is this OK?"
"BTL.BIN"	"0x1E30EE"	"1978606"	"16"	"0x1E30EE"	"18"	"16"	".?この条件で決定！"	".?Confirm setup!"
"BTL.BIN"	"0x1E3110"	"1978640"	"28"	"0x1E3110"	"71"	"28"	"<ruby好|す>きな<ruby条件|じょうけん>を<ruby設定|せってい>してください。"	"Set any conditions you like."
"BTL.BIN"	"0x1E3160"	"1978720"	"20"	"0x1E3160"	"54"	"20"	"ＣＯＭの<ruby強|つよ>さを<ruby変更|へんこう>できます。"	"Change COM strength."
"BTL.BIN"	"0x1E31A0"	"1978784"	"29"	"0x1E31A0"	"85"	"29"	"<ruby奥義|おうぎ>の<ruby入力勝負|にゅうりょくしょうぶ>を<ruby変更|へんこう>できます。"	"Change Ultimate input battle."
"BTL.BIN"	"0x1E3200"	"1978880"	"31"	"0x1E3200"	"77"	"31"	"『はい』を<ruby選択|せんたく>で<ruby戦闘|せんとう>を<ruby開始|かいし>します。"	"Select Yes to start the battle."
"BTL.BIN"	"0x1E3250"	"1978960"	"28"	"0x1E3250"	"66"	"28"	"<ruby条件|じょうけん>が１つも<ruby設定|せってい>されていないです。"	"No conditions have been set."
"BTL.BIN"	"0x1E32A0"	"1979040"	"12"	"0x1E32A0"	"37"	"12"	"すでに<ruby設定済|せっていず>みです。"	"Already set."
"BTL.BIN"	"0x1E32D0"	"1979088"	"68"	"0x1E32D0"	"154"	"68"	"<ruby現在設定済|げんざいせっていず>みの<ruby条件|じょうけん>と.<ruby組|く>み<ruby合|あ>わせる<ruby事|こと>が<ruby出来|でき>ない<ruby条件|じょうけん>です。"	"This condition cannot be combined with the currently set conditions."
"BTL.BIN"	"0x1E3370"	"1979248"	"5"	"0x1E3370"	"8"	"5"	"基本条件"	"Basic"
"BTL.BIN"	"0x1E3380"	"1979264"	"40"	"0x1E3380"	"96"	"40"	"<ruby方向|ほうこう>キー<ruby左右|さゆう>でＣＯＭの<ruby強|つよ>さを<ruby変更|へんこう>できます。"	"Press Left/Right to change COM strength."
"BTL.BIN"	"0x1E33F0"	"1979376"	"53"	"0x1E33F0"	"127"	"53"	"<ruby方向|ほうこう>キー<ruby左右|さゆう>で<ruby奥義|おうぎ>の<ruby入力勝負|にゅうりょくしょうぶ>を<ruby変更|へんこう>できます。"	"Press Left/Right to change the Ultimate input battle."
"BTL.BIN"	"0x1E3470"	"1979504"	"4"	"0x1E3470"	"8"	"4"	"やさしい"	"Easy"
"BTL.BIN"	"0x1E3480"	"1979520"	"4"	"0x1E3480"	"10"	"4"	"むずかしい"	"Hard"
"BTL.BIN"	"0x1E34A8"	"1979560"	"3"	"0x1E34A8"	"8"	"3"	"使用不可"	"Off"
"BTL.BIN"	"0x1E34B8"	"1979576"	"6"	"0x1E34B8"	"8"	"6"	"ランダム"	"Random"
"BTL.BIN"	"0x1E34C8"	"1979592"	"7"	"0x1E34C8"	"8"	"7"	"コマンド"	"Command"
"BTL.BIN"	"0x1E34D8"	"1979608"	"6"	"0x1E34D8"	"10"	"6"	"タイミング"	"Timing"
"BTL.BIN"	"0x1E3510"	"1979664"	"13"	"0x1E3510"	"32"	"13"	"お<r手軽条件|てがるじょうけん>１"	"Preset Rule 1"
"BTL.BIN"	"0x1E3540"	"1979712"	"13"	"0x1E3540"	"32"	"13"	"お<r手軽条件|てがるじょうけん>２"	"Preset Rule 2"
"BTL.BIN"	"0x1E3570"	"1979760"	"13"	"0x1E3570"	"32"	"13"	"お<r手軽条件|てがるじょうけん>３"	"Preset Rule 3"
"BTL.BIN"	"0x1E35A0"	"1979808"	"19"	"0x1E35A0"	"36"	"19"	"<r無重力戦闘|むじゅうりょくせんとう>"	"Zero-Gravity Battle"
"BTL.BIN"	"0x1E35D0"	"1979856"	"37"	"0x1E35D0"	"70"	"37"	"<r速度差|そくどさ>が<r激|はげ>しい<r状態|じょうたい>で<r戦闘|せんとう>"	"Battle with extreme speed differences"
"BTL.BIN"	"0x1E3620"	"1979936"	"35"	"0x1E3620"	"44"	"35"	"<r大|だい>ダメージにめげずに<r戦闘|せんとう>"	"Battle without fearing heavy damage"
"BTL.BIN"	"0x1E3650"	"1979984"	"14"	"0x1E3650"	"30"	"14"	"<r極限戦闘|きょくげんせんとう>"	"Extreme Battle"
"BTL.BIN"	"0x1E38E0"	"1980640"	"5"	"0x1E38E0"	"10"	"5"	"<r忍|にん>"	"Ninja"
"BTL.BIN"	"0x1E38F0"	"1980656"	"8"	"0x1E38F0"	"10"	"8"	"%sカウント"	"%s Count"
"BTL.BIN"	"0x1E3960"	"1980768"	"8"	"0x1E3960"	"26"	"8"	"<r壮絶|そうぜつ>サバイバル"	"Survival"
"BTL.BIN"	"0x1E39C0"	"1980864"	"14"	"0x1E39C0"	"26"	"14"	"<r撃破忍数|げきはにんずう>"	"Ninja Defeated"
"BTL.BIN"	"0x1E39E0"	"1980896"	"21"	"0x1E39E0"	"25"	"21"	"%s<color000000><r忍|にん>"	"%s<color000000> Ninja"
"BTL.BIN"	"0x1E3A00"	"1980928"	"10"	"0x1E3A00"	"12"	"10"	"クリアタイム"	"Clear Time"
"BTL.BIN"	"0x1E3A10"	"1980944"	"21"	"0x1E3A10"	"23"	"21"	"%s<color000000>カウント"	"%s<color000000> Count"
"BTL.BIN"	"0x1E3A30"	"1980976"	"12"	"0x1E3A30"	"18"	"12"	"<r忍名|しのびめい>"	"Shinobi Name"
"BTL.BIN"	"0x1E3A50"	"1981008"	"10"	"0x1E3A50"	"20"	"10"	"<r所持金|しょじきん>"	"Money Held"
"BTL.BIN"	"0x1E3A70"	"1981040"	"12"	"0x1E3A70"	"24"	"12"	"<r報酬金|ほうしゅうきん>"	"Reward Money"
"BTL.BIN"	"0x1E3A90"	"1981072"	"3"	"0x1E3A90"	"12"	"3"	"<r両|りょう>"	"Ryo"
"BTL.BIN"	"0x1E3AA0"	"1981088"	"12"	"0x1E3AA0"	"24"	"12"	"クリア<r報酬|ほうしゅう>"	"Clear Reward"
"BTL.BIN"	"0x1E3AC0"	"1981120"	"18"	"0x1E3AC0"	"30"	"18"	"レベルクリア<r報酬|ほうしゅう>"	"Level Clear Reward"
"BTL.BIN"	"0x1E3AE0"	"1981152"	"13"	"0x1E3AE0"	"40"	"13"	"「<color2820FF>%s<color000000>」クリア！"	"Cleared ""%s""!"
"BTL.BIN"	"0x1E3B10"	"1981200"	"13"	"0x1E3B10"	"54"	"13"	"<r新|あら>たなランク「<color2820FF>%s<color000000>」に"	"New rank ""%s"""
"BTL.BIN"	"0x1E3B50"	"1981264"	"18"	"0x1E3B50"	"44"	"18"	"<r挑戦|ちょうせん>できるようになりました！！"	"is now available!!"
"BTL.BIN"	"0x1E3B90"	"1981328"	"14"	"0x1E3B90"	"54"	"14"	"<r新|あら>たなレベル「<color2820FF>%s<color000000>」に"	"New level ""%s"""
"BTL.BIN"	"0x1E3BE0"	"1981408"	"38"	"0x1E3BE0"	"106"	"38"	"「<color080860><r究極連激戦|ナルティメットれんげきせん><color000000>」<r全|ぜん>クリア<r報酬|ほうしゅう>！"	"All-clear reward for ""Ultimate Chain""!"
"BTL.BIN"	"0x1E3C50"	"1981520"	"33"	"0x1E3C50"	"116"	"33"	"<r装備品|そうびひん>「<color2820FF><r気配遮断装束|けはいしゃだんしょうぞく><color000000>」を<r手|て>に<r入|い>れた！"	"Got equipment ""Concealment Robe""!"
