"File"	"OffsetHex"	"OffsetDec"	"LastChangedHex"	"ChangedSpan"	"SourceText"	"BuildText"	"SourceHex"	"BuildHex"
"BTL.BIN"	"0x1DBAB0"	"1948336"	"0x1DBAC5"	"22"	"TEX_char_name01\\0<r忍術|にんじゅつ>なし\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0.D\\0\\0"	"TEX_char_name01\\0No Ninjutsu\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0.D\\0\\0"	"3C 72 94 45 8F 70 7C 82 C9 82 F1 82 B6 82 E3 82 C2 3E 82 C8 82 B5"	"4E 6F 20 4E 69 6E 6A 75 74 73 75 00 00 00 00 00 00 00 00 00 00 00"
"BTL.BIN"	"0x1DD140"	"1954112"	"0x1DD157"	"24"	"ふっとばすぞ右\\0\\0ふっとばすぞ左\\0\\0つぶすぞ\\0\\0\\0\\0\\0\\0\\0\\0.\\0\\0\\0.\\0\\0\\0"	"ふっとばすぞ右\\0\\0Blow Left\\0\\0\\0\\0\\0\\0\\0Crush\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0.\\0\\0\\0.\\0\\0\\0"	"82 D3 82 C1 82 C6 82 CE 82 B7 82 BC 8D B6 00 00 82 C2 82 D4 82 B7 82 BC"	"42 6C 6F 77 20 4C 65 66 74 00 00 00 00 00 00 00 43 72 75 73 68 00 00 00"
"BTL.BIN"	"0x1DD2A0"	"1954464"	"0x1DD2AD"	"14"	"...\\0.DD\\0..{\\0\\0\\0\\0\\0シャンデリア炎\\0\\0OBJ_2cmn00t0 l"	"...\\0.DD\\0..{\\0\\0\\0\\0\\0Fire Lamp\\0\\0\\0\\0\\0\\0\\0OBJ_2cmn00t0 l"	"83 56 83 83 83 93 83 66 83 8A 83 41 89 8A"	"46 69 72 65 20 4C 61 6D 70 00 00 00 00 00"
"BTL.BIN"	"0x1DDF70"	"1957744"	"0x1DDF89"	"26"	"・・・・P.・ｰ.・基本カメラ\\0\\0\\0\\0\\0\\0演出カメラ\\0\\0\\0\\0\\0\\0....\\0\\0...\\0"	"・・・・P.・ｰ.・Base Cam\\0\\0\\0\\0\\0\\0\\0\\0Event Cam\\0\\0\\0\\0\\0\\0\\0....\\0\\0...\\0"	"8A EE 96 7B 83 4A 83 81 83 89 00 00 00 00 00 00 89 89 8F 6F 83 4A 83 81 83 89"	"42 61 73 65 20 43 61 6D 00 00 00 00 00 00 00 00 45 76 65 6E 74 20 43 61 6D 00"
"BTL.BIN"	"0x1E1F90"	"1974160"	"0x1E1F9F"	"16"	"ダミーカメラ\\0\\0\\0\\0ダミーカメラ＃０\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0"	"ダミーカメラ\\0\\0\\0\\0Dummy Cam #0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0"	"83 5F 83 7E 81 5B 83 4A 83 81 83 89 81 94 82 4F"	"44 75 6D 6D 79 20 43 61 6D 20 23 30 00 00 00 00"
"BTL.BIN"	"0x1E1FB0"	"1974192"	"0x1E1FBF"	"16"	"\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0演出カメラ「子」\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0"	"\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0Event Cam Rat\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0"	"89 89 8F 6F 83 4A 83 81 83 89 81 75 8E 71 81 76"	"45 76 65 6E 74 20 43 61 6D 20 52 61 74 00 00 00"
"BTL.BIN"	"0x1E1FD0"	"1974224"	"0x1E1FDF"	"16"	"\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0演出カメラ「丑」\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0"	"\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0Event Cam Ox\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0"	"89 89 8F 6F 83 4A 83 81 83 89 81 75 89 4E 81 76"	"45 76 65 6E 74 20 43 61 6D 20 4F 78 00 00 00 00"
"BTL.BIN"	"0x1E1FF0"	"1974256"	"0x1E1FFF"	"16"	"\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0演出カメラ「寅」\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0"	"\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0Event Cam Tiger\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0"	"89 89 8F 6F 83 4A 83 81 83 89 81 75 93 D0 81 76"	"45 76 65 6E 74 20 43 61 6D 20 54 69 67 65 72 00"
"BTL.BIN"	"0x1E2110"	"1974544"	"0x1E2125"	"22"	"01\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0<r忍者学校|アカデミー>\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0<r下忍"	"01\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0Academy\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0Genin"	"3C 72 94 45 8E D2 8A 77 8D 5A 7C 83 41 83 4A 83 66 83 7E 81 5B 3E"	"41 63 61 64 65 6D 79 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00"
"BTL.BIN"	"0x1E2130"	"1974576"	"0x1E2145"	"22"	"fミー>\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0<r下忍|げにん>ランクＡ\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0<r下忍"	"\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0Genin Rank A\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0Genin"	"3C 72 89 BA 94 45 7C 82 B0 82 C9 82 F1 3E 83 89 83 93 83 4E 82 60"	"47 65 6E 69 6E 20 52 61 6E 6B 20 41 00 00 00 00 00 00 00 00 00 00"
