"id"	"file"	"offset_hex"	"old_slot_capacity_bytes"	"source_japanese"	"previous_release_english"	"proposed_translation"	"notes"
"BTL_0001"	"BTL.BIN"	"0x1DBAB0"	"11"	"<r忍術|にんじゅつ>なし"	"No Ninjutsu"	""	""
"BTL_0002"	"BTL.BIN"	"0x1DD140"	"9"	"ふっとばすぞ左"	"Blow Left"	""	""
"BTL_0003"	"BTL.BIN"	"0x1DD150"	"5"	"つぶすぞ"	"Crush"	""	""
"BTL_0004"	"BTL.BIN"	"0x1DD2A0"	"9"	"シャンデリア炎"	"Fire Lamp"	""	""
"BTL_0005"	"BTL.BIN"	"0x1DDF70"	"8"	"基本カメラ"	"Base Cam"	""	""
"BTL_0006"	"BTL.BIN"	"0x1DDF80"	"9"	"演出カメラ"	"Event Cam"	""	""
"BTL_0007"	"BTL.BIN"	"0x1E1F90"	"12"	"ダミーカメラ＃０"	"Dummy Cam #0"	""	""
"BTL_0008"	"BTL.BIN"	"0x1E1FB0"	"13"	"演出カメラ「子」"	"Event Cam Rat"	""	""
"BTL_0009"	"BTL.BIN"	"0x1E1FD0"	"12"	"演出カメラ「丑」"	"Event Cam Ox"	""	""
"BTL_0010"	"BTL.BIN"	"0x1E1FF0"	"15"	"演出カメラ「寅」"	"Event Cam Tiger"	""	""
"BTL_0011"	"BTL.BIN"	"0x1E2110"	"7"	"<r忍者学校|アカデミー>"	"Academy"	""	""
"BTL_0012"	"BTL.BIN"	"0x1E2130"	"12"	"<r下忍|げにん>ランクＡ"	"Genin Rank A"	""	""
"BTL_0013"	"BTL.BIN"	"0x1E2150"	"12"	"<r下忍|げにん>ランクＢ"	"Genin Rank B"	""	""
"BTL_0014"	"BTL.BIN"	"0x1E2170"	"12"	"<r下忍|げにん>ランクＣ"	"Genin Rank C"	""	""
"BTL_0015"	"BTL.BIN"	"0x1E2190"	"12"	"<r下忍|げにん>ランクＤ"	"Genin Rank D"	""	""
"BTL_0016"	"BTL.BIN"	"0x1E21B0"	"13"	"<r砂|すな>の<r三姉弟|さんきょうだい>"	"Sand Siblings"	""	""
"BTL_0017"	"BTL.BIN"	"0x1E21E0"	"13"	"<r霧|きり>の<r刺客|しかく>"	"Mist Assassin"	""	""
"BTL_0018"	"BTL.BIN"	"0x1E2200"	"11"	"<r新紅班|しんくれないはん>"	"New Kurenai"	""	""
"BTL_0019"	"BTL.BIN"	"0x1E2220"	"9"	"<r新|しん>アスマ<r班|はん>"	"New Asuma"	""	""
"BTL_0020"	"BTL.BIN"	"0x1E2240"	"7"	"<r新|しん>ガイ<r班|はん>"	"New Guy"	""	""
"BTL_0021"	"BTL.BIN"	"0x1E2260"	"11"	"<r新|しん>カカシ<r班|はん>"	"New Kakashi"	""	""
"BTL_0022"	"BTL.BIN"	"0x1E2280"	"12"	"<r上忍|じょうにん>ランクＡ"	"Jonin Rank A"	""	""
"BTL_0023"	"BTL.BIN"	"0x1E22A0"	"12"	"<r上忍|じょうにん>ランクＢ"	"Jonin Rank B"	""	""
"BTL_0024"	"BTL.BIN"	"0x1E22C0"	"12"	"<r砂|すな>の<r強者|つわもの>"	"Sand Masters"	""	""
"BTL_0025"	"BTL.BIN"	"0x1E22E0"	"10"	"<r音|おと>の<r五人衆|ごにんしゅう>"	"Sound Five"	""	""
"BTL_0026"	"BTL.BIN"	"0x1E2310"	"9"	"<r邪|よこしま>なる<r者|もの>"	"Evil Ones"	""	""
"BTL_0027"	"BTL.BIN"	"0x1E2330"	"16"	"<r伝説|でんせつ>の<r三忍|さんにん>"	"Legendary Sannin"	""	""
"BTL_0028"	"BTL.BIN"	"0x1E2360"	"8"	"“<r暁|あかつき>”"	"Akatsuki"	""	""
"BTL_0029"	"BTL.BIN"	"0x1E2380"	"10"	"<r火影|ほかげ>たち"	"The Hokage"	""	""
"BTL_0030"	"BTL.BIN"	"0x1E23A0"	"14"	"<r特別対戦|とくべつたいせん>"	"Special Battle"	""	""
"BTL_0031"	"BTL.BIN"	"0x1E23C0"	"11"	"<r金髪五人衆|きんぱつごにんしゅう>"	"Blond Squad"	""	""
"BTL_0032"	"BTL.BIN"	"0x1E23F0"	"12"	"<r傀儡軍団|くぐつぐんだん>"	"Puppet Corps"	""	""
"BTL_0033"	"BTL.BIN"	"0x1E2410"	"13"	"<r木|こ>ノ<r葉先生|はせんせい>"	"Leaf Teachers"	""	""
"BTL_0034"	"BTL.BIN"	"0x1E2430"	"13"	"<r血継限界|けっけいげんかい>"	"Kekkei Genkai"	""	""
"BTL_0035"	"BTL.BIN"	"0x1E2450"	"17"	"<r高|たか>みの<r者|もの>たち"	"High-Rank Shinobi"	""	""
"BTL_0036"	"BTL.BIN"	"0x1E2670"	"8"	"<r撒|ま>き<r菱|びし>"	"Caltrops"	""	""
"BTL_0037"	"BTL.BIN"	"0x1E2690"	"10"	"<r兵糧丸|ひょうろうがん>"	"Food Pills"	""	""
"BTL_0038"	"BTL.BIN"	"0x1E26B0"	"11"	"<r上忍|じょうにん>の<r靴|くつ>"	"Jonin Shoes"	""	""
"BTL_0039"	"BTL.BIN"	"0x1E26D0"	"12"	"カカシ<r人形|にんぎょう>"	"Kakashi Doll"	""	""
"BTL_0040"	"BTL.BIN"	"0x1E26F0"	"11"	"<r根性|こんじょう>のおもり"	"Guts Weight"	""	""
"BTL_0041"	"BTL.BIN"	"0x1E2710"	"13"	"<r風魔手裏剣|ふうましゅりけん>"	"Fuma Shuriken"	""	""
"BTL_0042"	"BTL.BIN"	"0x1E2730"	"17"	"<r呪札|じゅさつ>　<r鎧崩|よろいくず>し"	"Armor-Break Charm"	""	""
"BTL_0043"	"BTL.BIN"	"0x1E2760"	"10"	"<r亀甲丸|きっこうがん>"	"Kikko Pill"	""	""
"BTL_0044"	"BTL.BIN"	"0x1E2780"	"11"	"<r炸裂|さくれつ>クナイ"	"Blast Kunai"	""	""
"BTL_0045"	"BTL.BIN"	"0x1E27A0"	"10"	"<r起爆|きばく>クナイ"	"Bomb Kunai"	""	""
"BTL_0046"	"BTL.BIN"	"0x1E27C0"	"8"	"<r医療|いりょう>パック"	"Med Pack"	""	""
"BTL_0047"	"BTL.BIN"	"0x1E27E0"	"11"	"<r雲隠|くもがく>れの<r巻物|まきもの>"	"Kumo Scroll"	""	""
"BTL_0048"	"BTL.BIN"	"0x1E2810"	"11"	"<r毒煙玉|どくけむりだま>"	"Poison Bomb"	""	""
"BTL_0049"	"BTL.BIN"	"0x1E2830"	"10"	"<r起爆札|きばくふだ>"	"Paper Bomb"	""	""
"BTL_0050"	"BTL.BIN"	"0x1E2850"	"11"	"<r元気丸|げんきがん>"	"Energy Pill"	""	""
"BTL_0051"	"BTL.BIN"	"0x1E2870"	"8"	"<r蝦蟇油|ガマあぶら>"	"Toad Oil"	""	""
"BTL_0052"	"BTL.BIN"	"0x1E2890"	"9"	"<r起爆|きばく>シール"	"Bomb Seal"	""	""
"BTL_0053"	"BTL.BIN"	"0x1E28B0"	"15"	"<r千影手裏剣|せんえいしゅりけん>"	"Shadow Shuriken"	""	""
"BTL_0054"	"BTL.BIN"	"0x1E28E0"	"9"	"<r痺|しび>れ<r玉|たま>"	"Stun Bomb"	""	""
"BTL_0055"	"BTL.BIN"	"0x1E2900"	"11"	"<r博打玉|ばくちだま>"	"Gamble Bomb"	""	""
"BTL_0056"	"BTL.BIN"	"0x1E2918"	"10"	"アイテムポーチ"	"Item Pouch"	""	""
"BTL_0057"	"BTL.BIN"	"0x1E2930"	"17"	"<r忍具乱舞|にんぐらんぶ>の<r巻物|まきもの>"	"Ninja Tool Scroll"	""	""
"BTL_0058"	"BTL.BIN"	"0x1E2960"	"13"	"<r金|きん>の<r装飾品|そうしょくひん>"	"Gold Ornament"	""	""
"BTL_0059"	"BTL.BIN"	"0x1E2990"	"10"	"<r琥珀|こはく>の<r塊|かたまり>"	"Amber Lump"	""	""
"BTL_0060"	"BTL.BIN"	"0x1E29B0"	"8"	"<r古銭|こせん>"	"Old Coin"	""	""
"BTL_0061"	"BTL.BIN"	"0x1E29C0"	"12"	"<r特別交渉手形|とくべつこうしょうてがた>"	"Special Pass"	""	""
"BTL_0062"	"BTL.BIN"	"0x1E29F0"	"9"	"<r紅玉|こうぎょく>の<r指輪|ゆびわ>"	"Ruby Ring"	""	""
"BTL_0063"	"BTL.BIN"	"0x1E2A20"	"14"	"<r治癒|ちゆ>の<r巻物|まきもの>"	"Healing Scroll"	""	""
"BTL_0064"	"BTL.BIN"	"0x1E2A40"	"10"	"<r白銀|はくぎん>の<r延棒|のべぼう>"	"Silver Bar"	""	""
"BTL_0065"	"BTL.BIN"	"0x1E2A70"	"10"	"<r連係|れんけい>の<r笛|ふえ>"	"Link Flute"	""	""
"BTL_0066"	"BTL.BIN"	"0x1E2A90"	"13"	"<r稀代|きだい>の<r秘宝|ひほう>"	"Rare Treasure"	""	""
"BTL_0067"	"BTL.BIN"	"0x1E2AB0"	"19"	"<r全開|ぜんかい>の<r額当|ひたいあ>て"	"Full-Power Headband"	""	""
"BTL_0068"	"BTL.BIN"	"0x1E2AE0"	"16"	"<r気配遮断装束|けはいしゃだんしょうぞく>"	"Concealment Robe"	""	""
"BTL_0069"	"BTL.BIN"	"0x1E2B10"	"110"	"<color00FFFF><r究極連激戦|ナルティメットれんげきせん><colorFFFFFF>では、<r定|さだ>められた<r相手|あいて>と<r連続|れんぞく>で<r闘|たたか>い、<r最後|さいご>まで<r勝|か>ち<r残|のこ>ることで<r報酬|ほうしゅう>を<r得|え>ることができます。"	"<color00FFFF>Ultimate Chain<colorFFFFFF>: fight set opponents in a row and survive to the end to earn rewards."	""	""
"BTL_0070"	"BTL.BIN"	"0x1E2C00"	"99"	"<color00FFFF><r壮絶|そうぜつ>サバイバル<colorFFFFFF>ではランダムで<r出現|しゅつげん>する<r相手|あいて>と<r無限|むげん>に<r闘|たたか>い、どこまで<r勝|か>ち<r残|のこ>れるかを<r競|きそ>うことができます。"	"<color00FFFF>Survival<colorFFFFFF>: fight random opponents endlessly and see how long you can last."	""	""
"BTL_0071"	"BTL.BIN"	"0x1E2CD0"	"92"	"<color00FFFF><r自分|じぶん>ルール<r戦闘|せんとう><colorFFFFFF>では、<r戦闘条件|せんとうじょうけん>を<r任意|にんい>に<r設定|せってい>して<r闘|たたか>うことができます。"	"<color00FFFF>Custom Rules Battle<colorFFFFFF>: set battle conditions freely before fighting."	""	""
"BTL_0072"	"BTL.BIN"	"0x1E2D80"	"50"	"<color00FFFF><r熱血対戦|ねっけつたいせん><colorFFFFFF>を<r終了|しゅうりょう>しますか？"	"Quit <color00FFFF>Hot-Blooded Versus<colorFFFFFF>?"	""	""
"BTL_0073"	"BTL.BIN"	"0x1E2DE0"	"41"	"<color00FFFF><r壮絶|そうぜつ>サバイバル<colorFFFFFF>を開始しますか？"	"Start <color00FFFF>Survival<colorFFFFFF>?"	""	""
"BTL_0074"	"BTL.BIN"	"0x1E2F60"	"12"	"<r中忍|ちゅうにん>レベル"	"Chunin Level"	""	""
"BTL_0075"	"BTL.BIN"	"0x1E2F80"	"11"	"<r上忍|じょうにん>レベル"	"Jonin Level"	""	""
"BTL_0076"	"BTL.BIN"	"0x1E2FA0"	"12"	"<r火影|ほかげ>レベル"	"Hokage Level"	""	""
"BTL_0077"	"BTL.BIN"	"0x1E2FC0"	"14"	"<r特殊戦闘|とくしゅせんとう>"	"Special Battle"	""	""
"BTL_0078"	"BTL.BIN"	"0x1E3000"	"15"	"レベルを<r選択|せんたく>してください。"	"Select a level."	""	""
"BTL_0079"	"BTL.BIN"	"0x1E3030"	"14"	"ランクを<r選択|せんたく>してください。"	"Select a rank."	""	""
"BTL_0080"	"BTL.BIN"	"0x1E3060"	"11"	"これでよろしいでしょうか？"	"Is this OK?"	""	""
"BTL_0081"	"BTL.BIN"	"0x1E30EE"	"16"	".?この条件で決定！"	".?Confirm setup!"	""	""
"BTL_0082"	"BTL.BIN"	"0x1E3110"	"28"	"<ruby好|す>きな<ruby条件|じょうけん>を<ruby設定|せってい>してください。"	"Set any conditions you like."	""	""
"BTL_0083"	"BTL.BIN"	"0x1E3160"	"20"	"ＣＯＭの<ruby強|つよ>さを<ruby変更|へんこう>できます。"	"Change COM strength."	""	""
"BTL_0084"	"BTL.BIN"	"0x1E31A0"	"29"	"<ruby奥義|おうぎ>の<ruby入力勝負|にゅうりょくしょうぶ>を<ruby変更|へんこう>できます。"	"Change Ultimate input battle."	""	""
"BTL_0085"	"BTL.BIN"	"0x1E3200"	"31"	"『はい』を<ruby選択|せんたく>で<ruby戦闘|せんとう>を<ruby開始|かいし>します。"	"Select Yes to start the battle."	""	""
"BTL_0086"	"BTL.BIN"	"0x1E3250"	"28"	"<ruby条件|じょうけん>が１つも<ruby設定|せってい>されていないです。"	"No conditions have been set."	""	""
"BTL_0087"	"BTL.BIN"	"0x1E32A0"	"12"	"すでに<ruby設定済|せっていず>みです。"	"Already set."	""	""
