"id"	"file"	"offset_hex"	"old_slot_capacity_bytes"	"source_japanese"	"previous_release_english"	"proposed_translation"	"notes"
"BTL_0001"	"BTL.BIN"	"0x1DBAB0"	"11"	"<r忍術|にんじゅつ>なし"	"No Ninjutsu"	"Ｎｏ　Ｎｉｎｊｕｔｓｕ"	""
"BTL_0002"	"BTL.BIN"	"0x1DD140"	"9"	"ふっとばすぞ左"	"Blow Left"	"Ｂｌｏｗ　Ａｗａｙ　Ｌｅｆｔ"	""
"BTL_0003"	"BTL.BIN"	"0x1DD150"	"5"	"つぶすぞ"	"Crush"	"Ｃｒｕｓｈ　Ｉｔ"	""
"BTL_0004"	"BTL.BIN"	"0x1DD2A0"	"9"	"シャンデリア炎"	"Fire Lamp"	"Ｃｈａｎｄｅｌｉｅｒ　Ｆｉｒｅ"	""
"BTL_0005"	"BTL.BIN"	"0x1DDF70"	"8"	"基本カメラ"	"Base Cam"	"Ｂａｓｉｃ　Ｃａｍｅｒａ"	""
"BTL_0006"	"BTL.BIN"	"0x1DDF80"	"9"	"演出カメラ"	"Event Cam"	"Ｅｖｅｎｔ　Ｃａｍｅｒａ"	""
"BTL_0007"	"BTL.BIN"	"0x1E1F90"	"12"	"ダミーカメラ＃０"	"Dummy Cam #0"	"Ｄｕｍｍｙ　Ｃａｍｅｒａ　＃０"	""
"BTL_0008"	"BTL.BIN"	"0x1E1FB0"	"13"	"演出カメラ「子」"	"Event Cam Rat"	"Ｅｖｅｎｔ　Ｃａｍｅｒａ：　Ｒａｔ"	""
"BTL_0009"	"BTL.BIN"	"0x1E1FD0"	"12"	"演出カメラ「丑」"	"Event Cam Ox"	"Ｅｖｅｎｔ　Ｃａｍｅｒａ：　Ｏｘ"	""
"BTL_0010"	"BTL.BIN"	"0x1E1FF0"	"15"	"演出カメラ「寅」"	"Event Cam Tiger"	"Ｅｖｅｎｔ　Ｃａｍｅｒａ：　Ｔｉｇｅｒ"	""
"BTL_0011"	"BTL.BIN"	"0x1E2110"	"7"	"<r忍者学校|アカデミー>"	"Academy"	"Ａｃａｄｅｍｙ"	""
"BTL_0012"	"BTL.BIN"	"0x1E2130"	"12"	"<r下忍|げにん>ランクＡ"	"Genin Rank A"	"Ｇｅｎｉｎ　Ｒａｎｋ　Ａ"	""
"BTL_0013"	"BTL.BIN"	"0x1E2150"	"12"	"<r下忍|げにん>ランクＢ"	"Genin Rank B"	"Ｇｅｎｉｎ　Ｒａｎｋ　Ｂ"	""
"BTL_0014"	"BTL.BIN"	"0x1E2170"	"12"	"<r下忍|げにん>ランクＣ"	"Genin Rank C"	"Ｇｅｎｉｎ　Ｒａｎｋ　Ｃ"	""
"BTL_0015"	"BTL.BIN"	"0x1E2190"	"12"	"<r下忍|げにん>ランクＤ"	"Genin Rank D"	"Ｇｅｎｉｎ　Ｒａｎｋ　Ｄ"	""
"BTL_0016"	"BTL.BIN"	"0x1E21B0"	"13"	"<r砂|すな>の<r三姉弟|さんきょうだい>"	"Sand Siblings"	"Ｓａｎｄ　Ｓｉｂｌｉｎｇｓ"	""
"BTL_0017"	"BTL.BIN"	"0x1E21E0"	"13"	"<r霧|きり>の<r刺客|しかく>"	"Mist Assassin"	"Ｍｉｓｔ　Ａｓｓａｓｓｉｎｓ"	""
"BTL_0018"	"BTL.BIN"	"0x1E2200"	"11"	"<r新紅班|しんくれないはん>"	"New Kurenai"	"Ｎｅｗ　Ｔｅａｍ　Ｋｕｒｅｎａｉ"	""
"BTL_0019"	"BTL.BIN"	"0x1E2220"	"9"	"<r新|しん>アスマ<r班|はん>"	"New Asuma"	"Ｎｅｗ　Ｔｅａｍ　Ａｓｕｍａ"	""
"BTL_0020"	"BTL.BIN"	"0x1E2240"	"7"	"<r新|しん>ガイ<r班|はん>"	"New Guy"	"Ｎｅｗ　Ｔｅａｍ　Ｇｕｙ"	""
"BTL_0021"	"BTL.BIN"	"0x1E2260"	"11"	"<r新|しん>カカシ<r班|はん>"	"New Kakashi"	"Ｎｅｗ　Ｔｅａｍ　Ｋａｋａｓｈｉ"	""
"BTL_0022"	"BTL.BIN"	"0x1E2280"	"12"	"<r上忍|じょうにん>ランクＡ"	"Jonin Rank A"	"Ｊｏｎｉｎ　Ｒａｎｋ　Ａ"	""
"BTL_0023"	"BTL.BIN"	"0x1E22A0"	"12"	"<r上忍|じょうにん>ランクＢ"	"Jonin Rank B"	"Ｊｏｎｉｎ　Ｒａｎｋ　Ｂ"	""
"BTL_0024"	"BTL.BIN"	"0x1E22C0"	"12"	"<r砂|すな>の<r強者|つわもの>"	"Sand Masters"	"Ｓａｎｄ　Ｅｌｉｔｅｓ"	""
"BTL_0025"	"BTL.BIN"	"0x1E22E0"	"10"	"<r音|おと>の<r五人衆|ごにんしゅう>"	"Sound Five"	"Ｓｏｕｎｄ　Ｆｉｖｅ"	""
"BTL_0026"	"BTL.BIN"	"0x1E2310"	"9"	"<r邪|よこしま>なる<r者|もの>"	"Evil Ones"	"Ｗｉｃｋｅｄ　Ｏｎｅｓ"	""
"BTL_0027"	"BTL.BIN"	"0x1E2330"	"16"	"<r伝説|でんせつ>の<r三忍|さんにん>"	"Legendary Sannin"	"Ｌｅｇｅｎｄａｒｙ　Ｓａｎｎｉｎ"	""
"BTL_0028"	"BTL.BIN"	"0x1E2360"	"8"	"“<r暁|あかつき>”"	"Akatsuki"	"Ａｋａｔｓｕｋｉ"	""
